-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.3.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.3.csv"
}
-----
"State","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH",1916,1478,2937,1307,7638
"ARUNACHAL PRADESH",831,502,604,220,2157
"ASSAM",632,537,418,269,1856
"BIHAR",709,935,1260,1460,4364
"CHHATTISGARH",4583,2534,4651,611,12379
"GOA",2653,406,489,87,3635
"GUJARAT",1610,1280,972,553,4415
"HARYANA",40,103,140,380,663
"HIMACHAL PRADESH",292,133,146,5929,6500
"JAMMU & KASHMIR",951,326,564,1030,2871
"JHARKHAND",8251,10282,4481,1331,24345
"KARNATAKA",820,404,427,103,1754
"KERALA",1923,1120,754,406,4203
"MADHYA PRADESH",11206,11984,18586,2195,43971
"MAHARASHTRA",24267,11226,9184,1460,46137
"MANIPUR",23,5,0,0,28
"MEGHALAYA",3574,3183,4207,833,11797
"MIZORAM",4202,2924,574,0,7700
"NAGALAN D",5781,7158,6273,716,19928
"ORISSA",731,1395,2437,2047,6610
"PUNJAB",597,294,536,35,1462
"RAJASTHAN",27,102,466,366,961
"SIKKIM",0,0,0,240,240
"TAMIL NADU",10690,2707,2440,1806,17643
"TRIPURA",394,108,62,10,574
"UTTAR PRADESH",2336,1901,1526,334,6097
"UTTARANCHAL",6228,972,510,68,7778
"WEST BENGAL",0,48447,2,0,48449
"DADRA & NAGAR HAVELI",30,3,1,0,34
"DELHI",5,32,18,0,55
"PONDICHERRY",16420,1697,799,34,18950
"ALL INDIA",111722,114178,65464,23830,315194
