-----
{
 "description": "This data provides for G-20 countries details on Human development index (HDI), HDI Rank, Life expectancy at birth, Maternal mortality ratio, Fertility rate, Adolescent Fertility Rate, Mean years of schooling, Population with atleast secondary education, and Labour force participation rate.", 
 "file_name": "HUMAN_DEVELOPMENT_INDEX_AND_ITS_COMPONENTS_FOR_G20_COUNTRIES.xls", 
 "title": "Download XLS for Human Development Index And Its Components For G-20 Countries", 
 "url": "http://data.gov.in/sites/default/files/HUMAN_DEVELOPMENT_INDEX_AND_ITS_COMPONENTS_FOR_G20_COUNTRIES.xls"
}
-----
"Country Name","Human Development Index(HDI) - 2011","HDI Rank - 2011","Life Expectancy at birth - 2011","Maternal mortality Ratio - 2008","Total Fertility Rate - 2011","Adolescent Fertility Rate - 2011","Expected Years of Schooling - 2011","Mean Years of Schooling - 2011","Population With at Least Secondary Education (Female) - 2010","Population With at Least Secondary Education (Male)- 2010","Labour Force Participation Rate (Female) - 2009","Labour Force Participation Rate (Male) - 2009"
"Argentina",0.797,45.0,75.9,70.0,2.2,56.9,15.8,9.3,57.0,54.9,52.4,78.4
"Australia",0.929,2.0,81.9,8.0,2.0,16.5,18.0,12.0,95.1,97.2,58.4,72.2
"Brazil",0.718,84.0,73.5,58.0,1.8,75.6,13.8,7.2,48.8,46.3,60.1,81.9
"Canada",0.908,6.0,81.0,12.0,1.7,14.0,16.0,"12.1b",92.3,92.7,62.7,73.0
"China",0.687,101.0,73.5,38.0,1.6,8.4,11.6,7.5,54.8,70.4,67.4,79.7
"France",0.884,20.0,81.5,8.0,2.0,7.2,16.1,"10.6b",79.6,84.6,50.5,62.2
"Germany",0.905,9.0,80.4,7.0,1.5,7.9,15.9,"12.2b",91.3,92.8,53.1,66.8
"India",0.547,134.0,65.4,230.0,2.5,86.3,10.3,4.4,26.6,50.4,32.8,81.1
"Indonesia",0.617,-2.0,69.4,240.0,2.1,45.1,13.2,5.8,24.2,31.1,52.0,86.0
"Italy",0.874,24.0,81.9,5.0,1.5,6.7,16.3,"10.1b",67.8,78.9,38.4,60.6
"Japan",0.901,12.0,83.4,6.0,1.4,5.0,15.1,"11.6b",80.0,82.3,47.9,71.8
"Mexico",0.77,57.0,77.0,85.0,2.2,70.6,13.9,8.5,55.8,61.9,43.2,""
"Russian Federation",0.755,66.0,68.8,39.0,1.5,30.0,14.1,9.8,90.6,95.6,57.5,80.6
"Saudi Arabia",0.77,56.0,73.9,24.0,2.6,11.6,13.7,7.8,50.3,57.9,21.2,69.2
"South Africa",0.619,123.0,52.8,410.0,2.4,59.2,13.1,"8.5b",66.3,68.0,47.0,79.8
"Republic of Korea",0.897,-17.0,80.6,18.0,1.4,2.3,16.9,11.6,79.4,91.7,50.1,63.4
"Turkey",0.699,92.0,74.0,23.0,2.0,39.2,11.8,6.5,27.1,46.7,24.0,72.0
"United Kingdom",0.863,28.0,80.2,12.0,1.9,29.6,16.1,9.3,68.8,67.8,55.3,69.6
"United States",0.91,4.0,78.5,24.0,2.1,41.2,16.0,12.4,95.3,94.5,58.4,69.5
"European Union","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
