-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "HaryanaNSDPconst.csv", 
 "title": "Download CSV for Haryana Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HaryanaNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","820149","882100","837774","932884","847216","875438","916126","936612","934424","926529","1010391","1046959"
"Foresty and Logging","4801","5116","5189","5420","5299","5028","4899","4852","4697","4831","4898","4968"
"Fishing","2675","2783","3114","3302","3511","3501","3408","3896","4073","3949","4557","4907"
"Mining and Quarrying","3947","3985","3182","7543","5547","7448","8217","9196","11553","6913","8206","8772"
"Sub total of primary","831572","893984","849259","949149","861573","891415","932650","954556","954747","942222","1028052","1065606"
"Manufacturing","358878","395694","428602","456259","484929","509391","522766","542388","567850","607912","666302","735996"
"Registered","233841","264518","290745","307842","330769","344436","347692","357822","374555","403536","445571","496665"
"Unregistered","125037","131176","137857","148417","154160","164955","175074","184566","193295","204376","220731","239331"
"Construction","147925","158048","164300","161822","170119","184311","193423","203470","219925","210206","219198","227867"
"Electricity, Gas and water Supply","-13672","-13740","-14275","-13982","-14026","-13094","-14988","-12971","-13763","-13802","-14058","-14883"
"Sub total of secondary","493131","540002","578627","604099","641022","680608","701201","732887","774012","804316","871442","948980"
"Transport Storage and Communication","119344","123308","133632","154362","167970","195413","222930","248954","284602","337572","395804","461578"
"Railways","13066","13730","15019","17407","16866","18747","25901","27955","28699","33322","35812","38963"
"Transport by other means","94602","94322","99910","113519","119133","132733","144408","164569","185755","216714","254536","292800"
"Storage","1440","1614","1563","1470","1543","1612","1739","1667","1916","2621","2472","2630"
"Communication","10236","13642","17140","21966","30428","42321","50882","54763","68232","84915","102984","127185"
"Trade, hotels and restaurants","246357","262554","286499","349689","374909","367638","427191","526705","593664","645259","698545","797911"
"Banking and Insurance","52188","57507","62493","88146","107927","105733","135976","135550","139867","164340","176580","193179"
"Real estate, ownership of dwelling and business","56261","58730","61025","63486","65757","67602","69104","71563","73500","75664","77882","80172"
"Pubic Administration","45779","48026","49538","54338","57506","82164","80816","78108","78791","79393","84380","92422"
"Other Services","97523","99409","104318","112603","119855","133752","136490","140188","145258","150251","154078","158457"
"Sub total of tertiary","617452","649534","697505","822624","893924","952302","1072507","1201068","1315682","1452479","1587269","1783719"
"State domestic product","1942155","2083520","2125391","2375872","2396519","2524325","2706358","2888511","3044441","3199017","3486763","3798305"

"Figures are in Rs. Lakh"
