-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "WbengalGSDPconst.csv", 
 "title": "Download CSV for West Bengal Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05.", 
 "url": "http://data.gov.in/sites/default/files/WbengalGSDPconst.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09(P)","2009-10","2010-11","2011-12","2012-13"
"Agriculture","4002017","4075650","4116824","4369531","4215545","4565890","4548318","4621910","4743647"
"Foresty and Logging","237530","240507","248974","262111","263915","268096","260255","265208","267687"
"Fishing","754005","788372","847066","904823","926850","947462","929856","957116","982759"
"Ag and Allied","4993552","5104529","5212864","5536465","5406310","5781448","5738429","5844234","5994093"
"Mining and Quarrying","284921","285914","298735","259652","267343","266835","250924","231323","224180"
"Sub total of primary","5278473","5390443","5511599","5796117","5673653","6048283","5989353","6075557","6218273"
"Manufacturing","2326158","2272282","2543323","2873561","2899126","3242074","3553758","3626548","3802910"
"Registered","1275643","1137080","1274902","1470033","1497537","1793112","1871002","1891510","1976470"
"Unregistered","1050515","1135202","1268421","1403528","1401589","1448962","1682756","1735038","1826440"
"Construction","1493996","1654785","1769085","1809617","1658070","1804375","1921341","2041789","2243599"
"Electricity, Gas and water Supply","414370","455598","464025","480099","503588","530593","564462","573593","606427"
"Sub total of secondary","4234524","4382665","4776433","5163277","5060784","5577042","6039561","6241930","6652936"
"Industry","4519445","4668579","5075168","5422929","5328127","5843877","6290485","6473253","6877116"
"Transport Storage and Communication","1858294","2020907","2272898","2545111","2840295","2809086","3226670","3594044","4068259"
"Railways","307088","327781","360236","383469","422093","501839","572350","637447","715010"
"Transport by other means","1161292","1221340","1323831","1433993","1525693","1277392","1433848","1466705","1519789"
"Storage","61716","65227","70614","73676","77408","78376","85606","88782","90768"
"Communication","328198","406559","518217","653973","815101","951479","1134866","1401110","1742692"
"Trade, hotels and restaurants","3273915","3532336","3871373","4091828","4295703","4751684","5666206","5995519","6426832"
"Banking and Insurance","1300304","1486068","1784760","2079595","2181558","2359006","2608818","2956779","3273061"
"Real estate, ownership of dwelling and business","1570769","1729331","1897685","2067077","2264078","2405569","2687577","2913501","3058524"
"Pubic Administration","1147854","1219060","1184978","1153577","1532205","1683777","1688143","1797291","1975417"
"Other Services","2201503","2418136","2607986","2866636","3176550","3561049","3980785","4409775","4918681"
"Sub total of tertiary","11352639","12405838","13619680","14803824","16290389","17570171","19858199","21666909","23720774"
"State domestic product","20865636","22178946","23907712","25763218","27024826","29195496","31887113","33984396","36591983"

"Figures are in Rs. Lakh"
