-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "AssamGSDPconst.csv", 
 "title": "Download CSV for Assam Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AssamGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","526779","534914","542616","540507","562114","534420","533720","524397","578374","582865","571572","566834","565687"
"Foresty and Logging","29882","27785","30301","30568","30912","31375","32133","33178","33184","33583","34039","34475","35043"
"Fishing","39645","39976","40510","40095","40236","40426","38142","38733","39463","43765","44212","45551","48117"
"Mining and Quarrying","113442","112452","112935","109587","125001","125673","128996","121368","118998","113867","114648","116867","128641"
"Sub total of primary","709748","715127","726362","720757","758263","731894","732991","717676","770019","774080","764471","763727","777488"
"Manufacturing","132442","143913","145334","148072","160833","146859","156762","154993","179099","187547","209299","222179","238228"
"Registered","100382","112156","112150","114819","122243","107131","119554","119329","137068","145026","165519","177087","192077"
"Unregistered","32060","31757","33184","33253","38590","39728","37208","35664","42031","42521","43780","45092","46151"
"Construction","69961","77919","72321","84650","81245","90960","65121","98695","78176","82977","89542","111406","117557"
"Electricity, Gas and water Supply","23731","23325","27680","27953","25170","23653","24455","23619","19746","33830","37644","42763","51919"
"Sub total of secondary","226134","245157","245335","260675","267248","261472","246338","277307","277021","304354","336485","376348","407704"
"Transport Storage and Communication","59783","61997","65771","67027","60354","63440","64817","79355","97595","115140","124485","155437","169558"
"Railways","11812","12490","14703","13975","14390","15633","15153","15903","20086","20256","21556","23697","24529"
"Transport by other means","38291","39184","39866","40962","31469","34282","35410","37371","36887","39621","40746","41788","43893"
"Storage","363","399","341","336","919","-83","-190","-139","-173","-243","-281","-286","-341"
"Communication","9317","9924","10861","11754","13576","13608","14444","26220","40795","55506","62464","90238","101477"
"Trade, hotels and restaurants","244111","256704","262594","278850","220963","227395","222942","237219","254217","281525","332175","371938","412560"
"Banking and Insurance","43067","46803","52737","67540","76516","80659","91874","83681","88521","102167","109775","116047","131197"
"Real estate, ownership of dwelling and business","48806","48989","50034","50784","51320","52486","59523","62554","70394","74177","77043","78525","82177"
"Pubic Administration","85170","88904","90201","88837","109170","109761","127420","131795","136722","126000","134826","144035","153857"
"Other Services","97498","93568","108649","114180","121168","134266","168321","192608","196264","201880","209160","205752","213049"
"Sub total of tertiary","578435","596965","629986","667218","639491","668007","734897","787212","843713","900889","987464","1071734","1162398"
"State domestic product","1514317","1557249","1601683","1648650","1665002","1661373","1714226","1782194","1890753","1979325","2088420","2211811","2347590"

"Figures are in Rs. Lakh"
