-----
{
 "description": "The table refers to Statewise Distribution of Dugwells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.9.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.9.csv"
}
-----
"State","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"ANDHRA PRADESH",975358,97708,8252,998,83396,19504,1185216
"ARUNACHAL PRADESH",1,3,0,0,0,0,4
"ASSAM",9,138,0,0,5,2,154
"BIHAR",12261,65145,2829,465,52617,1860,135177
"CHHATTISGARH",116376,15446,896,108,60418,11739,204983
"GOA",2666,233,2,1,1400,814,5116
"GUJ ARAT",430004,466759,5025,192,17434,16186,935600
"HARYANA",8880,5610,59,9,291,3970,18819
"HIMACHAL PRADESH",1334,357,7,0,182,16,1896
"JAMMU & KASHMIR",2283,178,1,1,27,28,2518
"JHARKHAND",3703,146658,1063,295,169607,2229,323555
"KARNATAKA",283509,28827,3153,396,2705,9393,327983
"KERALA",133303,9358,679,100,20408,2108,165956
"MADHYA PRADESH",1066676,163656,9254,913,9591,26616,1276706
"MAHARASHTRA",1462929,65027,7077,780,9225,113520,1658558
"MANIPUR",0,3,0,0,0,0,3
"MEGHALAYA",1,0,0,0,1,9,11
"NAGALAND",22,155,0,0,81,25,283
"ORISSA",13833,29821,1147,96,324197,9285,378379
"PUNJAB",1301,1604,17,0,0,9,2931
"RAJASTHAN",424717,482114,4835,399,191453,67980,1171498
"TAMIL NADU",1206662,269862,31268,771,52768,95170,1656501
"TRIPURA",9,8,1,0,28,213,259
"UTTAR PRADESH",6668,105218,1089,52,9163,2213,124403
"UTTARANCHAL",121,341,6,0,109,260,837
"WEST BENGAL",753,14523,135,22,20477,3467,39377
"ANDAMAN & NICOBARS",6,1,0,0,1,0,8
"DADRA & NAGAR HAVELI",325,247,0,0,0,0,572
"PONDICHERRY",74,4,0,0,0,0,78
"ALL INDIA",6153784,1969004,76795,5598,1025584,386616,9617381
