-----
{
 "description": "This table provides Breakup of the Exploration Programme for the Twelfth Five Year Plan (2012-17). It gives details of sensitive petroleum products for the year 2012-17.", 
 "file_name": "Breakup_Exploration_Programme_Twelfth_Plan.xls", 
 "title": "Download XLS for Breakup of the Exploration Programme for the Twelfth Five Year Plan (2012-17)", 
 "url": "http://data.gov.in/sites/default/files/Breakup_Exploration_Programme_Twelfth_Plan.xls"
}
-----
"Sensitive Petroleum Products","2012-13","2013-14","2014-15","2015-16","2016-17","Total "
"Diesel",86910.0,90820.0,95053.0,99673.0,"1,04,664","4,77,120"
"PDS Kerosene",28880.0,27725.0,26617.0,25552.0,24528.0,"1,33,301"
"Domestic LPG",38182.0,42054.0,44931.0,47531.0,49618.0,"2,22,316"
"Total","1,53,973","1,60,598","1,66,601","1,72,756","1,78,810","8,32,737"
