-----
{
 "description": "The table refers to block wise distribution of shallow tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.6.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.6.csv"
}
-----
State,District,Block,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ASSAM,BONGAIGAON,MANIKPUR,134,52,0,0,0,0,52,186
ASSAM,BONGAIGAON,SIDLI-CHIRANG,69,4,0,0,0,0,4,73
ASSAM,BONGAIGAON,SRIJANGRAM,135,81,0,0,0,0,81,216
ASSAM,CACHAR,SONAI,1,0,0,0,0,0,0,1
ASSAM,DARRANG,DALGAON SIALMARI,637,110,0,0,0,0,110,747
ASSAM,DARRANG,KALAIGAON,195,147,0,0,0,0,147,342
ASSAM,DARRANG,KHAIRABARI,47,184,1,0,0,0,185,232
ASSAM,DARRANG,MAZBAT,602,47,0,0,0,0,47,649
ASSAM,DARRANG,SIPAJHAR,85,127,0,0,0,0,127,212
ASSAM,DARRANG,UDALGURI,47,22,0,0,0,0,22,69
ASSAM,DHEMAJI,BORDOLONI,102,115,2,0,0,0,117,219
ASSAM,DHEMAJI,DHEMAJI,269,153,0,0,0,0,153,422
ASSAM,DHEMAJI,MURKONGSELLECK,53,23,0,0,0,0,23,76
ASSAM,DHUBRI,AGAMONI,572,28,0,0,1,5,34,606
ASSAM,DHUBRI,BILASIPARA,458,147,0,0,0,0,147,605
ASSAM,DHUBRI,CHAPAR SALKOCHA,46,71,0,0,0,0,71,117
ASSAM,DHUBRI,GAURIPUR,399,150,1,0,0,0,151,550
ASSAM,DHUBRI,GOLOKGANJ,86,14,0,0,0,0,14,100
ASSAM,DHUBRI,MANKACHAR,80,51,0,0,0,0,51,131
ASSAM,DHUBRI,SOUTH SALMARA,228,151,0,0,0,0,151,379
ASSAM,DIBRUGARH,BARBARUAH,173,31,0,0,0,0,31,204
ASSAM,DIBRUGARH,JOYPUR,129,53,0,0,0,0,53,182
ASSAM,DIBRUGARH,KHOWANG,173,90,0,0,0,0,90,263
ASSAM,DIBRUGARH,LAHOWAL,268,9,0,0,0,0,9,277
ASSAM,DIBRUGARH,PANITOLA,104,199,0,0,0,0,199,303
ASSAM,DIBRUGARH,TENGAKHAT,208,24,0,0,0,0,24,232
ASSAM,GOALPARA,BALIJANA,48,40,0,0,0,0,40,88
ASSAM,GOALPARA,DUDHNOI,26,1,0,0,0,0,1,27
ASSAM,GOALPARA,LAKHIPUR,95,54,0,0,0,0,54,149
ASSAM,GOALPARA,MATIA,96,21,0,0,0,0,21,117
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,25,1,0,0,0,0,1,26
ASSAM,GOLAGHAT,GOLAGHAT EAST,20,12,0,0,0,0,12,32
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,110,0,0,0,0,110,110
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,45,66,0,27,10,5,108,153
ASSAM,GOLAGHAT,GOLAGHAT WEST,84,86,0,0,0,0,86,170
ASSAM,GOLAGHAT,GOMARIGURI,2,2,0,0,0,0,2,4
ASSAM,HAILAKANDI,HAILAKANDI,76,0,0,0,0,0,0,76
ASSAM,HAILAKANDI,LALA,4,0,0,0,0,0,0,4
ASSAM,JORHAT,JORHAT,22,1,0,0,0,0,1,23
ASSAM,JORHAT,JORHAT CENTRAL,92,1,0,0,0,0,1,93
ASSAM,JORHAT,JORHAT EAST,155,1,0,0,0,0,1,156
ASSAM,JORHAT,MAJULI,1052,18,0,0,0,0,18,1070
ASSAM,JORHAT,NORTH WEST JORHAT,144,0,0,0,0,0,0,144
ASSAM,JORHAT,TITABOR,3,1,0,0,0,0,1,4
ASSAM,KAMRUP,BOKO BANGAON,20,4,0,0,0,0,4,24
ASSAM,KAMRUP,CHAMARIA,13,33,0,0,0,0,33,46
ASSAM,KAMRUP,CHHAYGAON,18,31,0,0,0,0,31,49
ASSAM,KAMRUP,DIMORIA,32,0,0,0,0,0,0,32
ASSAM,KAMRUP,HAJO,128,43,0,0,9,19,71,199
ASSAM,KAMRUP,KAMALPUR,126,1,0,0,11,3,15,141
ASSAM,KAMRUP,KARARA,256,63,0,0,0,0,63,319
ASSAM,KAMRUP,RAMPUR,51,11,0,0,0,0,11,62
ASSAM,KAMRUP,RANGIA,163,147,0,0,0,0,147,310
ASSAM,KAMRUP,RANI,85,1,0,0,0,0,1,86
ASSAM,KARBI ANGLONG,AMRI,1,0,0,0,0,0,0,1
ASSAM,KARBI ANGLONG,BOKAJAN,4,0,0,0,0,0,0,4
ASSAM,KARBI ANGLONG,HOWRAGHAT,20,0,0,0,0,0,0,20
ASSAM,KARBI ANGLONG,LUMBAJONG,1,0,1,0,0,0,1,2
ASSAM,KARBI ANGLONG,RONGKHONG,52,0,0,0,0,0,0,52
ASSAM,KARBI ANGLONG,SAMILONGSO,2,0,0,0,0,0,0,2
ASSAM,KARIMGANJ,BADARPUR,1,0,0,0,0,0,0,1
ASSAM,KARIMGANJ,NORTH KARIMGANJ,14,0,0,0,0,0,0,14
ASSAM,KARIMGANJ,PATHARKANDI,23,0,0,0,0,0,0,23
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,18,0,0,0,0,0,0,18
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,28,0,0,0,0,0,0,28
ASSAM,KOKRAJHAR,DOTOMA,156,92,1,0,0,0,93,249
ASSAM,KOKRAJHAR,GOSSAIGAON,48,14,0,0,0,0,14,62
ASSAM,KOKRAJHAR,KACHUGAON,275,6,0,0,0,0,6,281
ASSAM,KOKRAJHAR,KOKRAJHAR,85,28,0,0,0,0,28,113
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),49,4,0,0,0,0,4,53
ASSAM,LAKHIMPUR,BIHPURIA,210,119,1,0,0,0,120,330
ASSAM,LAKHIMPUR,BORDALANI,17,34,0,0,0,0,34,51
ASSAM,LAKHIMPUR,DHAKUAKHANA,69,86,0,0,0,0,86,155
ASSAM,LAKHIMPUR,LAKHIMPUR,129,108,0,0,0,0,108,237
ASSAM,LAKHIMPUR,NARAYANPUR,112,85,0,0,0,0,85,197
ASSAM,LAKHIMPUR,NOWBOICHA,90,103,0,3,0,0,106,196
ASSAM,MARIGAON,BHURBANDHA,259,156,1,0,0,0,157,416
ASSAM,MARIGAON,KAPILI,9,1,0,0,0,0,1,10
ASSAM,MARIGAON,LAHARIGHAT,333,69,0,0,0,0,69,402
ASSAM,MARIGAON,MAYONG,513,54,0,0,0,0,54,567
ASSAM,NAGAON,BATADRAVA,150,68,0,0,0,0,68,218
ASSAM,NAGAON,JUGIJAN,284,51,0,0,0,0,51,335
ASSAM,NAGAON,JURIA,98,21,0,0,0,0,21,119
ASSAM,NAGAON,KALIABOR,397,37,0,0,0,0,37,434
ASSAM,NAGAON,KAPILI,8,2,0,0,0,0,2,10
ASSAM,NAGAON,KAPILI PT.I,295,42,0,0,0,0,42,337
ASSAM,NAGAON,KATHIATOLI,711,277,0,0,0,0,277,988
ASSAM,NAGAON,KHAGARIJAN,117,51,0,0,0,0,51,168
ASSAM,NAGAON,LANKA,248,121,0,0,0,0,121,369
ASSAM,NAGAON,LAOKHOWA,101,43,0,0,0,0,43,144
ASSAM,NAGAON,RUPAHI,91,44,0,0,0,0,44,135
ASSAM,NALBARI,BARIGOG BANBHAG,86,1,0,5,6,2,14,100
ASSAM,NALBARI,BARKHETRI,223,67,0,0,1,0,68,291
ASSAM,NALBARI,BASKA,208,30,6,0,0,1,37,245
ASSAM,NALBARI,PASCHIM NALBARI,99,83,0,0,0,0,83,182
ASSAM,NALBARI,PUB NALBARI,221,30,0,6,5,6,47,268
ASSAM,NALBARI,TAMULPUR,124,44,0,0,0,0,44,168
ASSAM,NALBARI,TIHU BARAMA,77,28,0,50,8,0,86,163
ASSAM,SIBSAGAR,AMGURI,106,3,0,0,0,0,3,109
ASSAM,SIBSAGAR,DEMOW,251,11,0,1,0,1,13,264
ASSAM,SIBSAGAR,NAZIRA,90,12,0,0,0,0,12,102
ASSAM,SIBSAGAR,SAPEKHATI,47,0,0,0,0,0,0,47
ASSAM,SIBSAGAR,SONARI,258,8,0,0,0,0,8,266
ASSAM,SONITPUR,BALIPARA,508,16,0,0,1,0,17,525
ASSAM,SONITPUR,BEHALI,167,44,8,1,1,4,58,225
ASSAM,SONITPUR,BISWANATH,50,10,0,0,0,0,10,60
ASSAM,SONITPUR,CHAIDUAR,219,287,2,4,133,113,539,758
ASSAM,SONITPUR,DHEKIAJULI,406,88,0,0,1,0,89,495
ASSAM,SONITPUR,GABHORU,381,29,0,0,0,0,29,410
ASSAM,SONITPUR,NADUAR,200,194,0,0,0,0,194,394
ASSAM,TINSUKIA,HAPJAN,458,0,0,0,0,0,0,458
ASSAM,TINSUKIA,KAKOPATHAR,663,26,0,0,0,12,38,701
ASSAM,TINSUKIA,MARGHERITA,84,6,0,2,0,1,9,93
ASSAM,TINSUKIA,SADIYA,103,55,0,0,1,1,57,160
BIHAR,ARARIA,ARARIA,1704,0,0,9,4,21,34,1738
BIHAR,ARARIA,BHARGAMA,1200,7,0,0,1,0,8,1208
BIHAR,ARARIA,FORBESGANJ,2939,1,0,1,0,1,3,2942
BIHAR,ARARIA,JOKIHAT,1497,4,0,0,2,0,6,1503
BIHAR,ARARIA,KURSAKATTA,1017,0,0,3,1,2,6,1023
BIHAR,ARARIA,NARPAIGANJ,895,9,0,3,10,0,22,917
BIHAR,ARARIA,PALASI,1554,56,0,223,80,0,359,1913
BIHAR,ARARIA,RANIGANJ,710,14,0,12,2,0,28,738
BIHAR,ARARIA,SIKTI,1087,5,0,5,12,0,22,1109
BIHAR,AURANGABAD,AURANGABAD,581,42,0,33,5,2,82,663
BIHAR,AURANGABAD,BARUN,1033,24,0,2,3,6,35,1068
BIHAR,AURANGABAD,DAUDNAGAR,312,8,0,3,0,0,11,323
BIHAR,AURANGABAD,DEO,439,19,0,2,0,0,21,460
BIHAR,AURANGABAD,GOH,1156,34,0,22,1,4,61,1217
BIHAR,AURANGABAD,HASPURA,923,2,0,8,1,0,11,934
BIHAR,AURANGABAD,KUTUMBA,748,37,0,10,2,0,49,797
BIHAR,AURANGABAD,MADANPUR,513,91,0,2,30,6,129,642
BIHAR,AURANGABAD,NABINAGAR,469,42,0,6,0,0,48,517
BIHAR,AURANGABAD,OBRA,676,32,0,1,2,8,43,719
BIHAR,AURANGABAD,RAFIGANJ,1407,20,0,5,4,1,30,1437
BIHAR,BANKA,AMARPUR,1258,13,0,4,1,0,18,1276
BIHAR,BANKA,BANKA,226,0,0,0,1,0,1,227
BIHAR,BANKA,BARAHAT,422,13,0,2,1,0,16,438
BIHAR,BANKA,BELHAR,392,10,0,1,0,0,11,403
BIHAR,BANKA,DHURAIYA,1225,2,0,0,1,0,3,1228
BIHAR,BANKA,KATORIA,13,0,0,0,0,0,0,13
BIHAR,BANKA,PHULLIDUMAR,329,0,0,0,0,0,0,329
BIHAR,BANKA,RAJAN,1011,2,0,0,0,0,2,1013
BIHAR,BANKA,SAMBHUGANJ,996,2,0,0,0,0,2,998
BIHAR,BEGUSARAI,BACHHAWARA,2042,8,7,0,0,0,15,2057
BIHAR,BEGUSARAI,BAKHARI,730,0,0,0,0,0,0,730
BIHAR,BEGUSARAI,BALIA,1374,0,3,0,0,0,3,1377
BIHAR,BEGUSARAI,BARAUNI,1403,2,0,10,5,1,18,1421
BIHAR,BEGUSARAI,BEGUSARAI,2363,0,1,1,5,0,7,2370
BIHAR,BEGUSARAI,BHAGAWANPUR,1640,5,26,21,12,2,66,1706
BIHAR,BEGUSARAI,BIRPUR,671,7,0,0,117,0,124,795
BIHAR,BEGUSARAI,CHERIA BARIARPUR,1308,19,0,79,33,0,131,1439
BIHAR,BEGUSARAI,CHHAURAHI,1440,1,0,2,7,0,10,1450
BIHAR,BEGUSARAI,DANDARI,1108,11,0,0,8,1,20,1128
BIHAR,BEGUSARAI,GARHPURA,866,1,0,0,0,0,1,867
BIHAR,BEGUSARAI,KHUDABANDPUR,697,3,0,8,0,7,18,715
BIHAR,BEGUSARAI,MANSURCHAK,369,0,0,0,0,0,0,369
BIHAR,BEGUSARAI,MATIHANI,1513,20,0,16,71,0,107,1620
BIHAR,BEGUSARAI,NAOKHOTHI,1150,12,0,8,56,0,76,1226
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,903,0,0,0,0,0,0,903
BIHAR,BEGUSARAI,TEGHRA,1336,2,1,11,0,0,14,1350
BIHAR,BHABUA,BHABUA,1335,0,0,0,0,0,0,1335
BIHAR,BHABUA,BHAGWANPUR,224,5,0,1,2,0,8,232
BIHAR,BHABUA,CHAINPUR,826,1,0,0,1,0,2,828
BIHAR,BHABUA,CHAND,527,1,0,0,3,0,4,531
BIHAR,BHABUA,DURGAWATI,1583,33,0,1,0,4,38,1621
BIHAR,BHABUA,KUDRA,1802,14,0,1,0,0,15,1817
BIHAR,BHABUA,MOHANIA,2409,1,0,8,1,0,10,2419
BIHAR,BHABUA,NUAWN,1197,0,0,0,0,0,0,1197
BIHAR,BHABUA,RAMGAR,1546,0,0,1,1,0,2,1548
BIHAR,BHABUA,RAMPUR,113,0,0,0,0,0,0,113
BIHAR,BHAGALPUR,BIHPUR,838,1,0,7,0,0,8,846
BIHAR,BHAGALPUR,GAURIDIH,207,1,0,1,0,0,2,209
BIHAR,BHAGALPUR,GOPALPUR,692,0,0,0,0,0,0,692
BIHAR,BHAGALPUR,ISMAILPUR,314,9,0,0,0,0,9,323
BIHAR,BHAGALPUR,JAGDISHPUR,54,2,0,0,0,0,2,56
BIHAR,BHAGALPUR,KAHALGAON,552,0,0,0,0,0,0,552
BIHAR,BHAGALPUR,KHARIK,1076,11,0,1,14,2,28,1104
BIHAR,BHAGALPUR,NARAINPUR,369,0,0,0,0,6,6,375
BIHAR,BHAGALPUR,NATHNAGAR,684,0,0,0,1,0,1,685
BIHAR,BHAGALPUR,NAUGACHHIA,984,2,0,0,0,0,2,986
BIHAR,BHAGALPUR,PIRPAINTI,1160,0,0,1,0,0,1,1161
BIHAR,BHAGALPUR,RANGRACHOWK,499,0,0,0,0,0,0,499
BIHAR,BHAGALPUR,SABOUR,275,1,0,3,0,0,4,279
BIHAR,BHAGALPUR,SHAHKUND,1323,5,0,1,1,0,7,1330
BIHAR,BHAGALPUR,SONHAULLA,608,0,0,0,0,0,0,608
BIHAR,BHAGALPUR,SULTANGANJ,888,2,0,2,1,0,5,893
BIHAR,BHOJPUR,AGIAON,459,4,0,2,2,0,8,467
BIHAR,BHOJPUR,ARRAHSADAR,1248,40,0,9,14,6,69,1317
BIHAR,BHOJPUR,BARBARA,873,16,0,3,3,1,23,896
BIHAR,BHOJPUR,BEHIA,1366,9,0,2,1,0,12,1378
BIHAR,BHOJPUR,CHARPOKHARI,717,0,0,3,0,2,5,722
BIHAR,BHOJPUR,GARHANI,607,0,0,0,0,0,0,607
BIHAR,BHOJPUR,JAGDISHPUR,2833,19,0,2,0,0,21,2854
BIHAR,BHOJPUR,KOILWAR,1324,41,0,29,2,1,73,1397
BIHAR,BHOJPUR,PIRO,1292,6,0,3,0,1,10,1302
BIHAR,BHOJPUR,SAHAR,258,40,0,0,3,2,45,303
BIHAR,BHOJPUR,SAHPUR,643,0,0,1,3,0,4,647
BIHAR,BHOJPUR,SANDISH,1135,4,0,3,0,13,20,1155
BIHAR,BHOJPUR,TARARI,858,5,0,9,0,0,14,872
BIHAR,BHOJPUR,UDWABTNAGAR,868,10,0,7,2,1,20,888
BIHAR,BUXAR,BRAHAMPUR,438,66,0,74,0,0,140,578
BIHAR,BUXAR,BUXAR,1239,24,0,4,9,5,42,1281
BIHAR,BUXAR,CHANGAIN,561,0,0,3,0,0,3,564
BIHAR,BUXAR,CHARKKI,195,0,0,0,0,0,0,195
BIHAR,BUXAR,CHAUSA,677,77,0,25,0,1,103,780
BIHAR,BUXAR,DUMRAIN,1111,0,0,1,0,0,1,1112
BIHAR,BUXAR,ITARHI,2718,39,0,17,4,37,97,2815
BIHAR,BUXAR,KESATH,218,0,0,0,0,0,0,218
BIHAR,BUXAR,NAWANAGAR,1256,330,0,8,0,0,338,1594
BIHAR,BUXAR,RAJPUR,2589,16,0,8,3,8,35,2624
BIHAR,BUXAR,SIMRI,1252,9,0,4,0,0,13,1265
BIHAR,CHAMPARAN EAST,ADAPUR,815,0,0,1,0,0,1,816
BIHAR,CHAMPARAN EAST,ARERAJ,768,1,0,0,2,1,4,772
BIHAR,CHAMPARAN EAST,BANJARIA,685,1,0,5,1,0,7,692
BIHAR,CHAMPARAN EAST,CHAKIYA,1739,23,0,1,3,0,27,1766
BIHAR,CHAMPARAN EAST,CHAURADANO,1014,4,0,1,1,2,8,1022
BIHAR,CHAMPARAN EAST,CHIRAIYA,1162,1,0,0,2,0,3,1165
BIHAR,CHAMPARAN EAST,DHAKA,902,3,0,7,7,2,19,921
BIHAR,CHAMPARAN EAST,FENHARA,927,1,0,0,0,0,1,928
BIHAR,CHAMPARAN EAST,GHORASAHAN,1288,0,0,18,0,2,20,1308
BIHAR,CHAMPARAN EAST,HARSIDHI,2080,4,0,7,1,2,14,2094
BIHAR,CHAMPARAN EAST,KALYANPUR,1631,0,0,0,0,0,0,1631
BIHAR,CHAMPARAN EAST,KESARIA,1340,8,0,16,1,26,51,1391
BIHAR,CHAMPARAN EAST,KOTWA,903,18,0,5,0,2,25,928
BIHAR,CHAMPARAN EAST,MADHUBAN,1151,2,0,0,0,0,2,1153
BIHAR,CHAMPARAN EAST,MEHSHI,1536,11,0,11,0,0,22,1558
BIHAR,CHAMPARAN EAST,MOTIHARI,1909,58,0,5,2,5,70,1979
BIHAR,CHAMPARAN EAST,PAHARPUR,1213,12,0,0,1,2,15,1228
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,1753,0,0,0,0,1,1,1754
BIHAR,CHAMPARAN EAST,PATAHI,1185,1,0,2,0,1,4,1189
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,883,1,0,0,0,0,1,884
BIHAR,CHAMPARAN EAST,RAMGARHWA,605,0,0,2,20,0,22,627
BIHAR,CHAMPARAN EAST,RAXAUL,677,0,0,1,0,0,1,678
BIHAR,CHAMPARAN EAST,SANGRAMPUR,629,2,0,4,0,3,9,638
BIHAR,CHAMPARAN EAST,SUGAULI,1713,5,0,1,1,0,7,1720
BIHAR,CHAMPARAN EAST,TETARIA,781,0,0,0,0,0,0,781
BIHAR,CHAMPARAN EAST,TURKAULIA,967,14,0,2,1,0,17,984
BIHAR,CHAMPARAN WEST,BAGAHA,999,15,0,0,0,2,17,1016
BIHAR,CHAMPARAN WEST,BAIRIA,1599,27,0,5,4,1,37,1636
BIHAR,CHAMPARAN WEST,BETTIAN,900,0,0,0,0,0,0,900
BIHAR,CHAMPARAN WEST,BHITAHA,820,0,0,0,0,0,0,820
BIHAR,CHAMPARAN WEST,CHANPATIYA,1352,4,0,0,0,0,4,1356
BIHAR,CHAMPARAN WEST,GAUNAHA,324,24,0,1,2,7,34,358
BIHAR,CHAMPARAN WEST,LAURIYA,1517,0,0,13,4,3,20,1537
BIHAR,CHAMPARAN WEST,MADHUBANI,939,1,0,0,1,0,2,941
BIHAR,CHAMPARAN WEST,MAINATANR,1019,4,0,6,4,0,14,1033
BIHAR,CHAMPARAN WEST,MAJHAWALIA,2955,4,0,14,1,0,19,2974
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,1182,21,0,2,1,0,24,1206
BIHAR,CHAMPARAN WEST,NAUTAN,1502,29,0,0,0,0,29,1531
BIHAR,CHAMPARAN WEST,PIPRASI,356,0,0,1,0,0,1,357
BIHAR,CHAMPARAN WEST,RAMNAGAR,1362,5,0,7,2,0,14,1376
BIHAR,CHAMPARAN WEST,SIDHAW,1001,33,0,42,0,8,83,1084
BIHAR,CHAMPARAN WEST,SIKTA,783,0,0,0,0,0,0,783
BIHAR,CHAMPARAN WEST,THAKRAHA,753,8,0,0,0,0,8,761
BIHAR,CHAMPARAN WEST,YOGAPATTI,1435,10,0,1,1,42,54,1489
BIHAR,CHATRA,CHATRA,10,0,0,0,0,0,0,10
BIHAR,CHATRA,HUNTERGANJ,43,0,0,0,0,0,0,43
BIHAR,CHATRA,PRATAP PUR,88,0,0,0,1,0,1,89
BIHAR,DARBHANGA,AUNAGAR,841,2,0,3,1,0,6,847
BIHAR,DARBHANGA,BAHADURPUR,775,1,0,4,0,4,9,784
BIHAR,DARBHANGA,BAHERI,1660,1,0,15,0,5,21,1681
BIHAR,DARBHANGA,BENIPUR,718,0,0,5,1,0,6,724
BIHAR,DARBHANGA,BIRAUL,997,2,0,0,0,0,2,999
BIHAR,DARBHANGA,DARBHANGA,557,13,0,4,3,2,22,579
BIHAR,DARBHANGA,GHANSHYAMPUR,458,7,0,11,0,0,18,476
BIHAR,DARBHANGA,GORA BOURAM,518,0,0,0,0,0,0,518
BIHAR,DARBHANGA,HAYAGHAT,637,2,0,7,1,8,18,655
BIHAR,DARBHANGA,JALE,801,0,0,0,0,0,0,801
BIHAR,DARBHANGA,KEOTI(RANWAY),1024,5,0,0,0,0,5,1029
BIHAR,DARBHANGA,KIRATPUR,212,7,0,0,0,0,7,219
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,142,0,0,0,0,0,0,142
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,321,8,0,0,0,0,8,329
BIHAR,DARBHANGA,MANIGACHHI,1107,1,0,23,1,0,25,1132
BIHAR,DARBHANGA,SINGHWARA,969,0,0,0,0,0,0,969
BIHAR,DEOGHAR,DEOGHAR,1,0,0,0,0,0,0,1
BIHAR,DHANBAD,BAGHMARA,1,0,0,0,0,0,0,1
BIHAR,DHANBAD,TOPCHACHI,4,0,0,0,0,0,0,4
BIHAR,GAYA,AMAS,158,1,0,0,3,0,4,162
BIHAR,GAYA,ATARI,859,36,0,2,0,0,38,897
BIHAR,GAYA,BANROYBAZAR,425,1,0,0,0,0,1,426
BIHAR,GAYA,BARACHATTI,189,0,0,0,0,0,0,189
BIHAR,GAYA,BELAGANJ,2137,30,0,22,2,0,54,2191
BIHAR,GAYA,BODHGAYA,2509,53,0,5,0,0,58,2567
BIHAR,GAYA,DOBBI,326,0,0,26,0,0,26,352
BIHAR,GAYA,DUMARIA,261,5,0,37,1,0,43,304
BIHAR,GAYA,FETHPUR,767,0,0,3,0,0,3,770
BIHAR,GAYA,GARARU,1250,2,0,5,1,1,9,1259
BIHAR,GAYA,GAYA SADAR,1004,5,0,6,1,26,38,1042
BIHAR,GAYA,GURUA,1093,1,0,5,0,0,6,1099
BIHAR,GAYA,IMAMGANJ,543,13,0,1,0,0,14,557
BIHAR,GAYA,KHIZIRSORAI,2836,14,0,3,1,1,19,2855
BIHAR,GAYA,KONCH,1772,47,0,17,0,4,68,1840
BIHAR,GAYA,MANPUR,666,6,0,0,0,0,6,672
BIHAR,GAYA,MOHANPUR,233,3,0,1,0,0,4,237
BIHAR,GAYA,NIMCHAK BATHANI,961,1,0,6,0,0,7,968
BIHAR,GAYA,PARAIYA,708,1,0,1,1,1,4,712
BIHAR,GAYA,SHERGHATI,1088,29,0,2,0,0,31,1119
BIHAR,GAYA,TANKUPPA,718,8,0,0,0,2,10,728
BIHAR,GAYA,TEKARI,2416,65,0,11,1,0,77,2493
BIHAR,GAYA,WAZGANJ,1249,1,0,8,0,0,9,1258
BIHAR,GIRIDIH,BIRNI,2,0,0,0,0,0,0,2
BIHAR,GIRIDIH,GANDEY,2,0,0,0,0,0,0,2
BIHAR,GIRIDIH,GAWAN,318,0,0,0,0,0,0,318
BIHAR,GIRIDIH,TISRI,47,0,0,0,0,0,0,47
BIHAR,GODDA,BOARIJORE,6,0,0,0,0,0,0,6
BIHAR,GODDA,GODDA,192,4,0,12,1,0,17,209
BIHAR,GODDA,MAHAGAMA,80,4,0,0,1,0,5,85
BIHAR,GODDA,PATHARGAMA,293,13,0,0,7,1,21,314
BIHAR,GOPALGANJ,BAIKUNTHPUR,1713,15,0,8,2,0,25,1738
BIHAR,GOPALGANJ,BARAULI,1408,28,0,67,0,0,95,1503
BIHAR,GOPALGANJ,BHOREY,1611,53,0,34,2,30,119,1730
BIHAR,GOPALGANJ,BIJAIPUR,1159,0,0,1,0,0,1,1160
BIHAR,GOPALGANJ,GOPALGANJ,1544,4,0,5,2,0,11,1555
BIHAR,GOPALGANJ,HATHUA,815,1,0,0,0,0,1,816
BIHAR,GOPALGANJ,KATAIYA,1065,11,0,7,3,1,22,1087
BIHAR,GOPALGANJ,KUCHAIKOTE,1572,3,0,3,0,1,7,1579
BIHAR,GOPALGANJ,MANJHA,1244,14,0,1,1,1,17,1261
BIHAR,GOPALGANJ,PHULWARIYA,885,64,0,3,0,0,67,952
BIHAR,GOPALGANJ,PUNCHDEORI,548,7,0,31,0,0,38,586
BIHAR,GOPALGANJ,SIDHWALIA,1060,7,0,2,4,9,22,1082
BIHAR,GOPALGANJ,THAWE,705,1,0,1,0,0,2,707
BIHAR,GOPALGANJ,UCHKAGAON,1409,2,0,6,2,5,15,1424
BIHAR,HAZARIBAG,ICHAK,2,1,0,0,0,0,1,3
BIHAR,JAMUI,ALIGANJ,423,1,0,33,1,0,35,458
BIHAR,JAMUI,BARHAT,53,8,0,0,0,0,8,61
BIHAR,JAMUI,GIDHOUR,240,0,0,9,0,0,9,249
BIHAR,JAMUI,JAMUI,1260,26,0,7,3,0,36,1296
BIHAR,JAMUI,JHAJHA,125,0,0,0,0,0,0,125
BIHAR,JAMUI,KHAIRA,470,5,0,23,0,0,28,498
BIHAR,JAMUI,SIKANDRA,173,11,0,31,1,0,43,216
BIHAR,JAMUI,SONO,235,15,0,0,0,0,15,250
BIHAR,JEHANABAD,ARWAL,797,11,2,0,0,0,13,810
BIHAR,JEHANABAD,BANSI SURUJPUR,1154,0,2,0,1,0,3,1157
BIHAR,JEHANABAD,GHOSI,3293,183,4,0,1,9,197,3490
BIHAR,JEHANABAD,JEHANABAD,2100,10,0,0,0,1,11,2111
BIHAR,JEHANABAD,KAKU,2091,4,1,1,0,0,6,2097
BIHAR,JEHANABAD,KALEV,297,23,1,0,0,0,24,321
BIHAR,JEHANABAD,KARPI,2175,18,0,5,1,0,24,2199
BIHAR,JEHANABAD,KURTHA,1552,1,0,0,0,0,1,1553
BIHAR,JEHANABAD,MAKHDOMPUR,2683,16,6,6,0,0,28,2711
BIHAR,JEHANABAD,RATNI FARIDPUR,1362,0,3,1,6,4,14,1376
BIHAR,KATIHAR,AMDABAET,1035,7,0,0,9,1,17,1052
BIHAR,KATIHAR,AZAMNAGAR,3654,16,0,0,0,0,16,3670
BIHAR,KATIHAR,BALRAMPUR,1722,1,0,1,1,0,3,1725
BIHAR,KATIHAR,BANPUR,1262,0,0,1,0,0,1,1263
BIHAR,KATIHAR,BARARI,2165,4,0,2,0,0,6,2171
BIHAR,KATIHAR,BARSOI,2729,12,0,0,0,0,12,2741
BIHAR,KATIHAR,DANDKHORA,941,12,0,1,0,0,13,954
BIHAR,KATIHAR,FALKA,839,2,0,0,0,0,2,841
BIHAR,KATIHAR,HASANGANJ,696,2,0,0,0,0,2,698
BIHAR,KATIHAR,KADWA,2949,0,0,1,0,0,1,2950
BIHAR,KATIHAR,KATIHAR,723,0,0,0,0,0,0,723
BIHAR,KATIHAR,KORHA,2797,0,0,0,0,2,2,2799
BIHAR,KATIHAR,KURSELA,481,0,0,0,0,0,0,481
BIHAR,KATIHAR,MANIHARI,1400,0,0,0,0,0,0,1400
