-----
{
 "description": "This data pertains to total receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Total Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Receipts_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"LASS-R","A","A Union Govt",19.1339,23.3073,21.9332,27.1356,30.1842,98.6561,28.0744,18.396,28.6922,70.0831,28.8958,1463.245
"LASS-R","B","A UT Puducherry",0.3393,0.318,0.2872,0.3609,0.4464,0.273,0.1621,2.5452,0.0561,0.0994,0.0438,0.0448
"LASS-R","B","Andhra Pradesh",3.2212,139.514,431.1357,194.4584,-62.4297,0.5604,3.869,315.7214,8.8431,3.6566,11.0903,8.3168
"LASS-R","B","Arunachal Pradesh",0.0007,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LASS-R","B","Assam",0.0111,0.001,0.0033,0.0005,0.0004,0.0,0.0,0.0,0.0,0.0,0.1641,0.0
"LASS-R","B","Bihar",2.5707,2.267,3.3209,1.9535,2.0837,3.1184,1.396,0.0519,0.0266,0.0092,0.0119,0.0053
"LASS-R","B","Chattisgarh",0.0,0.0047,0.0519,5.2782,0.4211,0.2464,1.6874,77.4997,1.5719,70.8998,10.7663,7.9607
"LASS-R","B","D NCT Delhi",62.2363,13.8156,69.3235,23.0772,65.4736,81.8349,54.4814,26.0494,41.7845,62.8573,86.8582,64.8271
"LASS-R","B","Goa",0.9892,0.6433,0.5141,0.6266,0.7008,0.4948,0.5104,0.9899,1.1128,2.9049,2.9872,1.454
"LASS-R","B","Gujarat",12.6926,10.4354,9.0768,7.7579,40.6462,39.0541,15.872,32.6542,17.2878,9.4476,4.2929,16.6259
"LASS-R","B","Haryana",2.1586,3.8541,-0.2311,3.2322,2.0082,0.914,0.951,0.7325,5.0414,0.1954,0.0842,9.6145
"LASS-R","B","Himachal Pradesh",0.5585,0.6824,1.2428,1.4398,1.1177,1.1461,0.5476,0.5303,0.4671,0.36,0.3342,0.3047
"LASS-R","B","Jammu and Kashmir",0.3529,0.4993,1.5842,0.4317,0.7375,0.3651,0.343,0.3067,0.277,0.1888,0.228,0.1485
"LASS-R","B","Jharkhand",0.0,0.0036,0.2249,0.0124,0.0029,0.0073,0.001,0.0017,0.104,0.2615,0.0904,3.0179
"LASS-R","B","Karnataka",9.2798,2.2397,1.7935,3.1821,7.9079,6.3128,6.0403,6.4599,11.4616,6.2606,6.0712,43.8866
"LASS-R","B","Kerala",3.5657,2.8056,2.1793,1.0127,4.2734,5.1768,-0.4231,1.6616,2.0577,1.8819,1.8557,1.2442
"LASS-R","B","Madhya Pradesh",135.7143,-21.801,0.982,17.2779,11.0323,17.6867,7.7825,3.0475,2.4213,17.584,7.7709,12.3639
"LASS-R","B","Maharastra",77.0726,91.7653,94.1999,72.9235,97.2078,105.098,106.7305,120.7727,127.2281,136.0069,124.7306,54.5613
"LASS-R","B","Manipur",0.0029,0.0058,0.0044,0.006,0.0049,0.0023,0.0,0.0006,1.652,0.0003,1.0002,0.2882
"LASS-R","B","Meghalaya",0.107,0.2551,0.0697,-0.2732,0.4253,0.1753,0.0682,0.0894,0.0438,0.0393,0.124,0.0584
"LASS-R","B","Mizoram",3.6094,6.1286,8.6254,10.4836,13.7235,16.7013,17.8371,19.7407,23.93,21.5291,22.1731,19.9937
"LASS-R","B","Nagaland",15.2223,5.5204,6.0803,6.5629,5.2268,0.1422,0.207,0.1558,0.083,0.0954,0.0299,0.0279
"LASS-R","B","Orissa",1.0263,17.5046,7.7931,1.6566,2.6993,2.2303,7.1198,3.1304,4.1338,2.8802,0.9454,1.1378
"LASS-R","B","Punjab",21.2419,8.5049,1.2185,2.036,1.4769,2.2255,0.8396,0.5538,0.6093,0.3392,0.4921,0.2074
"LASS-R","B","Rajasthan",6.1662,14.3605,9.4899,8.277,18.1686,5.3783,27.3614,6.0511,4.6165,2.2096,3.8516,25.0251
"LASS-R","B","Sikkim",0.0,0.0536,0.0,0.0,0.0,0.0,0.0,0.3941,0.0117,0.0497,0.0,0.0389
"LASS-R","B","Tamil Nadu",63.6847,47.7043,64.7305,174.3886,370.376,400.691,265.1104,245.0324,21.9584,597.2085,181.6234,193.6596
"LASS-R","B","Tripura",0.1383,0.1857,0.1839,0.196,0.2259,0.2127,0.2059,0.131,0.0992,0.1041,0.2593,0.1118
"LASS-R","B","Uttar Pradesh",35.5735,29.3753,104.4997,31.0512,56.9078,84.99,165.0201,121.2815,76.4444,196.0654,19.8621,-1.1504
"LASS-R","B","Uttarakhand",0.0,0.0,0.0,0.0,0.1221,7.91,0.0,0.0,0.0,0.0791,0.0,0.0
"LASS-R","B","West Bengal",0.8666,0.8435,6.6288,0.4837,0.4366,0.3229,0.728,0.2776,12.6451,0.1962,0.1957,0.2603
"","","Grand Total",477.5365,400.7969,846.9463,595.0295,671.6081,881.9267,712.523,1004.259,394.6604,1203.4931,516.8325,1927.2799
