-----
{
 "description": "The table refers to district wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.13.csv", 
 "title": "Download CSV for Districtwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.13.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total"
"ANDHRA PRADESH","ADILABAD",4091,3626,1437,14,1,5078
"ANDHRA PRADESH","ANANTHAPUR",36,20,20,0,0,40
"ANDHRA PRADESH","CHITTOOR",187,37,160,0,0,197
"ANDHRA PRADESH","CUDDAPAH",1651,1625,1342,0,0,2967
"ANDHRA PRADESH","EAST GODAVARI",4444,3708,2256,143,0,6107
"ANDHRA PRADESH","GUNTUR",17872,17719,1659,18,0,19396
"ANDHRA PRADESH","KARIMNAGAR",2620,2762,2028,6,0,4796
"ANDHRA PRADESH","KHAMMAM",19421,8874,12194,46,31,21145
"ANDHRA PRADESH","KRISHNA",9737,9670,1977,0,142,11789
"ANDHRA PRADESH","KURNOOL",6771,5859,4633,22,13,10527
"ANDHRA PRADESH","MAHABOOB NAGAR",6846,5417,3733,19,0,9169
"ANDHRA PRADESH","MEDAK",511,506,120,0,0,626
"ANDHRA PRADESH","NALGONDA",10856,10017,8279,49,17,18362
"ANDHRA PRADESH","NELLORE",7903,2790,5950,769,82,9591
"ANDHRA PRADESH","NIZAMABAD",7253,7428,4970,35,2,12435
"ANDHRA PRADESH","PRAKASAM",31813,28879,3396,399,0,32674
"ANDHRA PRADESH","RANGA REDDY",1446,997,932,339,7,2275
"ANDHRA PRADESH","SRIKAKULUM",972,867,119,0,0,986
"ANDHRA PRADESH","VIJAYA NAGARAM",2090,1944,615,27,0,2586
"ANDHRA PRADESH","VISAKHAPATNAM",1143,1041,17,125,24,1207
"ANDHRA PRADESH","WARANGAL",1509,1357,543,0,0,1900
"ANDHRA PRADESH","WEST GODAVARI",9947,8306,5370,486,140,14302
"ASSAM","BARPETA",6565,5451,3238,3,22,8714
"ASSAM","BONGAIGAON",2205,2115,1135,0,98,3348
"ASSAM","CACHAR",2637,2284,813,75,163,3335
"ASSAM","DARRANG",4697,4496,1471,0,76,6043
"ASSAM","DHEMAJI",1720,1651,849,0,184,2684
"ASSAM","DHUBRI",6450,5637,3299,10,169,9115
"ASSAM","DIBRUGARH",4980,4840,3082,0,31,7953
"ASSAM","GOALPARA",3136,2620,1348,0,35,4003
"ASSAM","GOLAGHAT",7951,6755,5728,3,42,12528
"ASSAM","HAILAKANDI",1859,1722,970,0,0,2692
"ASSAM","JORHAT",4256,3265,3057,0,0,6322
"ASSAM","KAMRUP",6622,4413,3483,4,57,7957
"ASSAM","KARBI ANGLONG",6968,4835,3058,50,356,8299
"ASSAM","KARIMGANJ",1844,1531,1480,0,0,3011
"ASSAM","KOKRAJHAR",3544,3194,1768,0,8,4970
"ASSAM","LAKHIMPUR",906,736,424,0,14,1174
"ASSAM","MARIGAON",6454,4300,4736,0,39,9075
"ASSAM","NAGAON",11093,9530,5879,3,374,15786
"ASSAM","NALBARI",3994,3423,1757,0,2,5182
"ASSAM","NORTH CACHAR HILLS",767,767,10,0,0,777
"ASSAM","SIBSAGAR",14289,12728,4031,1,11,16771
"ASSAM","SONITPUR",4113,3600,2218,1,25,5844
"ASSAM","TINSUKIA",2313,2159,862,0,136,3157
"BIHAR","ARARIA",329,327,299,0,122,748
"BIHAR","AURANGABAD",1009,634,663,11,68,1376
"BIHAR","BANKA",813,690,358,2,0,1050
"BIHAR","BEGUSARAI",2500,1500,1840,167,258,3765
"BIHAR","BHABUA",829,724,521,7,81,1333
"BIHAR","BHAGALPUR",4417,3925,2451,38,1035,7449
"BIHAR","BHOJPUR",605,446,377,6,66,895
"BIHAR","BOKARO",296,246,69,1,0,316
"BIHAR","BUXAR",195,147,112,0,0,259
"BIHAR","CHAMPARAN EAST",2170,1464,1475,97,172,3208
"BIHAR","CHAMPARAN WEST",879,743,667,0,0,1410
"BIHAR","CHATRA",1147,790,556,36,23,1405
"BIHAR","DARBHANGA",2167,955,1911,88,98,3052
"BIHAR","DEOGHAR",2125,1350,1095,10,1,2456
"BIHAR","DHANBAD",372,145,239,39,15,438
"BIHAR","DUMKA",3343,2121,2296,73,358,4848
"BIHAR","GARHWA",981,655,609,24,3,1291
"BIHAR","GAYA",412,367,76,3,1,447
"BIHAR","GIRIDIH",1650,1199,943,84,91,2317
"BIHAR","GODDA",5345,4365,1932,100,21,6418
"BIHAR","GOPALGANJ",126,120,84,0,1,205
"BIHAR","GUMLA",4096,3634,2048,56,3,5741
