-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at constant prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPConsMP.csv", 
 "title": "Download CSV for Gross State Domestic Product of Madhya Pradesh at factor cost at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPConsMP.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",2753979,2973694,3055971,3001998,3289794,3630190,3621337,4305550,4920170
"Forestry & Logging",342010,342784,336789,341840,349284,368985,372104,380521,392490
"Fishing",27841,27399,29628,27626,30714,29662,29912,33827,37683
"Agriculture & Allied",3123830,3343877,3422388,3371464,3669792,4028837,4023353,4719898,5350343
"Mining & Quarrying",544934,549690,598917,665800,707332,733312,714106,725436,720675
"Manufacturing",1255729,1345607,1726336,1804655,2132861,2276960,2439313,2531162,2583766
"Manufacturing - Registered",760612,831841,1166644,1201646,1519568,1637673,1760351,1813126,1855014
"Manufacturing - Unregistered",495117,513766,559692,603009,613293,639287,678962,718036,728752
"Construction",932423,1013164,1015929,1222070,1567341,1628743,1779030,1989577,2184550
"Electricity, Gas and Water supply",332722,301425,405049,276044,314259,419582,578404,666820,692539
"Industry",3065808,3209886,3746231,3968569,4721793,5058597,5510853,5912995,6181530
"Transport, Storage & Communication",663813,717002,825183,888974,958917,1180263,1356588,1635161,1956543
"Railways",198495,199365,246656,243531,248073,246620,251349,262277,267243
"Transport by other means",332432,359100,388945,422881,456437,495009,540293,590398,643495
"Storage",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Communication",132886,158537,189582,222562,254407,438634,564946,782486,1045805
"Trade, Hotels and restaurants",1534159,1565089,1765516,1904838,1979373,2120296,2216598,2361619,2526866
"Banking & Insurance",410720,485558,581573,655046,770643,928717,1162473,1407867,1721312
"Real estate, Ownership of dwellings and Business services",923724,978980,1038278,1103997,1181153,1243591,1306356,1377964,1459458
"Public Administration",554567,558118,535024,558514,727262,812484,844586,937809,964464
"Other services",1016068,1033436,1075419,1147169,1285683,1432977,1582548,1775674,1985770
"Services",5103051,5338183,5820993,6258538,6903031,7718328,8469149,9496094,10614413
"State Domestic Product",11292689,11891946,12989612,13598571,15294616,16805762,18003355,20128987,22146286
