-----
{
 "description": "The table refers to state wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.13_1.csv", 
 "title": "Download CSV for Statewise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.13_1.csv"
}
-----
State,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total
ANDHRA PRADESH,149119,123449,61750,2497,459,188155
ARUNACHAL PRADESH,0,0,0,0,0,0
ASSAM,109363,92052,54696,150,1842,148740
BIHAR,83798,58558,50587,2956,6634,118735
GOA,4137,13,491,3305,354,4163
GUJARAT,0,0,0,0,0,0
HARYANA,712,712,712,0,0,1424
HIMACHAL PRADESH,9860,8088,8860,215,76,17239
JAMMU & KASHMIR,33188,29239,5330,0,0,34569
KARNATAKA,105887,73985,35566,19793,8479,137824
KERALA,64090,31807,39223,17592,11312,99934
MADHYA PRADESH,646664,162949,689038,7267,13832,873086
MAHARASHTRA,0,0,0,0,0,0
MANIPUR,2432,1235,1596,0,619,3450
MEGHALAYA,2248,2189,825,0,0,3014
MIZORAM,160,93,67,0,0,160
NAGALAND,293,187,106,0,0,293
ORISSA,194662,143385,130625,4878,4412,283300
PUNJAB,4961,5746,6191,25,115,12077
RAJASTHAN,10451,170,10328,2,174,10674
SIKKIM,0,0,0,0,0,0
TAMIL NADU,21492,12124,7669,2022,4578,26392
TRIPURA,20198,11289,12552,808,1530,26179
UTTAR PRADESH,33583,19334,23045,2081,1555,46015
WEST BENGAL,352936,206144,194361,16883,79294,496682
ANDAMAN & NICOBARS,1835,908,638,434,24,2004
CHANDIGARH,0,0,0,0,0,0
DADRA & NAGAR HAVELI,545,318,196,43,13,570
DAMAN & DIU,0,0,0,0,0,0
DELHI,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0
PONDICHERRY,330,3,6,0,324,333
ALL INDIA,1852944,983977,1334458,80951,135626,2535012
