-----
{
 "description": "This table provides data related to goals and achievements in health sector during the Tenth Plan.", 
 "file_name": "Goals_and_Achievements_for_Health_Sector_during_the_Tenth_Plan.xls", 
 "title": "Download XLS for Goals and Achievements for Health Sector during the Tenth Plan", 
 "url": "http://data.gov.in/sites/default/files/Goals_and_Achievements_for_Health_Sector_during_the_Tenth_Plan.xls"
}
-----
"Indicator ","Goal for Tenth Plan","Achievements"
"Decadal Rate of Population Growth",0.162,"15.9% for 2001–11 (Projected)"
"IMR","45 per 1000 live births","58 per 1000 live births2"
"MMR","2 per 1000 live births","3.01 per 1000 live births3"
