-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "delhiNSDPconst.csv", 
 "title": "Download CSV for Delhi Net State Domestic Product at factor cost at Constant Prices for the year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/delhiNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","77063","41590","33257","30567","38918","48755","43283","51109","50372","50057","48942","49680"
"Foresty and Logging","94","106","106","106","106","108","108","109","109","114","117","112"
"Fishing","1349","1374","1397","1371","1431","1490","1541","1430","1144","804","750","503"
"Mining and Quarrying","1023","404","54","17","55","13","16","59","20","38","68","34"
"Sub total of primary","79529","43474","34814","32061","40510","50366","44948","52707","51645","51013","49877","649"
"Manufacturing","315472","412982","301508","287892","324621","351556","366864","400250","431987","455183","471993","545300"
"Registered","136956","219236","136085","131309","147452","151598","167109","164388","176874","186798","194343","224527"
"Unregistered","178516","193746","165423","156583","177169","199958","199755","235862","255113","268385","277650","320773"
"Construction","136801","137476","149290","176921","226516","225740","176983","376149","321626","303023","318175","358265"
"Electricity, Gas and water Supply","19590","14102","13902","14099","18653","19071","18368","20614","20972","17064","15570","16084"
"Sub total of secondary","471863","564560","464700","478912","569790","596367","562215","797013","774585","775270","805738","919649"
"Transport Storage and Communication","170174","190124","203628","213577","238435","264416","295003","368450","452038","501633","703990","854781"
"Railways","9475","9219","10618","11215","13373","13925","12480","14993","13595","14371","15355","16722"
"Transport by other means","102070","114118","118767","114361","123699","134080","138272","149726","164231","101011","114773","129579"
"Storage","1139","702","744","760","705","687","614","677","659","589","585","483"
"Communication","57490","66085","73499","87241","100658","115724","143637","203054","273553","385662","573277","707997"
"Trade, hotels and restaurants","420289","514334","517403","578279","607655","656878","670746","765354","856569","886548","933180","1008768"
"Banking and Insurance","308105","336801","423621","593405","777577","756962","847273","852883","793947","847511","910677","1004477"
"Real estate, ownership of dwelling and business","162261","172620","183771","194790","208194","222423","238951","262049","280358","299435","320119","348289"
"Pubic Administration","93717","96558","106679","120533","147330","147931","164990","159568","159294","160659","167974","182084"
"Other Services","190797","206543","227438","248065","268756","306284","320975","344927","363391","386861","414722","456609"
"Sub total of tertiary","1345343","1516980","1662540","1948649","2247947","2354894","2537938","2753231","2905597","3082647","3450662","3855008"
"State domestic product","1896735","2125014","2162054","2459622","2858247","3001627","3145101","3602951","3731827","3908930","4306277","4824986"

"Figures are in Rs. Lakh"
