-----
{
 "description": "This table gives an overview of the progress of NHDP up to 30th April, 2012.", 
 "file_name": "Progress_Of_NHDP.xls", 
 "title": "Download XLS for Progress Of NHDP Up To 30th April, 2012", 
 "url": "http://data.gov.in/sites/default/files/Progress_Of_NHDP.xls"
}
-----
"Category","GQ","NS&EW","NHDP Ph.-III 12109","NHDP Ph.-IV 14799","NHDP Ph.-V 6500","NHDP Ph.-VII 700","Other NHs 1383 "
"Total length (km)",5846.0,7142.0,0.0,0.0,0.0,0.0,0.0
"Completed Total till date (km)",5840.0,6018.0,3798.0,"NA",940.0,14.0,961.0
"Under Implementation","NA","NA","NA","NA","NA","NA","NA"
"Under Implementation - Length (km)",6.0,691.0,2802.0,3318.0,1181.0,27.0,409.0
"Under Implementation - Contracts (Nos.)",8.0,66.0,56.0,23.0,15.0,2.0,5.0
"Total Length (km)",6.0,703.0,6471.0,3318.0,3047.0,27.0,409.0
"Total - Contracts (Nos.)",8.0,67.0,92.0,23.0,27.0,2.0,5.0
"Total Length (km)",0.0,421.0,1840.0,11481.0,2513.0,659.0,20.0
