-----
{
 "description": "The table refers to statewise distribution of shallow tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.6.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.6.csv"
}
-----
State,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDHRA PRADESH,304358,8294,651,3061,312,521,12839,317197
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0
ASSAM,20158,6187,48,193,235,251,6914,27072
BIHAR,575252,6892,720,3246,2152,1257,14267,589519
GOA,26,0,0,0,0,2,2,28
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,492159,0,0,0,0,2135,2135,494294
HIMACHAL PRADESH,1604,18,0,1,1,0,20,1624
JAMMU & KASHMIR,1302,11,0,0,0,0,11,1313
KARNATAKA,75469,1958,985,750,115,319,4127,79596
KERALA,2344,8,2,6,1,3,20,2364
MADHYA PRADESH,119243,727,240,498,63,733,2261,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,36,0,0,0,0,0,0,36
MEGHALAYA,110,0,0,0,0,0,0,110
MIZORAM,0,0,0,0,0,0,0,0
NAGALAND,6,0,0,0,0,0,0,6
ORISSA,15284,2173,151,132,166,189,2811,18095
PUNJAB,938503,4361,1052,142,73,78,5706,944209
RAJASTHAN,58595,4336,60,64,22,22,4504,63099
SIKKIM,0,0,0,0,0,0,0,0
TAMIL NADU,70153,2273,954,328,137,2476,6168,76321
TRIPURA,113,0,0,0,1,22,23,136
UTTAR PRADESH,1972140,3882,2617,1638,1809,480,10426,1982566
WEST BENGAL,489162,9762,1694,1413,1411,1196,15476,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,8984,22,3,3,5,3,36,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,3643,70,2,158,17,5,252,3895
All India,5148644,50974,9179,11633,6520,9692,87998,5236642
