-----
{
 "description": "The table refers to Statewise Distribution of Dugwells by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.5.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells by type", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.5.csv"
}
-----
"State","Pucca","Kuchha","Dug-cum Borewell","Others","Total"
"ANDHRA PRADESH",377510,687944,108593,11169,1185216
"ARUNACHAL PRADESH",4,0,0,0,4
"ASSAM",79,53,18,4,154
"BIHAR",101764,7290,25763,360,135177
"CHHATTISGARH",174260,22935,2602,5186,204983
"GOA",2797,2218,7,94,5116
"GUJARAT",698387,199260,28292,9661,935600
"HARYANA",15591,685,1221,1322,18819
"HIMACHAL PRADESH",1622,215,56,3,1896
"JAMMU & KASHMIR",245,141,2129,3,2518
"JHARKHAND",300795,22112,302,346,323555
"KARNATAKA",107720,206461,10757,3045,327983
"KERALA",142650,21325,930,1051,165956
"MADHYA PRADESH",822845,427982,21076,4803,1276706
"MAHARASHTRA",1010391,624126,14612,9429,1658558
"MANIPUR",3,0,0,0,3
"MEGHALAYA",1,6,0,4,11
"NAGALAND",182,100,0,1,283
"ORISSA",279399,96452,886,1642,378379
"PUNJAB",2273,18,635,5,2931
"RAJASTHAN",921462,135150,112465,2421,1171498
"TAMIL NADU",1394228,224246,28181,9846,1656501
"TRIPURA",17,33,197,12,259
"UTTAR PRADESH",110671,7542,5881,309,124403
"UTTARANCHAL",417,9,89,322,837
"WEST BENGAL",24024,13440,566,1347,39377
"ANDAMAN & NICOBARS",4,0,0,4,8
"DADRA & NAGAR HAVELI",570,2,0,0,572
"PONDICHERRY",22,0,56,0,78
"ALL INDIA",6489933,2699745,365314,62389,9617381
