-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "WbengalNSDPconst_1.csv", 
 "title": "Download CSV for West Bengal Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/WbengalNSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1455875","1591630","1612738","1718463","1885107","1797548","1852048","1902846","2097875","1993377","2066642","2077904"
"Foresty and Logging","45397","45531","47907","46125","46727","47911","51244","50275","53415","53191","55595","55050"
"Fishing","177916","178358","194466","201583","200380","214082","218058","217022","248538","254676","264773","282864"
"Mining and Quarrying","58125","56761","55242","53608","58452","70609","66003","78263","83713","80095","83555","85203"
"Sub total of primary","1737313","1872280","1910353","2019779","2190666","2130150","2187353","2248406","2483541","2381339","2470565","2501021"
"Manufacturing","756153","789396","909340","952733","1021383","1076366","1170330","1159035","1195396","1263086","1309362","1381478"
"Registered","355040","379796","419131","445118","480736","516310","510537","508927","513991","553953","583880","618913"
"Unregistered","401113","409600","490209","507615","540647","560056","659793","650108","681405","709133","725482","762565"
"Construction","222808","234181","247958","262031","270228","291391","321463","358270","384436","401230","412684","427164"
"Electricity, Gas and water Supply","52323","61000","64364","61896","59513","59975","73843","87825","97247","105869","113999","119284"
"Sub total of secondary","1031284","1084577","1221662","1276660","1351124","1427732","1565636","1605130","1677079","1770185","1836045","1927926"
"Transport Storage and Communication","295908","305910","323280","361283","374093","426409","448695","490424","558128","622741","695248","760711"
"Railways","49090","50807","51379","52566","46008","50714","52942","56938","62974","66816","70156","75207"
"Transport by other means","197945","201741","202636","219662","237285","261152","279872","294444","339599","360548","378917","386893"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","48873","53362","69265","89055","90800","114543","115881","139042","155555","195377","246175","298611"
"Trade, hotels and restaurants","586682","626303","661763","745657","852824","861944","979691","1062676","1179134","1271729","1379920","1550699"
"Banking and Insurance","280516","355823","466589","526560","542289","754812","792552","911435","923737","1260128","1445239","1553833"
"Real estate, ownership of dwelling and business","304158","313308","322763","332211","405323","436874","484409","565825","609312","698577","809623","966044"
"Pubic Administration","233345","233208","253690","262449","302708","352385","403757","428125","419039","440280","419446","448301"
"Other Services","370557","384717","402983","425000","429334","469532","490688","513382","534949","562769","591746","627640"
"Sub total of tertiary","2071166","2219269","2431068","2653160","2906571","3301956","3599792","3971867","4224299","4856224","5341222","5907228"
"State domestic product","4839763","5176126","5563083","5949599","6448361","6859838","7352781","7825403","8384919","9007748","9647832","10336175"

"Figures are in Rs. Lakh"
