-----
{
 "description": "Data provides list of districts awarded with Nirmal Gram Puraskar (NGP) upto 2011.", 
 "file_name": "List_of_Districts_Awarded_with_NGP_upto_2011.xls", 
 "title": "Download XLS for List of Districts Awarded With Nirmal Gram Puraskar Upto 2011", 
 "url": "http://data.gov.in/sites/default/files/List_of_Districts_Awarded_with_NGP_upto_2011.xls"
}
-----
"State Name","District Name","Awarded Year"
"KARNATAKA","DAKSHIN KANNAD",2011.0
"KERALA","ALAPPUZHA",2009.0
"KERALA","ERNAKULAM",2011.0
"KERALA","KANNUR",2008.0
"KERALA","KASARAGOD",2011.0
"KERALA","KOZHIKODE",2008.0
"KERALA","PATHANAMTHITTA",2009.0
"KERALA","THRISSUR",2008.0
"KERALA","WAYANAD",2008.0
"SIKKIM","EAST",2008.0
"SIKKIM","NORTH",2008.0
"SIKKIM","SOUTH",2008.0
"SIKKIM","WEST",2008.0
