-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "RajasthanGSDPcurrent_1.csv", 
 "title": "Download CSV for Rajasthan Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/RajasthanGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1057441","1384964","1513152","2039721","2098355","2371543","2230223","1938085","2299317","1575215","2814764","2561108","2828375"
"Foresty and Logging","59087","61579","69542","74319","80880","87315","94719","105511","124730","123009","129960","131283","133092"
"Fishing","3738","4736","4530","5886","6270","5088","5515","5456","6708","6343","6931","8421","9774"
"Mining and Quarrying","75689","88578","109923","105444","137738","163380","187134","191025","188239","186297","222152","250656","283822"
"Sub total of primary","1195955","1539857","1697147","2225370","2323243","2627326","2517591","2240077","2618994","1890864","3173807","2951468","3255063"
"Manufacturing","404575","599417","726723","791506","895667","913856","1161269","1124958","1153251","1169584","1231999","1410125","1544878"
"Registered","210532","342482","410379","420150","515097","477588","706582","672660","642301","640164","687091","800809","887155"
"Unregistered","194043","256935","316344","371356","380570","436268","454687","452298","510950","529420","544908","609316","657723"
"Construction","297273","356542","409220","477110","593938","613967","750384","734175","836161","946719","1054207","1232062","1445033"
"Electricity, Gas and water Supply","121075","135149","150120","161143","201910","355811","330000","359192","391588","438124","492094","528017","572118"
"Sub total of secondary","822923","1091108","1286063","1429759","1691515","1883634","2241653","2218325","2381000","2554427","2778300","3170204","3562029"
"Transport Storage and Communication","168805","207620","239389","267737","309838","357329","393043","481267","436082","519899","585709","668882","765949"
"Railways","54141","68460","78775","84551","87659","77231","80122","85973","104050","126104","128728","147741","169562"
"Transport by other means","84242","99864","114856","127074","154947","177958","209330","274580","203075","267297","307568","342742","383295"
"Storage","2966","3484","3977","4325","4796","7598","8173","9665","11107","11425","11542","13216","15187"
"Communication","27456","35812","41781","51787","62436","94542","95418","111049","117850","115073","137871","165183","197905"
"Trade, hotels and restaurants","427155","514375","613063","777206","860295","962461","1007370","1090589","1259307","1142427","1406787","1444739","1535021"
"Banking and Insurance","96154","111808","141508","179055","199384","216273","238913","265798","304975","384951","420162","490329","572214"
"Real estate, ownership of dwelling and business","230202","247859","265102","284251","335849","376041","427001","469898","572653","631216","668182","705853","743827"
"Pubic Administration","132724","151205","176070","202727","235688","319263","346863","372463","390608","411631","448831","480523","513111"
"Other Services","223052","284887","313006","385538","450278","575636","682948","759800","844126","905086","1019104","1132608","1283617"
"Sub total of tertiary","1278092","1517754","1748138","2096514","2391332","2807003","3096138","3439815","3807751","3995210","4548775","4922934","5413739"
"State domestic product","3296970","4148719","4731348","5751643","6406090","7317964","7855381","7898216","8807745","8440500","10500882","11044606","12230832"

"Figures are in Rs. Lakh"
