-----
{
 "description": "The Index of Eight Core Industries is a monthly production index, which is also considered as a lead indicator of the monthly industrial performance. The Index of Eight Core Industries is compiled based on the monthly production information received from the Source Agencies;\r\rFrequency and Date ...", 
 "file_name": "Index_of_Core_Industries_2004-05_0.xls", 
 "title": "Download XLS for Index of Eight Core Industries: Base Year 2004-05 - Upto May 2013", 
 "url": "http://data.gov.in/sites/default/files/Index_of_Core_Industries_2004-05_0.xls"
}
-----
"Month/ Year","Overall Index (Base:2004-05=100) ","Index of Coal","Index of Crude Oil","Index of Natural Gas","Index of Petroleum Refinery Products","Index of Fertilizers","Index of Steel","Index of Cement","Index of Electricity"
38081.0,96.2130364514,89.8382433756,99.3702548408,98.0794660286,98.4053809543,81.5288414884,90.5384597706,101.61220441,99.9536916637
38111.0,98.1020444751,87.8630763227,101.912777353,100.119639821,103.880737914,95.5209136028,96.1643646726,99.8791416779,98.0150844005
38142.0,95.6935737666,87.9267913889,98.2755576482,94.9814243436,101.53011053,99.6711004091,94.5096867603,93.9502428568,95.1327083748
38172.0,99.5145117374,91.1125447001,101.135895474,100.42188779,98.9245958384,103.255366824,98.8670052628,98.219050008,102.717585897
38203.0,96.7549445522,83.6164671589,101.489023601,100.573011775,99.4438107226,103.052181797,98.2051340979,85.3305361093,98.7178039985
38234.0,97.0786638375,89.8382433756,98.0636807722,98.8728669479,94.5726310821,98.5236323207,98.7015374716,94.3150981689,100.217211513
38264.0,100.657040275,98.9813553787,101.736213289,101.139726717,101.086417811,112.461632723,99.970123871,102.642920667,99.0426075337
38295.0,99.7005033511,103.409552481,98.9111882761,102.235375606,98.5469850136,108.355821123,100.383793349,98.1825644768,97.6289971795
38325.0,103.907966589,114.623404137,101.559649226,104.95560733,99.9441450655,110.035959533,101.707535679,104.284769571,103.248711174
38356.0,105.334118573,112.775667216,102.866223295,104.577797368,104.503795775,108.533650666,105.292671156,107.267461747,103.213473055
38387.0,96.7286774195,110.004061835,91.6720616797,87.236320131,96.2718797939,88.4814398824,99.3634086365,100.070690717,94.0005127061
38415.0,110.314918971,130.01059263,103.007474545,106.806876141,102.889509499,90.5794596306,116.296279273,114.24531959,108.111612504
38446.0,98.5703673082,97.1654759914,98.9465010888,97.701656067,90.8154033749,79.4920970589,98.3706018891,111.645725492,102.983557093
38476.0,101.992544292,97.7070540543,99.9352598434,103.255462502,97.6879203871,93.9482915464,97.15717142,115.203064785,108.150527645
38507.0,100.1134136,90.9213995014,98.5933729622,100.42188779,100.453919679,94.9269064298,98.3981798543,109.547807448,104.077777305
38537.0,99.2599945245,89.6407266703,97.1455476429,101.70644166,102.483577863,105.265152527,97.9293544458,101.794632066,101.692350688
38568.0,100.346059692,92.4792328706,85.1391913366,98.1928090171,101.936042167,108.579547748,104.906579643,101.794632066,106.521709414
38599.0,98.2705816867,93.7248624153,90.8245541757,98.9862099364,99.2361247689,102.907391599,103.058855974,98.9213964837,99.4726351575
38629.0,104.615077437,104.992871877,94.603025131,105.257855299,98.6508279904,104.589243795,111.690759083,111.44505507,106.669729943
38660.0,102.802098975,110.504225105,90.5067388618,100.913040741,100.01966723,109.231024152,110.918576058,105.798919116,100.924690811
38690.0,109.110864121,122.297883863,93.2964510623,103.935520433,109.157849192,110.206083189,114.227931882,118.286092172,106.750256706
38721.0,111.322482757,122.065323872,97.8164910835,105.068950318,110.205719231,108.080221407,115.85503183,123.786286001,109.819527546
