-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical breakdown,Constraints in utilisation - Less water discharge,Constraints in utilisation - Storage siltation,Constraints in utilisation - Channel break down,Constraints in utilisation - Other reasons,Total,Total in use
ANDHRA PRADESH,GUNTUR,IPURU,0,0,1,0,1,0,0,2,2
ANDHRA PRADESH,GUNTUR,KAKUMANU,2,0,1,3,0,0,0,4,6
ANDHRA PRADESH,GUNTUR,KARLAPALEM,25,0,0,0,2,0,0,2,27
ANDHRA PRADESH,GUNTUR,KOLLUR,25,0,0,0,0,0,0,0,25
ANDHRA PRADESH,GUNTUR,KROSURU,29,0,74,0,0,2,0,76,105
ANDHRA PRADESH,GUNTUR,MACHAVARAM,0,2,0,0,0,0,0,2,2
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,0,4,0,0,0,4,4
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,2,0,3,0,0,0,0,3,5
ANDHRA PRADESH,GUNTUR,MUPPALLA,20,0,0,0,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,NADENDLA,21,0,0,0,0,0,0,0,21
ANDHRA PRADESH,GUNTUR,NAGARAM,70,0,0,0,0,0,0,0,70
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,34,0,0,0,0,0,0,0,34
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,9,0,23,0,0,0,0,23,32
ANDHRA PRADESH,GUNTUR,NUZENDLA,64,0,7,5,11,0,0,23,87
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,1,0,1,0,0,0,0,1,2
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,5,1,5,0,0,0,0,6,11
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,2,0,2,3,0,0,0,5,7
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,1,1,0,0,0,0,0,1,2
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,19,0,0,0,1,0,0,1,20
ANDHRA PRADESH,GUNTUR,PONNUR,45,0,7,0,0,0,0,7,52
ANDHRA PRADESH,GUNTUR,RAJUPALEM,52,0,1,0,0,0,0,1,53
ANDHRA PRADESH,GUNTUR,REPALLE,51,0,0,0,6,0,0,6,57
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,94,0,10,0,0,0,0,10,104
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,33,0,0,0,0,0,0,0,33
ANDHRA PRADESH,GUNTUR,TADIKONDA,3,0,0,0,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,THADEPALLE,65,0,8,0,1,0,0,9,74
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,0,1,0,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,VEMURU,1,0,0,0,18,0,0,18,19
ANDHRA PRADESH,GUNTUR,VINUKONDA,179,0,0,0,0,0,0,0,179
