-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,59,78,67,0,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,39,57,44,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,4,7,6,0,17
ANDHRA PRADESH,ADILABAD,BELA,6,0,0,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,2,0,1,3
ANDHRA PRADESH,ADILABAD,BHAINSA,199,721,814,35,1769
ANDHRA PRADESH,ADILABAD,BHEEMINI,28,15,11,0,54
ANDHRA PRADESH,ADILABAD,BOATH,249,282,198,1,730
ANDHRA PRADESH,ADILABAD,CHENNUR,114,93,80,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,5,20,28,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,681,325,85,0,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,26,60,21,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,67,183,116,2,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,3,40,22,0,65
ANDHRA PRADESH,ADILABAD,JAINAD,23,54,62,2,141
ANDHRA PRADESH,ADILABAD,JAIPUR,34,57,39,0,130
ANDHRA PRADESH,ADILABAD,KERAMERI,1,7,1,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,229,186,74,1,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,3,17,11,2,33
ANDHRA PRADESH,ADILABAD,KUBEER,167,253,183,8,611
ANDHRA PRADESH,ADILABAD,KUNTALA,246,631,406,7,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,55,103,6,0,164
ANDHRA PRADESH,ADILABAD,LOHESRA,354,697,457,2,1510
ANDHRA PRADESH,ADILABAD,MAMDA,840,24,4,0,868
ANDHRA PRADESH,ADILABAD,MANCHERIAL,7,3,4,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,253,645,424,3,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,24,30,39,1,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,127,103,38,2,270
ANDHRA PRADESH,ADILABAD,NIRMAL,240,137,79,0,456
ANDHRA PRADESH,ADILABAD,REBBANA,2,3,5,0,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,881,610,139,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,45,147,81,0,273
ANDHRA PRADESH,ADILABAD,TAMSI,26,65,111,3,205
ANDHRA PRADESH,ADILABAD,TANDUR,8,5,4,0,17
