-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "PondicherryGSDPconst_1.csv", 
 "title": "Download CSV for Puducherry Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PondicherryGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","8643","10358","9325","8572","7203","9201","9648","9780","8477","7825","7720","6655","6132"
"Foresty and Logging","866","888","908","933","959","984","686","684","699","692","685","678","671"
"Fishing","6560","5640","5744","5102","5452","6050","6125","6335","6465","6449","6433","5146","6417"
"Mining and Quarrying","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sub total of primary","16069","16886","15977","14607","13614","16235","16459","16799","15641","14966","14838","12479","13220"
"Manufacturing","28054","27413","28021","57700","92228","97315","93192","117798","127397","161312","188309","204633","214235"
"Registered","22722","19914","20048","44874","78403","83897","79682","103100","112222","145073","170949","186075","194410"
"Unregistered","5332","7499","7973","12826","13825","13418","13510","14698","15175","16239","17360","18558","19825"
"Construction","4914","5104","5112","5223","5330","5922","6125","5401","5484","5610","5734","5860","5985"
"Electricity, Gas and water Supply","734","772","812","855","674","1182","1255","1314","1396","1445","1495","1545","1597"
"Sub total of secondary","33702","33289","33945","63778","98232","104419","100572","124513","134277","168367","195538","212038","221817"
"Transport Storage and Communication","2577","2689","3114","3634","4328","6138","7009","7908","10947","12782","17242","24600","36806"
"Railways","17","28","37","20","21","23","24","22","19","19","20","21","22"
"Transport by other means","2055","2055","2346","2790","3339","4969","5558","6117","6250","6431","6610","6794","6978"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","505","606","731","824","968","1146","1427","1769","4678","6332","10612","17785","29806"
"Trade, hotels and restaurants","14231","14750","17339","21555","26165","32458","37613","41391","41459","41911","38091","42741","43131"
"Banking and Insurance","4286","3741","4540","5094","5793","6351","5752","6571","6790","8517","9151","9832","10564"
"Real estate, ownership of dwelling and business","11131","11847","15540","13475","13913","14244","14938","16439","18408","19642","20938","22318","23772"
"Pubic Administration","5836","5762","5982","6065","6542","8718","10096","11106","11327","8896","11552","11782","12017"
"Other Services","10296","10696","11284","11657","11326","13771","15777","17362","16873","18731","20771","23034","25525"
"Sub total of tertiary","48357","49485","57799","61480","68067","81680","91185","100777","105804","110479","117745","134307","151815"
"State domestic product","98127","99660","107722","139865","179913","202334","208216","242089","255722","293813","328120","358824","386852"

"Figures are in Rs. Lakh"
