-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No Constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total,Total in use
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1121,0,0,287,0,287,1408
ANDHRA PRADESH,ADILABAD,MAMDA,409,0,0,59,0,59,468
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1860,0,0,10,0,10,1870
ANDHRA PRADESH,ADILABAD,MANDAMARRI,44,0,0,546,0,546,590
ANDHRA PRADESH,ADILABAD,NARNOOR,454,0,0,16,0,16,470
ANDHRA PRADESH,ADILABAD,NENNAL,350,0,0,0,0,0,350
ANDHRA PRADESH,ADILABAD,NERADIGONDA,109,0,0,9,0,9,118
ANDHRA PRADESH,ADILABAD,NIRMAL,1743,0,0,9,0,9,1752
ANDHRA PRADESH,ADILABAD,REBBANA,48,0,0,116,0,116,164
ANDHRA PRADESH,ADILABAD,SARANGAPUR,190,0,0,0,0,0,190
ANDHRA PRADESH,ADILABAD,SIRPUR (T),331,0,0,10,0,10,341
ANDHRA PRADESH,ADILABAD,SIRPUR (U),250,0,0,4,0,4,254
ANDHRA PRADESH,ADILABAD,TALAMADUGU,45,0,0,672,0,672,717
ANDHRA PRADESH,ADILABAD,TAMSI,371,0,0,5,0,5,376
ANDHRA PRADESH,ADILABAD,TANDUR,37,0,0,34,0,34,71
ANDHRA PRADESH,ADILABAD,TIRYANI,41,0,0,0,0,0,41
ANDHRA PRADESH,ADILABAD,UTNUR,722,0,0,9,0,9,731
ANDHRA PRADESH,ADILABAD,VEMANPALLE,205,0,0,2,0,2,207
ANDHRA PRADESH,ADILABAD,WANKDI,75,0,0,22,0,22,97
ANDHRA PRADESH,ANANTHAPUR,AGALI,35,0,0,305,0,305,340
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,1,8,0,752,0,760,761
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,30,0,4,236,0,240,270
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,159,0,0,410,1,411,570
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,122,2,8,419,0,429,551
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,33,0,0,452,28,480,513
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,286,1,0,12,0,13,299
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,7,9,1,51,49,110,117
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,354,55,2,232,1,290,644
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,443,0,0,288,8,296,739
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,794,0,0,883,0,883,1677
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,10,0,0,157,0,157,167
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,77,0,0,1271,0,1271,1348
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,48,3,0,66,0,69,117
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,15,0,0,1128,0,1128,1143
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,145,18,1,406,5,430,575
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,196,14,1,216,0,231,427
ANDHRA PRADESH,ANANTHAPUR,GOOTY,153,6,0,166,12,184,337
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,21,0,0,165,0,165,186
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,117,8,0,302,0,310,427
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,346,0,0,209,55,264,610
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,38,0,0,397,0,397,435
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,7,0,0,229,34,263,270
ANDHRA PRADESH,ANANTHAPUR,KADIRI,310,0,0,0,0,0,310
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,296,114,0,495,24,633,929
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,73,173,0,533,0,706,779
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,165,0,0,436,0,436,601
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,116,0,0,24,2,26,142
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,191,0,0,794,0,794,985
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,168,3,0,399,3,405,573
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,97,0,0,884,0,884,981
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,22,0,0,59,0,59,81
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,10,0,0,52,0,52,62
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,44,0,3,1142,1,1146,1190
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,20,0,0,147,0,147,167
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,39,10,7,779,3,799,838
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,68,92,7,524,38,661,729
ANDHRA PRADESH,ANANTHAPUR,NARPALA,1125,0,3,489,37,529,1654
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,6,0,0,972,0,972,978
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,120,0,2,110,57,169,289
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,140,0,140,140
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,306,0,0,64,0,64,370
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,22,6,0,1,0,7,29
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,95,0,0,549,0,549,644
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,40,1,0,875,7,883,923
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,193,4,30,424,0,458,651
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,5,0,1,303,2,306,311
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,62,0,0,367,0,367,429
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,30,35,0,356,36,427,457
ANDHRA PRADESH,ANANTHAPUR,RODDAM,3,0,6,252,8,266,269
ANDHRA PRADESH,ANANTHAPUR,ROLLA,41,0,0,188,0,188,229
ANDHRA PRADESH,ANANTHAPUR,SETTUR,385,32,0,262,3,297,682
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,500,2,0,78,45,125,625
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,61,0,0,406,0,406,467
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,77,259,1,452,0,712,789
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,423,0,12,100,0,112,535
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,64,11,4,998,3,1016,1080
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,118,0,0,361,0,361,479
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,465,0,0,3,0,3,468
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,42,1,0,167,2,170,212
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,80,0,1,54,40,95,175
ANDHRA PRADESH,ANANTHAPUR,YADIKI,259,0,0,139,0,139,398
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,269,0,0,426,0,426,695
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,29,0,0,159,0,159,188
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,910,21,20,1719,1,1761,2671
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1516,0,0,1599,0,1599,3115
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,576,0,0,16,0,16,592
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,1647,0,0,622,0,622,2269
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,2,1,1,636,0,638,640
ANDHRA PRADESH,CHITTOOR,CHITTOOR,1731,0,0,490,0,490,2221
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,118,101,4,929,0,1034,1152
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,964,125,20,1690,1,1836,2800
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,345,558,15,817,0,1390,1735
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,634,0,0,253,0,253,887
ANDHRA PRADESH,CHITTOOR,GUDIPALA,388,0,0,1425,0,1425,1813
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,929,0,0,512,0,512,1441
ANDHRA PRADESH,CHITTOOR,IRALA,824,0,1,1500,0,1501,2325
ANDHRA PRADESH,CHITTOOR,K V P PURAM,243,102,2,644,0,748,991
ANDHRA PRADESH,CHITTOOR,KALAKADA,112,24,4,1267,3,1298,1410
ANDHRA PRADESH,CHITTOOR,KALIKIRI,69,0,1,1059,0,1060,1129
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,11,1,0,1245,0,1246,1257
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,331,629,2,1209,0,1840,2171
ANDHRA PRADESH,CHITTOOR,KUPPAM,114,0,0,2355,0,2355,2469
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,55,0,5,705,1,711,766
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,460,0,0,397,0,397,857
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,282,0,0,148,0,148,430
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,727,0,0,163,0,163,890
ANDHRA PRADESH,CHITTOOR,NAGARI,1520,0,0,116,0,116,1636
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,525,0,0,196,0,196,721
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,51,0,1,786,0,787,838
ANDHRA PRADESH,CHITTOOR,NINDRA,857,0,0,350,0,350,1207
ANDHRA PRADESH,CHITTOOR,PAKALA,407,0,0,1791,0,1791,2198
ANDHRA PRADESH,CHITTOOR,PALAMANER,1129,0,0,725,0,725,1854
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,261,354,0,841,0,1195,1456
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,172,0,0,1566,0,1566,1738
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,182,0,1,569,0,570,752
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,113,0,0,320,0,320,433
ANDHRA PRADESH,CHITTOOR,PENUMURU,832,0,0,483,4,487,1319
ANDHRA PRADESH,CHITTOOR,PICHATUR,1101,0,0,0,0,0,1101
ANDHRA PRADESH,CHITTOOR,PILERU,114,0,0,842,0,842,956
ANDHRA PRADESH,CHITTOOR,PULICHERLA,169,0,1,320,2,323,492
ANDHRA PRADESH,CHITTOOR,PUNGANUR,250,502,4,555,2,1063,1313
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,653,259,5,1515,0,1779,2432
ANDHRA PRADESH,CHITTOOR,PUTTUR,1453,0,0,89,0,89,1542
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,323,0,0,1246,3,1249,1572
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,208,0,1,1513,0,1514,1722
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1523,0,0,0,0,0,1523
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,922,32,15,49,0,96,1018
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,2,2,3,682,0,687,689
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,647,0,0,300,141,441,1088
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,612,0,0,717,0,717,1329
ANDHRA PRADESH,CHITTOOR,SODAM,99,583,29,1610,1,2223,2322
ANDHRA PRADESH,CHITTOOR,SOMALA,61,479,48,1299,8,1834,1895
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,1312,0,3,261,0,264,1576
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,932,28,2,953,0,983,1915
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,232,14,0,534,0,548,780
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,187,0,0,1238,0,1238,1425
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,618,433,9,215,1,658,1276
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,203,5,1,846,0,852,1055
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,135,0,0,23,5,28,163
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,145,0,3,1333,0,1336,1481
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,485,17,1,259,0,277,762
ANDHRA PRADESH,CHITTOOR,VAYALPAD,695,0,0,454,0,454,1149
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,947,648,1,1246,241,2136,3083
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,1584,0,1,922,0,923,2507
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,1096,0,0,43,0,43,1139
ANDHRA PRADESH,CHITTOOR,YADAMARI,1346,13,0,900,0,913,2259
ANDHRA PRADESH,CHITTOOR,YERPEDU,562,0,0,904,0,904,1466
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,2,45,1,160,0,206,208
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,0,0,1,326,0,327,327
ANDHRA PRADESH,CUDDAPAH,ATLUR,1,0,2,9,49,60,61
ANDHRA PRADESH,CUDDAPAH,B KODUR,4,0,0,16,9,25,29
ANDHRA PRADESH,CUDDAPAH,BADVEL,13,0,0,75,10,85,98
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,33,4,2,265,0,271,304
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,51,0,1,1038,0,1039,1090
ANDHRA PRADESH,CUDDAPAH,CHAPAD,156,3,0,12,58,73,229
ANDHRA PRADESH,CUDDAPAH,CHENNUR,107,0,0,7,0,7,114
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,32,134,2,1295,8,1439,1471
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,69,1,0,131,0,132,201
ANDHRA PRADESH,CUDDAPAH,CHITVEL,254,0,0,117,0,117,371
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,48,0,0,42,0,42,90
ANDHRA PRADESH,CUDDAPAH,DUVVUR,14,0,0,3,0,3,17
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,18,15,10,826,0,851,869
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,131,0,1,71,63,135,266
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,127,26,1,120,0,147,274
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,127,1,0,17,9,27,154
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,0,12,0,12,12
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,76,1,0,11,7,19,95
ANDHRA PRADESH,CUDDAPAH,KODUR,903,0,0,11,0,11,914
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,54,0,0,0,2,2,56
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,42,0,0,1257,0,1257,1299
ANDHRA PRADESH,CUDDAPAH,LINGALA,80,15,0,257,1,273,353
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,43,1,0,65,0,66,109
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,245,0,1,140,0,141,386
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,0,397,16,413,413
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,62,0,1,744,1,746,808
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,2,0,1,29,0,30,32
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,51,0,0,0,0,0,51
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,0,0,16,0,16,16
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,17,0,4,99,0,103,120
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,4,1,0,70,8,79,83
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,0,1,266,0,267,267
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,35,0,35,35
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,120,0,0,659,1,660,780
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,8,4,8,32,9,53,61
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,23,0,0,915,0,915,938
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,81,0,1,1474,3,1478,1559
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,3,0,0,13,3,16,19
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,34,3,2,1613,2,1620,1654
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,7,616,2,73,0,691,698
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,34,1,0,199,4,204,238
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,145,2,8,1307,0,1317,1462
ANDHRA PRADESH,CUDDAPAH,THANDUR,46,5,0,86,0,91,137
ANDHRA PRADESH,CUDDAPAH,VALLUR,3,1,0,14,0,15,18
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,2,0,2,2
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,15,6,2,73,0,81,96
ANDHRA PRADESH,CUDDAPAH,VEMULA,8,0,1,224,12,237,245
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,198,20,25,359,3,407,605
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,12,1,0,22,0,23,35
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,1,0,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,2,12,2,0,0,14,16
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,54,40,1,1,0,42,96
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,91,0,2,0,0,2,93
ANDHRA PRADESH,EAST GODAVARI,KARAPA,2,0,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,124,6,1,0,0,7,131
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,175,0,0,0,0,0,175
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,2,0,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,24,0,2,0,0,2,26
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,86,5,3,0,0,8,94
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,90,79,0,0,0,79,169
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,10,0,1,0,0,1,11
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,182,1,2,0,6,9,191
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,266,40,0,0,0,40,306
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,19,0,0,0,0,0,19
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,5,14,0,39,0,53,58
ANDHRA PRADESH,EAST GODAVARI,TUNI,321,0,262,15,0,277,598
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,2,0,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,ACHAMPETA,180,89,76,38,154,357,537
ANDHRA PRADESH,GUNTUR,AMARAVATHI,348,60,0,161,16,237,585
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,4,0,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,BAPATLA,3106,0,0,0,0,0,3106
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,169,42,0,62,0,104,273
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,32,0,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,CHEBROLE,785,0,0,2,0,2,787
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,921,80,0,28,85,193,1114
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,219,86,0,51,0,137,356
ANDHRA PRADESH,GUNTUR,DACHEPALLE,35,0,0,0,0,0,35
ANDHRA PRADESH,GUNTUR,EDLAPADU,147,19,0,0,3,22,169
ANDHRA PRADESH,GUNTUR,GUNTUR,16,0,0,1,0,1,17
ANDHRA PRADESH,GUNTUR,GURAZALA,13,0,0,0,0,0,13
ANDHRA PRADESH,GUNTUR,IPURU,38,1,0,25,23,49,87
ANDHRA PRADESH,GUNTUR,KAREMPUDI,21,0,0,0,0,0,21
ANDHRA PRADESH,GUNTUR,KARLAPALEM,1480,1,0,8,0,9,1489
ANDHRA PRADESH,GUNTUR,KROSURU,57,212,0,0,0,212,269
ANDHRA PRADESH,GUNTUR,MACHAVARAM,42,12,0,4,0,16,58
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,0,1,0,1,1
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,247,0,0,0,0,0,247
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,31,5,0,4,0,9,40
ANDHRA PRADESH,GUNTUR,MUPPALLA,29,0,0,1,0,1,30
ANDHRA PRADESH,GUNTUR,NADENDLA,68,5,0,0,3,8,76
ANDHRA PRADESH,GUNTUR,NAGARAM,307,0,0,1,0,1,308
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,13,15,0,0,0,15,28
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,291,5,0,0,7,12,303
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,132,0,0,0,0,0,132
ANDHRA PRADESH,GUNTUR,NUZENDLA,41,3,0,20,5,28,69
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,47,2,0,3,0,5,52
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,121,15,0,68,0,83,204
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,27,1,0,2,0,3,30
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,45,0,0,0,0,0,45
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,749,0,0,1,0,1,750
ANDHRA PRADESH,GUNTUR,PRATHIPADU,7,0,0,0,0,0,7
ANDHRA PRADESH,GUNTUR,RAJUPALEM,166,0,0,2,0,2,168
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,17,1,0,0,0,1,18
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,73,17,0,39,0,56,129
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,21,13,0,1,0,14,35
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,15,0,0,0,0,0,15
ANDHRA PRADESH,GUNTUR,TADIKONDA,16,0,0,0,0,0,16
ANDHRA PRADESH,GUNTUR,THADEPALLE,114,2,0,0,0,2,116
ANDHRA PRADESH,GUNTUR,THULLUR,43,18,0,2,0,20,63
ANDHRA PRADESH,GUNTUR,VELDURTHI,5,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,VINUKONDA,31,0,0,0,0,0,31
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,996,0,0,4107,0,4107,5103
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,721,0,0,3916,0,3916,4637
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,965,62,1,2514,8,2585,3550
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,941,0,0,3238,0,3238,4179
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,183,0,23,3744,0,3767,3950
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,3247,0,0,0,572,572,3819
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,3452,0,0,0,440,440,3892
