-----
{
 "description": "The table refers to the time series principal characteristics for all industries at annual frequency.", 
 "file_name": "asiFrmtd_2.csv", 
 "title": "Download CSV for Annual Series For Principal Characterstics from Annual Survey of Industries", 
 "url": "http://data.gov.in/sites/default/files/asiFrmtd_2.csv"
}
-----
"CHARACTERISTICS","1989-90","1990-91","1991-92","1992-93","1993-94","1994-95","1995-96","1996-97","1989-90","1990-91","1991-92","1992-93","1993-94","1994-95","1995-96","1996-97","1997-98","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11"
"WAGES TO WORKERS",1179567,1319205,1358263,1683112,1759741,2201946,2797035,2655459,1179567,1319205,1358263,1683112,1759741,2201946,2797035,2655459,2978167,2482648,2630427,2767074,2743824,2968905,3047777,3363505,3766366,4429135,5103023,5977184,6894071,8564552
"TOTAL EMOLUMENTS",1840888,2058633,2097048,2756026,2863967,3534151,4511605,4640358,1840888,2058633,2097048,2756026,2863967,3534151,4511605,4640358,5237112,4462585,4784351,5071873,5105957,5515801,5833675,6440594,7400820,8875099,10544284,12944123,14700696,18329574
"PROVIDENT & OTHER  FUNDS",193407,216438,236399,284256,337756,377664,471214,537849,193407,216438,236399,284256,337756,377664,471214,537849,973758,NA,683228,665095,780680,815297,878363,807614,857258,1029960,1106509,1284077,1493962,1633875
"WORKMEN & STAFF WELFARE EXPENSES",131946,160118,185441,228257,254955,306388,575882,409225,131946,160118,185441,228257,254955,306388,575882,409225,NA,NA,455567,448770,458284,503115,533395,583074,612293,753445,851638,1005420,1191381,1326556
"FUELS CONSUMED",1789759,2089975,2405611,3107273,3372470,4039065,4850854,5464718,1789759,2089975,2405611,3107273,3372470,4039065,4850854,5464718,6058270,4625952,5519803,5896802,5972579,6657582,9198216,8585384,9662969,12006706,12956170,15216203,16160001,19542403
"MATERIAL CONSUMED",14407490,16694319,18540808,22369361,25482640,31167489,41037867,40820342,14407490,16694319,18540808,22369361,25482640,31167489,41037867,40820342,45842264,44447997,52516779,56144875,58796122,70077245,77501526,102434747,120428441,151177096,175288695,206598245,240909606,302044142
"TOTAL INPUTS",17871549,20898600,23302799,28294279,32085518,39079472,50749118,55691484,17871549,20898600,23302799,28294279,32085518,39079472,50749118,55691484,63809899,61004389,70936465,74855152,77922749,91618549,103962329,136294133,154365843,194836758,222295282,266148638,303585334,385108361
"PRODUCTS AND  BY- PRODUCTS",21580473,25275671,27960785,34224991,39295990,48041810,62112876,64506637,21580473,25275671,27960785,34224991,39295990,48041810,62112876,64506637,71411682,68102731,78311715,81847916,84936649,100128587,113574250,144520293,169755185,212863582,247071651,286314842,330614199,408371845
"VALUE OF OUTPUT",23004199,27056353,29919581,36861377,42574425,51798701,67051423,74180838,23004199,27056353,29919581,36861377,42574425,51798701,67051423,74180838,83633644,78377081,89793835,92690185,96245663,113056111,128740055,167256142,190835548,240854764,277570904,327279786,373303593,467621696
"DEPRECIATION",866369,1006294,1134080,1442279,1645508,1867530,2362586,2753467,866369,1006294,1134080,1442279,1645508,1867530,2362586,2753467,3179621,2826587,3359929,3472893,3892702,4203558,4482349,4971324,5283286,6445480,7116354,8354590,10506872,12055754
"NET VALUE ADDED",4266281,5151459,5482702,7124819,8843399,10851699,13939719,15735887,4266281,5151459,5482702,7124819,8843399,10851699,13939719,15735887,16644124,14546105,15497442,14362141,14430212,17234004,20295377,25990686,31186419,39572526,48159268,52776558,59211387,70457581
"RENT PAID",72808,88474,119117,140144,181329,234507,387506,426234,72808,88474,119117,140144,181329,234507,387506,426234,418451,409083,453117,407862,375118,379356,416084,453845,529948,640399,750549,975778,1200490,1349336
"INTEREST PAID",1213680,1488850,1881190,2262427,2345535,2678240,3588806,3994437,1213680,1488850,1881190,2262427,2345535,2678240,3588806,3994437,4560700,3969283,4387703,4198659,4221788,3835182,3397229,3245360,3339801,4131128,5148688,6868048,7331793,8802079
"NET INCOME",2979793,3574136,3482395,4722248,6316535,7938952,9963407,9886483,2979793,3574136,3482395,4722248,6316535,7938952,9963407,9886483,11664973,10167739,10656621,9755619,9833306,13019466,16482065,22291481,27316670,34800999,42260031,44932732,50679104,60306166
"NET FIXED CAPITAL  FORMATION",1150248,1422965,1926934,2161825,1076841,4084716,4549401,5246127,1150248,1422965,1926934,2161825,1076841,4084716,4549401,5246127,4049844,4080495,1507954,1215034,3122442,541866,1271031,2553722,7324388,7987020,10662743,14240111,16323196,16309792
"GROSS FIXED CAPITAL  FORMATION",2016617,2429259,3061014,3604104,2722348,5952246,6911987,7993659,2016617,2429259,3061014,3604104,2722348,5952246,6911987,7993659,7227085,6907081,4867882,4687927,7015145,4745424,5753380,7525046,12607674,14432500,17779098,22594701,26830068,28365547
"ADDITION IN STOCK OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I MATERIAL, FUELS ETC",408877,400620,274343,1210489,368835,1015813,997418,510717,408877,400620,274343,1210489,368835,1015813,997418,510717,225865,3754,749937,236267,333170,1087077,1318920,2377486,2178056,2926206,4952720,1974707,5323903,7742594
"II SEMI FINISHED GOODS",107467,118404,142502,151052,70186,205142,341036,115897,107467,118404,142502,151052,70186,205142,341036,115897,118595,135366,153976,232012,78730,229669,130864,642020,853964,927755,1060215,909350,1902222,2707800
"iii FINISHED GOODS",187941,307620,366595,679089,112695,543698,811985,749995,187941,307620,366595,679089,112695,543698,811985,749995,632195,171599,694739,985274,-39746,335468,215599,462739,1517008,1646496,2437910,679786,2128264,5774460
"IV TOTAL",704286,826643,783440,2040630,551715,1764653,2150439,1376609,704286,826643,783440,2040630,551715,1764653,2150439,1376609,976655,310719,1598652,1453553,372154,1652214,1665383,3482245,4549027,5500458,8450845,3563843,9354390,16224854
"GROSS  CAPITAL  FORMATION",2720902,3255902,3844455,5644734,3274064,7716898,9062426,9370268,2720902,3255902,3844455,5644734,3274064,7716898,9062426,9370268,8203739,7217800,6466535,6141480,7387299,6397638,7418762,11007290,17156701,19932958,26229942,26158544,36184458,44590400
"PROFITS",813552,1138947,963507,1453708,2859858,3720750,4404706,4197844,813552,1138947,963507,1453708,2859858,3720750,4404706,4197844,5445612,4730623,4733475,3569880,3488385,6185254,9236632,14460199,18446298,24142496,29757600,29699112,33293065,39016161

"Value figures in Rs. Lakhs, Mandays in Thousand and Others in Number"
"Addition in stock refers to the sum total of materialfuels, semi-finished goods and finished goods"
