-----
{
 "description": "The Sarva Shiksha Abhiyan (SSA) is India\u2019s main programme for universalization of elementary education (UEE). Its overall goals include universal access and retention, bridging of gender and social gaps in enrolment levels and enhancement of learning levels of all children. SSA\u2019s activities ...", 
 "file_name": "Amount_Sanctioned_for_Items.xls", 
 "title": "Download XLS for Cumulative Progress Made Under Serva Shiksha Abhiyan (SSA) Up To 2011-12", 
 "url": "http://data.gov.in/sites/default/files/Amount_Sanctioned_for_Items.xls"
}
-----
"Item","Amount Sanctions"
"Opening of New Schools",209914.0
"Opening of New Upper Primary Schools",173969.0
"Construction of Primary Schools",192392.0
"Construction of Upper Primary Schools",105562.0
"Construction of Additional Classrooms",1603789.0
"Toilets",583529.0
"Drinking Water facilities",223086.0
"Teachers",1965207.0
