-----
{
 "description": "This data contains details of various scientific seminars presented by the invited speakers from other international and national institutes in the conference hall of Institute of Bioresources and Sustainable Development (IBSD), Imphal during 2011-12.", 
 "file_name": "Seminars_held_at_IBSD-Imphal_2011-12.xls", 
 "title": "Download XLS for Seminars Held at Institute of Bioresources and Sustainable Development, Imphal during 2011-12", 
 "url": "http://data.gov.in/sites/default/files/Seminars_held_at_IBSD-Imphal_2011-12.xls"
}
-----
"S.No.","Speaker","Title"
1.0,"Prof. S.K. Borthakur, Professor, Gauhati University","Agro-biodiversity of NE India-Prospects and Problems."
2.0,"Dr. T.C. Bora, Scientist-F, NEIST, Jorhat","Functional diversity of microbes: A report from North East gene pool"
3.0,"Dr. P.K. Mukhopadhyay,Principal Scientist, CIFA, Bhubaneswar","Aquatic bioresources in human welfare"
4.0,"Prof. John Sparrow, professor, University of York","Developing enterprise skills for young scientists "
5.0,"Prof. S. Mahadevan, Professor, IISc, Bangalore","Multiple roles of the bgl Operon of E. coli in cell growth and survival"
6.0,"Dr. Mojibur Rahaman Khan, Ramlingaswamy Fellow, IASST, Guwahati","Fusarium-cereal patho system: applied and basic science research combined for better crop and bio-ethanol production"
7.0,"Dr. Rupjyoti Talukdar, Wellcome Trust Fellow, AIG, Hyderabad","You be your own doctor: An introspection"
8.0,"Dr. Upendra Nongthomba, Assistant Professor, IISc, Bangalore","Making sense of muscle, neuron and infection "
