-----
{
 "description": "The table refers to Block wise Potential Utilized through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.13.csv", 
 "title": "Download CSV for Blockwise Potential Utilized through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.13.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Kharif,Rabi,Perennial,Others,Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,1,3,1,0,4
ANDHRA PRADESH,ADILABAD,ADILABAD,308,71,0,0,379
ANDHRA PRADESH,ADILABAD,ASIFABAD,27,1,0,0,28
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,463,249,11,0,723
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELA,15,31,0,0,46
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,166,23,0,0,189
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,23,129,0,0,152
ANDHRA PRADESH,ADILABAD,BOATH,101,57,0,0,158
ANDHRA PRADESH,ADILABAD,CHENNUR,171,2,0,0,173
ANDHRA PRADESH,ADILABAD,DAHEGAON,405,0,0,0,405
ANDHRA PRADESH,ADILABAD,DANDEPALLE,1430,87,0,0,1517
ANDHRA PRADESH,ADILABAD,DILAWARPUR,783,0,0,0,783
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,368,76,1,0,445
ANDHRA PRADESH,ADILABAD,ICHODA,281,95,42,33,451
ANDHRA PRADESH,ADILABAD,INDERAVELLY,338,155,0,0,493
ANDHRA PRADESH,ADILABAD,JAINAD,222,70,46,0,338
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,390,142,0,0,532
ANDHRA PRADESH,ADILABAD,JANNARAM,279,28,9,0,316
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1193,474,0,0,1666
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,249,162,0,0,411
ANDHRA PRADESH,ADILABAD,KASIPET,114,21,0,0,135
ANDHRA PRADESH,ADILABAD,KERAMERI,121,65,0,0,187
ANDHRA PRADESH,ADILABAD,KHANPUR,1575,141,0,0,1716
ANDHRA PRADESH,ADILABAD,KOTAPALLE,109,104,0,0,213
ANDHRA PRADESH,ADILABAD,KOUTHALA,354,28,3,1,386
ANDHRA PRADESH,ADILABAD,KUBEER,52,10,0,0,62
ANDHRA PRADESH,ADILABAD,KUNTALA,33,4,0,0,37
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,902,516,6,0,1424
ANDHRA PRADESH,ADILABAD,LOHESRA,187,24,0,0,211
ANDHRA PRADESH,ADILABAD,LUXETTIPET,865,56,19,0,940
ANDHRA PRADESH,ADILABAD,MAMDA,319,252,0,0,571
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1597,448,0,0,2045
ANDHRA PRADESH,ADILABAD,MANDAMARRI,596,109,0,0,705
ANDHRA PRADESH,ADILABAD,NARNOOR,223,289,54,0,565
ANDHRA PRADESH,ADILABAD,NENNAL,167,47,0,0,215
ANDHRA PRADESH,ADILABAD,NERADIGONDA,92,36,2,0,130
ANDHRA PRADESH,ADILABAD,NIRMAL,1470,931,53,0,2453
ANDHRA PRADESH,ADILABAD,REBBANA,51,62,0,0,113
ANDHRA PRADESH,ADILABAD,SARANGAPUR,157,82,0,0,239
ANDHRA PRADESH,ADILABAD,SIRPUR (T),216,0,0,0,216
ANDHRA PRADESH,ADILABAD,SIRPUR (U),0,201,0,0,201
ANDHRA PRADESH,ADILABAD,TALAMADUGU,734,280,0,0,1014
ANDHRA PRADESH,ADILABAD,TAMSI,571,6,0,0,577
ANDHRA PRADESH,ADILABAD,TANDUR,9,3,0,0,12
ANDHRA PRADESH,ADILABAD,TIRYANI,31,2,0,0,33
ANDHRA PRADESH,ADILABAD,UTNUR,1006,385,2,0,1393
ANDHRA PRADESH,ADILABAD,VEMANPALLE,90,5,0,0,96
ANDHRA PRADESH,ADILABAD,WANKDI,56,12,0,0,67
ANDHRA PRADESH,ANANTHAPUR,AGALI,151,103,44,0,298
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,159,334,265,3,762
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,163,101,28,0,292
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,686,152,0,0,838
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,371,245,39,0,656
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,251,263,178,0,691
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,494,215,0,0,710
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,145,23,1,0,169
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,640,489,0,0,1130
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,272,420,64,0,756
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1455,967,400,0,2822
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,98,49,14,16,178
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,251,123,106,0,479
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,139,69,0,0,208
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,651,335,0,0,987
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,285,196,22,0,503
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,269,122,328,2,721
ANDHRA PRADESH,ANANTHAPUR,GOOTY,330,96,77,0,504
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,160,6,0,0,166
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,299,199,75,0,573
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,765,442,12,0,1220
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,216,68,0,0,284
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,174,76,49,0,299
ANDHRA PRADESH,ANANTHAPUR,KADIRI,234,321,0,0,556
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,888,550,21,0,1459
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,599,467,0,0,1067
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,470,347,28,18,862
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,348,206,0,0,554
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,381,291,128,0,800
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,556,369,86,0,1011
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,686,467,1,0,1155
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,55,26,8,0,89
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,17,6,1,0,24
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,427,249,3,0,679
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,181,76,0,0,257
