-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"JHARKHAND","PAKUR",0,0,0,0,1,0,1
"JHARKHAND","PALAMU",0,0,0,0,114,0,114
"JHARKHAND","SAHEBGANJ",9,0,0,0,178,0,187
"JHARKHAND","WEST SINGHBHUM",0,0,0,0,2,0,2
"KARNATAKA","Bagalkote",109,43,0,96,19325,0,19573
"KARNATAKA","Bangalore",14,4,4,2,12999,0,13023
"KARNATAKA","Bangalore Rural",24,12,5,4,39732,0,39777
"KARNATAKA","Belgaum",229,21,25,151,33662,0,34088
"KARNATAKA","Bellary",8,38,41,0,17681,0,17768
"KARNATAKA","Bidar",4,0,1,0,7785,0,7790
"KARNATAKA","Bijapur",26,112,82,1,9480,0,9701
"KARNATAKA","Chamaraja Nagara",2,0,1,2,14874,0,14879
"KARNATAKA","Chikmagalur",14,0,0,0,20841,0,20855
"KARNATAKA","Chitradurga",4,7,6,2,40820,0,40839
"KARNATAKA","Dakshina Kannada",7,10,0,0,6617,0,6634
"KARNATAKA","Davanagere",152,14,29,5,33991,0,34191
"KARNATAKA","Dharwar",80,27,75,115,6152,0,6449
"KARNATAKA","Gadag",2,1,0,0,6769,0,6772
"KARNATAKA","Gulbarga",9,0,2,0,6301,0,6312
"KARNATAKA","Hassan",753,10,460,0,33012,0,34235
"KARNATAKA","Haveri",52,16,21,4,19663,0,19756
"KARNATAKA","Kodagu",2,0,0,0,86,0,88
"KARNATAKA","Kolar",351,8,13,215,54097,0,54684
"KARNATAKA","Koppal",0,1,0,0,16813,0,16814
"KARNATAKA","Mandya",8,3,2,0,15888,0,15901
"KARNATAKA","Mysore",1,1,0,0,16825,0,16827
"KARNATAKA","Raichur",0,0,0,0,4673,0,4673
