-----
{
 "description": "The table refers to state wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.1.csv", 
 "title": "Download CSV for Statewise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.1.csv"
}
-----
State,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,98434,21466,25526,33878,38724,39474,33970,25725,317197
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0
ASSAM,12578,3009,3383,3018,2279,1070,1084,651,27072
BIHAR,138940,50333,65929,81313,84473,72003,57893,38635,589519
GOA,6,0,0,9,6,4,3,0,28
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,188204,77189,62100,65384,41461,29800,18545,11611,494294
HIMACHAL PRADESH,798,122,137,188,107,76,134,62,1624
JAMMU & KASHMIR,749,196,188,80,35,25,18,22,1313
KARNATAKA,15143,5513,7260,8643,11134,10510,9644,11749,79596
KERALA,217,189,228,247,346,511,267,359,2364
MADHYA PRADESH,21675,6454,8712,13918,23226,18251,15894,13374,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,7,5,3,7,9,5,36
MEGHALAYA,107,0,0,0,0,0,0,3,110
MIZORAM,0,0,0,0,0,0,0,0,0
NAGALAND,2,0,0,0,0,0,0,4,6
ORISSA,6362,961,1154,1688,2457,1846,1785,1842,18095
PUNJAB,590694,104769,75034,63051,44708,30744,20145,15064,944209
RAJASTHAN,26134,6513,6664,5946,5221,5147,3811,3663,63099
SIKKIM,0,0,0,0,0,0,0,0,0
TAMIL NADU,45199,7339,6445,5580,4394,3002,1989,2373,76321
TRIPURA,54,26,18,8,9,7,0,14,136
UTTAR PRADESH,616761,201660,210104,208232,229437,188366,159089,168917,1982566
WEST BENGAL,114586,56049,54105,60384,65693,53862,45268,54691,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,4807,956,818,744,641,460,338,256,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,2769,253,271,141,180,95,80,106,3895
All India,1884219,542997,528083,552457,554534,455260,369966,349126,5236642
