-----
{
 "description": "Gross Enrolment Ratios ( GER) at the Secondary (Classes IX-X) and Senior Secondary (Classes XI- XII) levels are 62.7% and 35.9%, respectively leading to a combined GER for Class IX-XII at  a considerably low 49.3% . A significant dip in GERs from secondary to senior secondary level for all ...", 
 "file_name": "GPR_enrolment.xls", 
 "title": "Download XLS for Gross Enrolment Ratio (GER) For Secondary Education By Social Groups (2009-10)", 
 "url": "http://data.gov.in/sites/default/files/GPR_enrolment.xls"
}
-----
"Parameters","Schedule Caste","Schedule Tribe","Non-Schedule Caste/ Schedule Tribe","Overall"
"Gross Enrolment Ratio (GER) of Boys at Secondary Level",71.19,54.24,67.02,66.65
"GER of Girls at Secondary Level",63.5,44.22,58.97,58.45
"Total GER at Secondary Level",67.58,49.41,63.13,62.71
"GER of Boys at Sr.Secondary Level",37.42,31.36,39.17,38.31
"GER of Girls at Sr.Secondary Level",33.48,22.32,34.39,33.31
"Total GER at Sr. Secondary Level",35.6,26.91,36.88,35.92
"GER of Boys at both Secondary and Sr.Secondary Level",54.52,43.45,52.86,52.39
"GER of Girls at both Secondary and  Sr.Secondary Level",48.86,33.68,46.54,45.86
"Total GER at Secondary and Sr. Secondary Level",51.88,38.7,49.82,49.26
