-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,0,7,1,8
ANDHRA PRADESH,ADILABAD,ADILABAD,155,219,95,0,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,21,33,16,0,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,118,164,121,0,403
ANDHRA PRADESH,ADILABAD,BEJJUR,132,118,72,0,322
ANDHRA PRADESH,ADILABAD,BELA,70,130,128,0,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,295,112,124,0,531
ANDHRA PRADESH,ADILABAD,BHAINSA,0,3,17,1,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,169,86,19,0,274
ANDHRA PRADESH,ADILABAD,BOATH,17,49,28,0,94
ANDHRA PRADESH,ADILABAD,CHENNUR,271,70,31,0,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,99,176,98,7,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,1315,421,59,1,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,565,246,65,0,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,101,158,162,1,422
ANDHRA PRADESH,ADILABAD,ICHODA,185,238,101,2,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,131,280,331,1,743
ANDHRA PRADESH,ADILABAD,JAINAD,31,85,61,0,177
ANDHRA PRADESH,ADILABAD,JAINOOR,46,104,89,1,240
ANDHRA PRADESH,ADILABAD,JAIPUR,316,173,27,0,516
ANDHRA PRADESH,ADILABAD,JANNARAM,307,56,14,0,377
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1361,354,49,0,1764
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,89,189,57,0,335
ANDHRA PRADESH,ADILABAD,KASIPET,126,27,10,0,163
ANDHRA PRADESH,ADILABAD,KERAMERI,29,103,51,0,183
ANDHRA PRADESH,ADILABAD,KHANPUR,1730,547,226,8,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,44,59,25,0,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,109,221,53,1,384
ANDHRA PRADESH,ADILABAD,KUBEER,7,19,28,0,54
ANDHRA PRADESH,ADILABAD,KUNTALA,8,11,7,0,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,869,308,28,2,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,38,106,16,0,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1102,383,95,0,1580
