-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.5.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells by type", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.5.csv"
}
-----
"State","Shallow tubewell","Filter Point","Borewell","Others","Total"
"ANDHRA PRADESH",452660,60186,137317,6196,656359
"ASSAM",69403,5561,1624,2076,78664
"BIHAR",602148,16503,26861,5871,651383
"CHHATTISGARH",77369,571,4037,4598,86575
"GOA",5,0,25,0,30
"GUJ ARAT",37649,2541,10033,2972,53195
"HARYANA",330793,12103,9960,23496,376352
"HIMACHAL PRADESH",1886,15,689,59,2649
"JAMMU & KASHMIR",247,120,997,9,1373
"JHARKHAND",933,25,133,33,1124
"KARNATAKA",73434,6771,444808,7335,532348
"KERALA",3237,521,844,78,4680
"MADHYA PRADESH",232667,4006,38271,4080,279024
"MAHARASHTRA",45836,2558,5069,5957,59420
"MANIPUR",3,0,0,0,3
"MEGHALAYA",73,2,0,0,75
"NAGALAND",2,0,0,0,2
"ORISSA",38971,4602,223,85,43881
"PUNJAB",969367,36878,33782,27090,1067117
"RAJASTHAN",98250,1438,12771,397,112856
"TAMIL NADU",123118,1958,23105,3069,151250
"TRIPURA",589,348,205,36,1178
"UTTAR PRADESH",3365139,55019,66979,38406,3525543
"UTTARANCHAL",49555,898,1535,111,52099
"WEST BENGAL",585554,13384,2354,2375,603667
"CHANDIGARH",132,0,0,0,132
"DELHI",10285,27,27,5,10344
"PONDICHERRY",2717,34,1603,16,4370
"ALL INDIA",7172022,226069,823252,134350,8355693
