-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "HimachalNSDPconst.csv", 
 "title": "Download CSV for Himachal Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HimachalNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","115477","114937","119921","121199","121318","125207","118558","127644","137773","135770","153916","169114","185813"
"Foresty and Logging","33017","35190","32175","33162","33921","31289","31177","30800","32504","32385","33812","30475","27467"
"Fishing","1661","1255","1452","1483","1571","1445","1371","1374","1430","1501","1276","1422","1584"
"Mining and Quarrying","2819","3772","4608","4485","6052","6532","7345","7142","8272","7103","8132","9191","10389"
"Sub total of primary","152974","155154","158156","160329","162862","164473","158451","166960","179979","176759","197136","210202","225253"
"Manufacturing","29952","42081","49401","61704","65680","67589","86513","85061","88547","101356","114758","129928","147078"
"Registered","22529","32763","38018","47972","49634","52556","70082","64247","67674","73610","85791","99404","115178"
"Unregistered","7423","9318","11383","13732","16046","15033","16431","20814","20873","27746","28967","30524","31900"
"Construction","63867","68166","76475","80335","81497","89064","93589","103252","107923","109966","124625","135130","145780"
"Electricity, Gas and water Supply","13660","31595","29382","26861","32266","34476","31728","37365","33883","36489","40573","40904","42770"
"Sub total of secondary","107479","141842","155258","168900","179443","191129","211830","225678","230353","247811","279956","305962","335628"
"Transport Storage and Communication","7633","7145","7645","7304","10311","13011","14422","16790","19405","24305","28994","32518","34993"
"Railways","280","111","224","271","298","440","492","492","492","492","492","493","493"
"Transport by other means","4682","4300","5116","4681","7659","8247","9138","10983","14674","18247","20766","21767","22589"
"Storage","26","30","35","38","40","43","43","43","53","53","53","53","53"
"Communication","2645","2704","2270","2314","2314","4281","4749","5272","4186","5513","7683","10205","11858"
"Trade, hotels and restaurants","38262","42683","44224","47544","51145","56088","77175","61337","59814","67078","71554","78628","82560"
"Banking and Insurance","18487","20540","19744","22684","23630","25999","32446","32959","33699","38762","49186","54503","63863"
"Real estate, ownership of dwelling and business","23474","24166","24993","26099","27028","26622","27380","27763","28519","29130","29928","30768","31641"
"Pubic Administration","32439","30385","31975","35576","40409","45173","53807","54784","61863","65622","67136","69206","72392"
"Other Services","44255","44470","50057","51450","62273","74133","86674","87387","86634","94003","92817","94759","101196"
"Sub total of tertiary","164550","169389","178638","190657","214796","241026","291904","281020","289934","318900","339615","360382","386645"
"State domestic product","425003","466385","492052","519886","557101","596628","662185","673658","700266","743469","816707","876547","947525"

"Figures are in Rs. Lakh"
