-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.9.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.9.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total"
"ANDHRA PRADESH","ADILABAD",27127,29452,2099,242,9,31802
"ANDHRA PRADESH","ANANTHAPUR",53937,46763,26104,334,0,73201
"ANDHRA PRADESH","CHITTOOR",97561,47079,77333,93,0,124505
"ANDHRA PRADESH","CUDDAPAH",34938,31171,13794,1,0,44966
"ANDHRA PRADESH","EAST GODAVARI",44789,43551,2278,655,218,46702
"ANDHRA PRADESH","GUNTUR",8582,8337,417,2,7,8764
"ANDHRA PRADESH","KARIMNAGAR",90263,86871,31077,0,0,117948
"ANDHRA PRADESH","KHAMMAM",58148,58148,7033,0,0,65181
"ANDHRA PRADESH","KRISHNA",37986,41061,8093,350,184,49689
"ANDHRA PRADESH","KURNOOL",19269,19704,5865,3,236,25807
"ANDHRA PRADESH","MAHABOOBNAGAR",63654,59169,15023,32,103,74327
"ANDHRA PRADESH","MEDAK",72294,70796,16830,281,17,87924
"ANDHRA PRADESH","NALGONDA",59475,55968,30056,359,0,86382
"ANDHRA PRADESH","NELLORE",98356,13588,90888,7,119,104601
"ANDHRA PRADESH","NIZAMABAD",47404,47625,13751,100,14,61491
"ANDHRA PRADESH","PRAKASAM",30162,17686,22704,1757,1736,43883
"ANDHRA PRADESH","RANGAREDDY",19125,17057,4718,910,38,22723
"ANDHRA PRADESH","SRIKAKULAM",108827,108518,273,256,20,109067
"ANDHRA PRADESH","VISAKHAPATNAM",96307,83349,3997,14926,295,102568
"ANDHRA PRADESH","VIZIANAGARAM",110392,111087,5072,2646,184,118989
"ANDHRA PRADESH","WARANGAL",235541,227709,59390,636,1185,288920
"ANDHRA PRADESH","WEST GODAVARI",43004,42927,4388,32,20,47368
"ARUNACHAL PRADESH","CHANGLANG",5645,5193,788,12,374,6367
"ARUNACHAL PRADESH","DIBANG VALLEY",4006,2611,803,0,757,4171
"ARUNACHAL PRADESH","EAST KAMENG",3121,2646,1162,53,104,3965
"ARUNACHAL PRADESH","EAST SIANG",15701,15905,1494,55,199,17653
"ARUNACHAL PRADESH","LOHIT",5149,4466,494,28,293,5281
"ARUNACHAL PRADESH","LOWER SUBANSIRI",8615,8618,8,5,2,8633
"ARUNACHAL PRADESH","PAPUMPARE",3586,3580,988,253,518,5339
"ARUNACHAL PRADESH","TAWANG",2525,1661,742,17,126,2545
"ARUNACHAL PRADESH","TIRAP",1929,1745,52,7,137,1941
"ARUNACHAL PRADESH","UPPER SIANG",6447,6517,0,0,0,6517
"ARUNACHAL PRADESH","UPPER SUBANSIRI",3111,3023,53,19,46,3141
"ARUNACHAL PRADESH","WEST KAMENG",1791,1341,503,0,33,1877
"ARUNACHAL PRADESH","WEST SIANG",8154,7842,313,23,212,8390
"ASSAM","BARPETA",485,420,26,35,4,485
"ASSAM","BONGAIGAON",12732,9252,3271,20,294,12837
"ASSAM","CACHAR",447,241,149,6,53,449
"ASSAM","DARRANG",10836,8455,2004,272,389,11119
"ASSAM","DHUBRI",379,224,176,0,20,419
"ASSAM","GOALPARA",8713,7195,460,205,983,8843
"ASSAM","GOLAGHAT",334,176,208,132,20,536
"ASSAM","HAILAKANDI",40,10,0,0,30,40
"ASSAM","JORHAT",346,271,75,0,0,346
"ASSAM","KAMRUP",6270,5699,2241,55,0,7995
"ASSAM","KARBIANGLONG",7957,4645,3464,0,0,8109
"ASSAM","KARIMGANJ",220,136,180,0,0,316
"ASSAM","KOKRAJHAR",10698,15533,6230,9,47,21819
"ASSAM","LAKHIMPUR",1465,1183,341,0,0,1524
"ASSAM","MORIGAON",25,23,2,0,0,25
"ASSAM","NAGOAN",789,519,788,108,2,1417
"ASSAM","NALBARI",2550,2592,639,0,1,3231
"ASSAM","NC HILLS",3830,3817,13,0,0,3830
"ASSAM","SIBSAGAR",583,529,154,0,0,683
"ASSAM","SONITPUR",9510,7629,1961,0,0,9590
"BIHAR","ARARIA",183,175,177,0,0,352
"BIHAR","AURANGABAD",34507,32329,6870,212,634,40045
"BIHAR","BANKA",39800,30309,15986,1136,1070,48501
"BIHAR","BEGUSARAI",2750,434,1911,471,378,3194
"BIHAR","BHAGALPUR",4221,3489,1446,99,113,5148
"BIHAR","BHOJPUR",3512,3419,793,2,0,4214
"BIHAR","BUXAR",236,172,162,16,11,359
"BIHAR","EAST CHAMPARAN",838,436,393,19,0,847
"BIHAR","GAYA",98855,94514,9544,602,4470,109130
"BIHAR","GOPAALGANJ",673,459,621,31,25,1136
"BIHAR","JAMUI",42520,40213,4717,188,168,45286
"BIHAR","JEHANABAD",13940,14064,311,30,10,14414
"BIHAR","KAIMUR (BHABUA)",7415,5357,2868,34,10,8269
"BIHAR","KATIHAR",2,2,2,0,0,4
"BIHAR","LAKHISARAI",9335,8313,1218,118,1,9650
"BIHAR","MADHEPURA",50,30,35,0,0,65
"BIHAR","MADHUBANI",4073,2430,1811,174,143,4558
"BIHAR","MUNGER",6910,4679,2569,4,0,7252
"BIHAR","MUZAFFARPUR",89,46,100,4,42,192
"BIHAR","NALANDA",29071,27067,23785,0,0,50852
"BIHAR","NAWADA",174476,164050,11481,2802,1470,179803
"BIHAR","PATNA",5053,5041,2182,698,91,8011
"BIHAR","ROHTAS(SASARAM)",4878,4512,1732,8,5,6258
"BIHAR","SARAN",417,185,265,56,42,547
"BIHAR","SHEKHPURA",8304,6961,1446,53,130,8589
"BIHAR","SITAMARHI",594,429,325,39,54,848
"BIHAR","SIWAN",1983,398,1841,89,17,2345
"BIHAR","SUPAUL",244,122,122,0,0,244
"BIHAR","VAISHALI",34,10,24,3,2,39
"BIHAR","WEST CHAMPARAN",2821,1986,1425,562,14,3987
"CHHATTISGARH","BASTER",6555,5718,1382,2,1,7104
"CHHATTISGARH","BILASPUR",9759,8904,2555,43,13,11515
"CHHATTISGARH","DANTEWADA",8423,8374,413,3,0,8790
"CHHATTISGARH","DHAMTARI",4144,4167,1,0,0,4168
"CHHATTISGARH","DURG",34493,34489,638,20,1,35147
"CHHATTISGARH","JANJGIR-CHAMPA",26356,25711,16107,3,3,41824
"CHHATTISGARH","JASHPUR",3460,1149,2892,108,20,4169
"CHHATTISGARH","KANKER",6690,6551,930,0,0,7481
"CHHATTISGARH","KORBA",14757,13272,9218,763,165,23418
"CHHATTISGARH","KORIA",8222,5608,4643,101,14,10366
"CHHATTISGARH","KVARDHA",7393,7021,898,2,2,7924
"CHHATTISGARH","MAHASAMUND",24339,25217,2704,6,0,27927
"CHHATTISGARH","RAIGARH",19892,8991,12362,0,5,21357
"CHHATTISGARH","RAIPUR",30223,30002,2309,0,0,32311
"CHHATTISGARH","RAJNANDGAON",19797,22186,543,19,0,22748
"CHHATTISGARH","SURGUJA",16311,8713,11414,106,6,20239
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",136,136,99,4,0,239
"DELHI","ALIPUR",135,116,128,0,0,244
"GOA","NORTH GOA",4418,77,3440,894,86,4497
"GOA","SOUTH GOA",2826,382,2194,387,84,3047
"GUJARAT","AHMEDABAD",20665,17478,6877,128,1702,26185
"GUJARAT","AMRELI",14473,8325,1656,0,4600,14581
"GUJARAT","BANASKANTHA",9993,8966,1325,0,7,10298
"GUJARAT","BHARUCH",5697,2625,3354,48,250,6277
"GUJARAT","BHAVNAGAR",25216,10780,2562,0,13040,26382
"GUJARAT","DAHOD",16013,9556,8930,0,655,19141
"GUJARAT","DANG",3066,0,0,0,3066,3066
"GUJARAT","GANDHINAGAR",120,120,0,0,0,120
"GUJARAT","JAMNAGAR",31607,30027,17384,0,17384,64794
"GUJARAT","JUNAGADH",36397,5625,9164,31,21780,36600
"GUJARAT","KACHCHH",63622,49139,6728,173,9731,65771
"GUJARAT","KHEDA",8592,7472,1188,0,140,8800
"GUJARAT","MEHSANA",5109,1349,0,0,3760,5109
"GUJARAT","NARMADA",2142,1523,1441,0,68,3032
"GUJARAT","NAVSARI",746,710,0,0,36,746
"GUJARAT","PANCHMAHAL",9461,1022,306,0,8268,9596
"GUJARAT","PATAN",5257,1182,500,0,3575,5257
"GUJARAT","PORBANDAR",8951,271,241,0,8619,9131
"GUJARAT","RAJKOT",52232,39260,2397,188,32772,74617
"GUJARAT","SABARKANTHA",21234,12237,8733,0,306,21276
