-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "chandigarhGSDPcurrent_1.csv", 
 "title": "Download CSV for Chandigarh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chandigarhGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","3596","3943","4350","4631","4950","5019","5327","4933","5371","6075","6370","6257"
"Foresty and Logging","268","303","298","306","369","479","92","91","87","88","91","93"
"Fishing","40","26","30","30","2","2","2","2","25","29","33","33"
"Mining and Quarrying","1","1","1","1","1","1","1","1","1","1","1","1"
"Sub total of primary","3905","4273","4679","4968","5322","5501","5422","5027","5484","6193","6495","6384"
"Manufacturing","30566","35226","39527","46068","52223","55663","59876","62552","62176","65312","72201","78077"
"Registered","10914","12328","12015","15305","18389","17620","17938","16281","14144","15654","17305","18714"
"Unregistered","19652","22898","27512","30763","33834","38043","41938","46271","48032","49658","54896","59363"
"Construction","9603","10543","11815","15556","21121","29334","32792","42147","50444","62567","74277","88134"
"Electricity, Gas and water Supply","-376","3652","4955","9228","6825","9730","13615","6506","6118","6496","7035","7489"
"Sub total of secondary","39793","49421","56297","70852","80169","94727","106283","111205","118738","134375","153513","173700"
"Transport Storage and Communication","7569","6073","7544","9368","11817","15176","18742","18961","21275","25695","28945","31152"
"Railways","79","94","121","136","153","164","187","167","211","258","315","385"
"Transport by other means","5543","3502","4037","4859","6338","8051","10531","11907","12970","13727","14987","15552"
"Storage","54","57","67","73","83","84","101","111","121","132","145","150"
"Communication","1893","2420","3319","4300","5243","6877","7923","6776","7973","11578","13498","15065"
"Trade, hotels and restaurants","21644","27237","33255","41699","48559","52952","60947","68660","85218","106885","138181","179563"
"Banking and Insurance","14092","22671","35888","42275","46145","48534","52204","65877","77800","99093","117027","138198"
"Real estate, ownership of dwelling and business","28625","32105","35726","38633","42455","47009","53652","58591","63884","69649","75459","85694"
"Pubic Administration","17134","17819","20900","24879","32422","42561","49352","48241","49743","53041","54774","56950"
"Other Services","14023","15565","17813","21918","25826","36292","42725","43762","47414","51412","55090","58964"
"Sub total of tertiary","103087","121470","151126","178772","207224","242524","277622","304092","345334","405775","469476","550521"
"State domestic product","146785","175164","212102","254592","292715","342752","389327","420324","469556","546343","629484","730605"

"Figures are in Rs. Lakh"
