-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "goaNSDPconst.csv", 
 "title": "Download CSV for Goa Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/goaNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","22562","22258","22208","23940","22509","26527","29899","26090","28814","30024","33351","35968"
"Foresty and Logging","1026","1110","1174","1023","1063","736","872","968","1123","1190","1050","1159"
"Fishing","8204","6845","6310","6081","8526","5437","4782","4419","4508","3663","5697","5383"
"Mining and Quarrying","11174","12209","11180","9929","15254","14864","11109","10751","11089","13154","13717","15622"
"Sub total of primary","42966","42422","40872","40973","47352","47564","46662","42228","45534","48031","53815","58132"
"Manufacturing","51613","43680","47572","59084","55236","84643","95942","100189","112783","129466","70543","83413"
"Registered","45453","33212","37236","48885","45283","69405","79617","82781","94820","100304","51988","62727"
"Unregistered","6160","10468","10336","10199","9953","15238","16325","17408","17963","29162","18555","20686"
"Construction","10083","12111","10824","14068","14679","19012","19204","25559","30614","32486","33446","34996"
"Electricity, Gas and water Supply","2073","2259","2267","2382","2440","3733","3815","3963","5579","7064","3045","4452"
"Sub total of secondary","63769","58050","60663","75534","72355","107388","118961","129711","148976","169016","107034","122861"
"Transport Storage and Communication","20786","19404","17343","17516","15063","21786","19858","20916","26651","36077","34994","34885"
"Railways","231","263","298","2913","122","899","841","1425","942","2059","1937","1942"
"Transport by other means","19477","18025","15626","12385","12075","18233","16065","15938","21163","24795","21377","21237"
"Storage","69","72","68","64","68","75","77","87","111","139","133","133"
"Communication","1009","1044","1351","2154","2798","2579","2875","3466","4435","9084","11547","11573"
"Trade, hotels and restaurants","21496","34046","34749","41312","41208","63356","51284","61698","42820","81596","46589","46683"
"Banking and Insurance","13120","15459","30291","44808","43469","38508","43581","30128","45656","35979","35020","35099"
"Real estate, ownership of dwelling and business","13650","14237","14690","15288","16473","17699","19096","21353","24355","28132","29466","36480"
"Pubic Administration","9119","8951","8997","10149","11545","14872","14975","15453","15922","17690","19272","19318"
"Other Services","15280","15403","14898","14651","15322","17286","18955","21737","24381","25526","12268","12303"
"Sub total of tertiary","93451","107500","120968","143724","143080","173507","167749","171285","179785","225000","177609","184768"
"State domestic product","200186","207972","222503","260231","262787","328458","333373","343224","374295","442047","338458","365761"

"Figures are in Rs. Lakh"
