-----
{
 "description": "The table refers to Block wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.1.csv", 
 "title": "Download CSV for Blockwise Construction of Dugwells over the years", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,7,0,0,0,0,0,0,1,8
ANDHRA PRADESH,ADILABAD,ADILABAD,187,42,27,80,63,53,12,5,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,66,0,1,0,0,3,0,0,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,310,77,7,2,1,1,3,2,403
ANDHRA PRADESH,ADILABAD,BEJJUR,320,2,0,0,0,0,0,0,322
ANDHRA PRADESH,ADILABAD,BELA,90,44,44,75,38,17,5,15,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,419,23,22,28,12,11,11,5,531
ANDHRA PRADESH,ADILABAD,BHAINSA,20,1,0,0,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,112,107,13,3,19,19,1,0,274
ANDHRA PRADESH,ADILABAD,BOATH,69,0,5,8,5,4,2,1,94
ANDHRA PRADESH,ADILABAD,CHENNUR,267,39,19,17,12,5,5,8,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,295,25,9,14,3,27,6,1,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,880,478,254,94,56,27,6,1,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,258,113,140,120,123,85,23,14,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,193,70,56,39,28,28,6,2,422
ANDHRA PRADESH,ADILABAD,ICHODA,303,100,53,27,21,19,2,1,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,538,94,33,23,25,11,15,4,743
ANDHRA PRADESH,ADILABAD,JAINAD,74,52,17,16,12,1,6,1,179
ANDHRA PRADESH,ADILABAD,JAINOOR,121,39,26,33,13,2,3,3,240
ANDHRA PRADESH,ADILABAD,JAIPUR,168,11,19,33,97,101,81,6,516
ANDHRA PRADESH,ADILABAD,JANNARAM,117,58,76,59,46,15,8,0,379
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1592,37,36,33,20,17,7,23,1765
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,256,10,8,16,34,8,3,0,335
ANDHRA PRADESH,ADILABAD,KASIPET,82,9,38,23,11,0,0,0,163
ANDHRA PRADESH,ADILABAD,KERAMERI,143,15,14,7,3,0,1,0,183
ANDHRA PRADESH,ADILABAD,KHANPUR,2085,81,71,42,126,39,16,51,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,76,25,7,5,12,2,1,0,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,214,27,44,50,14,26,9,0,384
ANDHRA PRADESH,ADILABAD,KUBEER,10,9,8,8,6,9,3,1,54
ANDHRA PRADESH,ADILABAD,KUNTALA,26,0,0,0,0,0,0,0,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,1038,133,20,11,2,1,1,1,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,6,46,65,32,9,1,1,0,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,247,173,285,174,362,188,126,25,1580
ANDHRA PRADESH,ADILABAD,MAMDA,59,199,113,91,53,15,0,1,531
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1226,220,190,92,135,44,15,9,1931
ANDHRA PRADESH,ADILABAD,MANDAMARRI,371,60,44,51,38,20,10,3,597
ANDHRA PRADESH,ADILABAD,NARNOOR,395,63,53,68,15,6,5,2,607
ANDHRA PRADESH,ADILABAD,NENNAL,308,17,6,8,3,1,13,0,356
