-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.7.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.7.csv"
}
-----
State,District,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ADILABAD,4592,1721,317,410,178,1,7219
ANDHRA PRADESH,ANANTHAPUR,5694,12228,2513,436,267,40,21178
ANDHRA PRADESH,CHITTOOR,970,8759,173,215,19,2,10138
ANDHRA PRADESH,CUDDAPAH,11790,440,251,289,28,10,12808
ANDHRA PRADESH,EAST GODAVARI,17019,2239,982,374,212,2,20828
ANDHRA PRADESH,GUNTUR,9226,4169,530,924,1009,10,15868
ANDHRA PRADESH,KARIMNAGAR,782,70,13,31,57,0,953
ANDHRA PRADESH,KHAMMAM,3135,194,295,184,21,5,3834
ANDHRA PRADESH,KRISHNA,9678,2060,445,262,242,1,12688
ANDHRA PRADESH,KURNOOL,6082,1968,213,240,208,24,8735
ANDHRA PRADESH,MAHABOOB NAGAR,17547,2593,467,678,109,5,21399
ANDHRA PRADESH,MEDAK,25085,3144,1077,295,1188,92,30881
ANDHRA PRADESH,NALGONDA,12004,1220,201,169,121,1,13716
ANDHRA PRADESH,NELLORE,8970,17759,1890,454,647,433,30153
ANDHRA PRADESH,NIZAMABAD,34264,8119,953,594,2239,26,46195
ANDHRA PRADESH,PRAKASAM,7782,1301,1079,698,101,1,10962
ANDHRA PRADESH,RANGA REDDY,13147,2382,546,252,90,37,16454
ANDHRA PRADESH,SRIKAKULUM,4295,647,391,174,59,1,5567
ANDHRA PRADESH,VIJAYA NAGARAM,2617,474,464,241,94,0,3890
ANDHRA PRADESH,VISAKHAPATNAM,4010,532,378,130,335,1,5386
ANDHRA PRADESH,WARANGAL,3146,107,62,123,10,1,3449
ANDHRA PRADESH,WEST GODAVARI,8329,3078,1000,1416,248,1,14072
ASSAM,BARPETA,22,243,62,1082,855,0,2264
ASSAM,BONGAIGAON,0,85,1,354,385,1,826
ASSAM,CACHAR,0,0,0,0,0,0,0
ASSAM,DARRANG,1,53,4,779,1079,0,1916
ASSAM,DHEMAJI,0,44,0,1,664,0,709
ASSAM,DHUBRI,44,871,15,510,958,0,2398
ASSAM,DIBRUGARH,0,22,0,163,1010,1,1196
ASSAM,GOALPARA,0,94,18,103,136,0,351
ASSAM,GOLAGHAT,0,8,2,69,376,0,455
ASSAM,HAILAKANDI,0,0,0,0,0,0,0
ASSAM,JORHAT,2,16,3,165,912,0,1098
ASSAM,KAMRUP,24,5,2,162,982,0,1175
ASSAM,KARBI ANGLONG,0,24,0,5,26,0,55
ASSAM,KARIMGANJ,0,0,0,0,0,0,0
ASSAM,KOKRAJHAR,0,9,294,1,454,0,758
ASSAM,LAKHIMPUR,0,49,0,132,831,0,1012
ASSAM,MARIGAON,0,232,0,0,985,0,1217
ASSAM,NAGAON,0,311,1,0,2800,1,3113
ASSAM,NALBARI,2,4,8,165,1090,0,1269
ASSAM,SIBSAGAR,0,0,0,76,710,1,787
ASSAM,SONITPUR,4,75,8,488,2106,3,2684
ASSAM,TINSUKIA,0,5,4,1188,133,16,1346
BIHAR,ARARIA,1121,1605,402,1254,4825,3812,13019
BIHAR,AURANGABAD,1798,2211,275,1761,2408,279,8732
BIHAR,BANKA,1375,3051,267,673,548,8,5922
BIHAR,BEGUSARAI,3406,6777,1743,2312,3810,3168,21216
BIHAR,BHABUA,3480,4240,406,1398,1309,461,11294
BIHAR,BHAGALPUR,1632,5778,246,1065,1546,328,10595
BIHAR,BHOJPUR,2457,5779,1332,2214,1791,1171,14744
BIHAR,BUXAR,2611,6087,1215,2113,561,413,13000
BIHAR,CHAMPARAN EAST,2023,13540,1143,1684,3832,8383,30605
BIHAR,CHAMPARAN WEST,1754,7519,623,1716,5060,4444,21116
BIHAR,CHATRA,16,126,0,0,0,0,142
BIHAR,DARBHANGA,969,3104,2018,2713,1877,1163,11844
BIHAR,DEOGHAR,0,0,1,0,0,0,1
BIHAR,DHANBAD,0,0,0,4,0,0,4
BIHAR,GAYA,6835,14896,278,899,1098,120,24126
BIHAR,GIRIDIH,56,304,0,0,0,0,360
BIHAR,GODDA,175,286,8,91,23,1,584
BIHAR,GOPALGANJ,3079,6242,1169,2680,1756,1819,16745
BIHAR,HAZARIBAG,0,0,0,0,0,0,0
BIHAR,JAMUI,673,1413,162,347,444,101,3140
BIHAR,JEHANABAD,4096,7955,862,2250,2359,230,17752
BIHAR,KATIHAR,3063,16416,443,1052,3378,124,24476
BIHAR,KHAGARIA,809,3532,903,981,1946,2535,10706
BIHAR,KISHANGANJ,79,460,49,1312,4375,2671,8946
BIHAR,KODARMA,63,151,0,0,0,0,214
BIHAR,LAKHISARAI,660,1380,336,1063,797,200,4436
BIHAR,MADHEPURA,721,1524,88,1355,5839,4645,14172
BIHAR,MADHUBANI,879,2301,2737,2821,2602,3018,14358
BIHAR,MUNGER,440,535,76,303,1643,103,3100
BIHAR,MUZAFFARPUR,3283,16185,1875,2364,2460,4721,30888
BIHAR,NALANDA,5194,9433,417,729,559,117,16449
BIHAR,NAWADA,4566,5545,895,2302,1978,565,15851
