-----
{
 "description": "The Structure of SSA Expenditure provides details of the pattern of expenditure on various activities and identifies the major segments where SSA money goes.", 
 "file_name": "education05.csv", 
 "title": "Download CSV for Structure of Sarva Siksha Abhiyan Expenditure", 
 "url": "http://data.gov.in/sites/default/files/education05.csv"
}
-----
Structure  of SSA Expenditure - Category ,2003-04,2006-07,Tenth Plan
Percentage of Expenditure in Civil Works,36,46,43.84
Percentage of Expenditure in Teacher's Salary,16,21,19.37
Percentage of Expenditure in EGS/AIE,10,7,5.00
Percentage of Expenditure in Teacher's Training,5,3,2.92
Percentage of Expenditure in Text Books,6,3,4.89
Percentage of Expenditure in BRC/CRC,3,3,3.64
Percentage of Expenditure in TLE,4,1,2.07
Percentage of Expenditure in Management Cost,3,4,2.67
Percentage of Expenditure in Innovative Activities,3,2,0.91
Percentage of Expenditure in Others,14,10,14.69
