-----
{
 "description": "The table refers to District wise Construction of Surface Flow Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.1.csv", 
 "title": "Download CSV for Districtwise Construction of Surface Flow Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.1.csv"
}
-----
"State","District","Upto 1993-94","Upto 1994-95","Upto 1995-96","Upto 1996-97","Upto 1997-98","Upto 1998-99","Upto 1999-00","Upto 2000-01","Total (1994-01)"
"ANDHRA PRADESH","ADILABAD",2465,325,33,62,85,63,21,68,3122
"ANDHRA PRADESH","ANANTHAPUR",2252,21,54,56,32,92,47,132,2686
"ANDHRA PRADESH","CHITTOOR",7782,19,5,3,3,8,5,2,7827
"ANDHRA PRADESH","CUDDAPAH",1709,33,25,36,56,126,75,28,2088
"ANDHRA PRADESH","EAST GODAVARI",1893,8,17,5,3,3,0,4,1933
"ANDHRA PRADESH","GUNTUR",223,5,5,1,0,0,0,0,234
"ANDHRA PRADESH","KARIMNAGAR",5315,2,0,0,0,0,0,1,5318
"ANDHRA PRADESH","KHAMMAM",2627,39,22,23,26,15,7,41,2800
"ANDHRA PRADESH","KRISHNA",1018,4,3,6,0,0,0,0,1031
"ANDHRA PRADESH","KURNOOL",565,2,4,6,7,8,23,19,634
"ANDHRA PRADESH","MAHABOOBNAGAR",6799,18,87,83,87,233,487,704,8498
"ANDHRA PRADESH","MEDAK",5116,5,24,5,15,0,0,0,5165
"ANDHRA PRADESH","NALGONDA",4414,20,23,2,19,26,17,120,4641
"ANDHRA PRADESH","NELLORE",1662,3,5,0,26,1,1,2,1700
"ANDHRA PRADESH","NIZAMABAD",1983,3,19,5,0,0,0,7,2017
"ANDHRA PRADESH","PRAKASAM",1065,2,6,22,18,1,11,1,1126
"ANDHRA PRADESH","RANGAREDDY",1539,13,23,4,1,1,0,0,1581
"ANDHRA PRADESH","SRIKAKULAM",7700,12,16,8,3,2,1,2,7744
"ANDHRA PRADESH","VISAKHAPATNAM",5927,55,85,111,11,37,5,3,6234
"ANDHRA PRADESH","VIZIANAGARAM",9463,16,12,6,9,4,4,4,9518
"ANDHRA PRADESH","WARANGAL",4835,37,28,26,22,14,25,22,5009
"ANDHRA PRADESH","WEST GODAVARI",1486,17,17,8,8,1,0,0,1537
"ARUNACHAL PRADESH","CHANGLANG",179,14,5,27,11,26,11,23,296
"ARUNACHAL PRADESH","DIBANG VALLEY",90,3,2,7,7,5,8,5,127
"ARUNACHAL PRADESH","EAST KAMENG",94,12,9,11,11,13,7,27,184
"ARUNACHAL PRADESH","EAST SIANG",631,72,52,39,38,26,22,25,905
"ARUNACHAL PRADESH","LOHIT",42,1,6,3,2,2,5,7,68
"ARUNACHAL PRADESH","LOWER SUBANSIRI",184,48,51,65,79,58,39,61,585
"ARUNACHAL PRADESH","PAPUMPARE",106,18,11,17,8,9,12,24,205
"ARUNACHAL PRADESH","TAWANG",63,2,7,6,3,9,9,9,108
"ARUNACHAL PRADESH","TIRAP",76,5,9,8,12,2,6,11,129
"ARUNACHAL PRADESH","UPPER SIANG",351,30,22,36,23,30,32,22,546
"ARUNACHAL PRADESH","UPPER SUBANSIRI",397,15,12,13,8,9,12,19,485
"ARUNACHAL PRADESH","WEST KAMENG",33,4,1,3,2,11,1,15,70
"ARUNACHAL PRADESH","WEST SIANG",179,6,13,18,8,7,4,10,245
"ASSAM","BARPETA",57,0,0,0,0,0,8,6,71
"ASSAM","BONGAIGAON",106,0,2,3,2,1,1,0,115
"ASSAM","CACHAR",2,2,0,2,17,1,3,0,27
"ASSAM","DARRANG",507,17,18,18,2,7,67,3,639
"ASSAM","DHUBRI",30,9,8,3,0,15,1,2,68
"ASSAM","GOALPARA",49,3,1,5,1,2,1,1,63
"ASSAM","GOLAGHAT",11,0,3,19,0,20,55,101,209
"ASSAM","HAILAKANDI",0,0,1,0,0,0,1,0,2
"ASSAM","JORHAT",39,0,1,0,0,0,0,0,40
"ASSAM","KAMRUP",38,0,1,2,0,2,1,0,44
"ASSAM","KARBIANGLONG",105,14,63,18,13,12,23,24,272
"ASSAM","KARIMGANJ",1,0,0,0,0,0,0,0,1
"ASSAM","KOKRAJHAR",231,0,1,3,3,2,1,3,244
"ASSAM","LAKHIMPUR",24,0,0,0,0,0,0,0,24
"ASSAM","MORIGAON",2,0,0,0,0,0,0,0,2
"ASSAM","NAGOAN",14,1,4,1,0,1,2,1,24
"ASSAM","NALBARI",27,0,1,0,0,0,0,0,28
"ASSAM","NC HILLS",225,9,4,22,11,4,0,0,275
"ASSAM","SIBSAGAR",7,0,0,0,0,0,0,0,7
"ASSAM","SONITPUR",48,0,2,0,0,1,0,0,51
"BIHAR","ARARIA",71,21,21,1,0,0,0,0,114
"BIHAR","AURANGABAD",1398,67,76,137,12,1,1,1,1693
"BIHAR","BANKA",2195,25,19,5,8,4,7,0,2263
"BIHAR","BEGUSARAI",60,72,0,0,0,0,0,0,132
"BIHAR","BHAGALPUR",499,4,3,4,1,0,2,9,522
"BIHAR","BHOJPUR",116,5,3,0,0,0,0,0,124
"BIHAR","BUXAR",64,1,0,2,2,0,0,0,69
"BIHAR","EAST CHAMPARAN",6,31,1,0,0,0,0,0,38
"BIHAR","GAYA",7176,26,38,2,14,7,1,0,7264
"BIHAR","GOPAALGANJ",29,0,0,1,0,0,0,0,30
"BIHAR","JAMUI",2434,37,12,14,18,2,4,1,2522
"BIHAR","JEHANABAD",483,16,61,42,0,0,0,1,603
"BIHAR","KAIMUR (BHABUA)",1353,34,11,0,2,1,0,0,1401
"BIHAR","KATIHAR",0,0,0,0,0,0,0,1,1
"BIHAR","LAKHISARAI",261,4,0,1,0,0,0,0,266
"BIHAR","MADHEPURA",1,0,0,0,0,0,0,0,1
"BIHAR","MADHUBANI",407,13,16,11,2,7,4,1,461
"BIHAR","MUNGER",164,1,0,0,0,1,0,0,166
"BIHAR","MUZAFFARPUR",24,0,0,0,0,0,0,0,24
"BIHAR","NALANDA",219,4,79,3,0,0,0,15,320
"BIHAR","NAWADA",2648,129,59,11,3,6,1,2,2859
"BIHAR","PATNA",287,5,6,0,0,0,0,0,298
"BIHAR","ROHTAS(SASARAM)",403,0,9,1,0,1,0,3,417
"BIHAR","SARAN",39,2,0,13,4,4,0,0,62
"BIHAR","SHEKHPURA",146,2,1,0,2,0,0,0,151
"BIHAR","SITAMARHI",7,5,5,0,0,0,0,0,17
"BIHAR","SIWAN",88,0,1,0,0,0,0,0,89
"BIHAR","SUPAUL",86,1,0,0,0,0,0,0,87
"BIHAR","VAISHALI",1,0,0,1,0,0,0,0,2
"BIHAR","WEST CHAMPARAN",195,2,3,4,1,0,0,0,205
"CHHATTISGARH","BASTER",1394,30,26,50,122,62,55,674,2413
"CHHATTISGARH","BILASPUR",1473,0,7,2,5,4,2,5,1498
"CHHATTISGARH","DANTEWADA",149,15,29,7,2,1,9,291,503
"CHHATTISGARH","DHAMTARI",92,3,1,3,1,0,1,588,689
"CHHATTISGARH","DURG",507,6,7,5,3,6,6,834,1374
"CHHATTISGARH","JANJGIR-CHAMPA",13835,23,16,4,7,8,6,9,13908
"CHHATTISGARH","JASHPUR",1763,10,4,19,10,11,5,33,1855
"CHHATTISGARH","KANKER",72,3,12,3,0,1,0,105,196
"CHHATTISGARH","KORBA",8819,30,31,35,27,18,21,10,8991
"CHHATTISGARH","KORIA",1434,1,11,3,1,4,2,2,1458
"CHHATTISGARH","KVARDHA",1594,92,46,1,0,1,0,1781,3515
"CHHATTISGARH","MAHASAMUND",884,0,4,2,3,4,1,805,1703
"CHHATTISGARH","RAIGARH",7199,36,28,14,39,11,3,90,7420
"CHHATTISGARH","RAIPUR",1795,25,18,13,6,11,14,1171,3053
"CHHATTISGARH","RAJNANDGAON",670,1,8,2,0,3,5,423,1112
"CHHATTISGARH","SURGUJA",1677,13,8,16,11,16,9,11,1761
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",39,1,2,1,2,1,0,0,46
"DELHI","ALIPUR",7,18,18,12,0,0,0,0,55
"GOA","NORTH GOA",2769,7,5,9,6,2,16,2,2816
"GOA","SOUTH GOA",973,3,3,2,2,14,4,44,1045
"GUJARAT","AHMEDABAD",2376,50,52,8,3,0,2,3,2494
"GUJARAT","AMRELI",318,8,5,0,0,0,6,9,346
"GUJARAT","BANASKANTHA",203,5,11,25,5,53,43,19,364
"GUJARAT","BHARUCH",187,1,4,1,1,0,0,0,194
"GUJARAT","BHAVNAGAR",663,63,88,3,3,3,1,1,825
"GUJARAT","DAHOD",484,28,49,24,17,18,74,56,750
"GUJARAT","DANG",20,19,93,93,0,0,0,0,225
"GUJARAT","GANDHINAGAR",2,0,0,0,0,0,0,0,2
"GUJARAT","JAMNAGAR",932,84,0,0,0,0,0,0,1016
"GUJARAT","JUNAGADH",598,12,27,21,54,33,24,1147,1916
"GUJARAT","KACHCHH",528,33,34,43,34,28,26,26,752
"GUJARAT","KHEDA",26,0,0,0,0,0,0,0,26
"GUJARAT","MEHSANA",71,20,10,22,21,37,5,15,201
"GUJARAT","NARMADA",100,0,1,0,0,0,0,0,101
"GUJARAT","NAVSARI",105,4,0,22,0,0,0,0,131
"GUJARAT","PANCHMAHAL",313,14,43,3,1,0,0,0,374
"GUJARAT","PATAN",177,59,16,8,4,0,0,0,264
"GUJARAT","PORBANDAR",274,7,7,14,13,25,16,156,512
"GUJARAT","RAJKOT",1833,76,99,126,113,109,395,758,3509
"GUJARAT","SABARKANTHA",425,28,40,24,28,33,94,147,819
"GUJARAT","SURAT",287,15,16,2,1,0,0,0,321
"GUJARAT","SURENDRANAGAR",2869,43,28,17,3,2,0,62,3024
"GUJARAT","VADODARA",375,0,0,0,0,0,1,0,376
"GUJARAT","VALSAD",109,22,48,5,0,0,0,0,184
"HARYANA","AMBALA",7,0,0,0,0,0,0,0,7
"HARYANA","BHIWANI",72,3,4,3,1,5,0,1,89
"HARYANA","GURGAON",7,0,0,0,0,0,0,0,7
"HARYANA","KARNAL",297,28,16,29,7,7,1,0,385
"HARYANA","PANCHKULA",206,28,17,9,1,1,0,1,263
"HARYANA","REWARI",20,0,0,0,0,0,0,0,20
"HIMACHAL PRADESH","Bilaspur",882,0,3,3,1,0,0,0,889
"HIMACHAL PRADESH","Chamba",605,6,1,3,0,0,1,1,617
"HIMACHAL PRADESH","Hamirpur",189,2,1,0,3,3,1,5,204
"HIMACHAL PRADESH","Kangra",1836,6,23,7,0,0,1,0,1873
"HIMACHAL PRADESH","Kinnaur",234,0,0,1,0,0,0,0,235
"HIMACHAL PRADESH","Kullu",118,0,0,1,0,0,0,0,119
"HIMACHAL PRADESH","Lahul & Spiti",567,0,4,1,0,0,2,0,574
"HIMACHAL PRADESH","Mandi",4016,3,0,2,7,3,3,3,4037
"HIMACHAL PRADESH","Shimla",1345,0,4,0,1,1,0,0,1351
"HIMACHAL PRADESH","Sirmaur",1935,1,0,2,0,3,1,1,1943
"HIMACHAL PRADESH","Solan",1919,16,9,4,3,7,10,8,1976
"HIMACHAL PRADESH","Una",106,0,0,1,0,0,0,4,111
"JAMMU & KASHMIR","ANANTNAG",711,5,18,3,0,0,0,0,737
"JAMMU & KASHMIR","BADGAM",388,8,18,4,4,3,1,2,428
"JAMMU & KASHMIR","BARAMULLA",615,0,2,9,1,3,0,0,630
"JAMMU & KASHMIR","DODA",306,3,6,4,6,0,0,0,325
"JAMMU & KASHMIR","JAMMU",2,1,2,0,0,0,0,1,6
"JAMMU & KASHMIR","KARGIL",354,1,1,0,0,0,0,0,356
"JAMMU & KASHMIR","KATHUA",444,5,14,0,0,9,0,6,478
"JAMMU & KASHMIR","KUPWARA",633,0,1,1,0,0,0,1,636
"JAMMU & KASHMIR","LEH",118,0,2,0,0,0,0,0,120
"JAMMU & KASHMIR","POONCH",171,1,0,2,3,0,0,0,177
"JAMMU & KASHMIR","PULWAMA",626,1,3,0,25,0,0,0,655
"JAMMU & KASHMIR","RAJOURI",388,3,6,11,12,2,3,0,425
"JAMMU & KASHMIR","SRINAGAR",275,1,1,0,0,0,0,0,277
"JAMMU & KASHMIR","UDHAMPUR",608,1,0,1,3,0,0,0,613
"JHARKHAND","BOKARO",1266,64,13,50,4,2,1,0,1400
"JHARKHAND","CHATRA",2121,80,33,14,11,5,5,3,2272
"JHARKHAND","DEOGHAR",5114,57,38,119,4,2,2,3,5339
"JHARKHAND","DHANBAD",1314,23,28,8,4,3,3,1,1384
"JHARKHAND","DUMKA",3097,161,38,11,10,22,7,53,3399
"JHARKHAND","GARHWA",2340,97,89,115,28,34,14,23,2740
