-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Seventh Lok Sabha from 18th January 1980 to 31st December 1984. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls", 
 "title": "Download XLS for Members of Seventh Lok Sabha from 18th January 1980 to 31st December 1984", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Seventh Lok Sabha","Shri Bansi Lal","Male","Bhiwani                                                                                             ","Haryana                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri Palas Barman","Male","Balurghat-SC                                                                                        ","West Bengal                                                 ","Revolutionary Socialist Party"
"Seventh Lok Sabha","Shri Maganbhai Barot","Male","Ahmedabad                                                                                           ","Gujarat                                                     ","Congress (I)"
"Seventh Lok Sabha","Shri A.E.T. Barrow","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Seventh Lok Sabha","Shri Jatiram Chaitaram Barway","Male","Ramtek                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Zainul Basher","Male","Ghazipur                                                                                            ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Chitta Basu","Male","Barasat                                                                                             ","West Bengal                                                 ","All India Forward Bloc"
"Seventh Lok Sabha","Shri Rasa Behari Behera","Male","Kalahandi                                                                                           ","Odisha                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Bali Ram Bhagat","Male","Sitamarhi                                                                                           ","Bihar                                                       ","Congress (U)"
"Seventh Lok Sabha","Shri H.K.L. Bhagat","Male","East Delhi                                                                                          ","Delhi                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Bhagwan Dev Acharya","Male","Ajmer                                                                                               ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Manoranjan Bhakta","Male","Andaman and Nicobar Islands                                                                         ","Andaman and Nicobar Islands                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Paras Ram Bhardwaj","Male","Sarangarh-SC                                                                                        ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Raghunandan Lal Bhatia","Male","Amritsar                                                                                            ","Punjab                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Dinendra Nath Bhattacharya","Male","Serampore                                                                                           ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Sushil Kumar Bhattacharya","Male","Burdwan                                                                                             ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Bheekhabhai","Male","Banswara-ST                                                                                         ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Bhim Singh","Male","Jhunjhunu                                                                                           ","Rajasthan                                                   ","Janata Party"
"Seventh Lok Sabha","Dr. Krupasindhu Bhoi","Male","Sambalpur                                                                                           ","Odisha                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri R.R. Bhole","Male","Bombay South Central                                                                                ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Gotte Bhoopathy","Male","Peddapalli-SC                                                                                       ","Andhra Pradesh                                              ","Telugu Desam Party"
"Seventh Lok Sabha","Shri Reshma Motiram Bhoye","Male","Dhule-ST                                                                                            ","Maharashtra                                                 ","Congress (I)"
"Seventh Lok Sabha","Shri Dileep Singh Bhuria","Male","Jhabua-ST                                                                                           ","Madhya Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Bhubaneswar Bhuyan","Male","Gauhati                                                                                             ","Assam                                                       ","Congress (I)"
"Seventh Lok Sabha","Shri Birbal Ram","Male","Ganganagar-SC                                                                                       ","Rajasthan                                                   ","Congress (I)"
"Seventh Lok Sabha","Shri Ajoy Biswas","Male","Tripura West                                                                                        ","Tripura                                                     ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Rajagopala Rao Boddiapalli","Male","Srikakulam                                                                                          ","Andhra Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Jyotirmoy Bosu","Male","Diamond Harbour                                                                                     ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Smt. Gurbrinder Kaur Brar","Female","Faridkot                                                                                            ","Punjab                                                      ","Congress (I)"
