-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ORISSA,GANJAM,SORADA,33,14,9,0,0,0,1297,1353
ORISSA,JAGATSINGHPUR,BALIKUDA,6,2,1,0,0,0,17,26
ORISSA,JAGATSINGHPUR,BIRIDI,4,23,0,0,0,0,141,168
ORISSA,JAGATSINGHPUR,ERASAMA,5,0,11,0,0,0,337,353
ORISSA,JAGATSINGHPUR,JAGATSINGHPUR,8,2,1,0,0,0,84,95
ORISSA,JAGATSINGHPUR,KUJANG,16,45,14,0,0,0,91,166
ORISSA,JAGATSINGHPUR,NAUGAON,2,2,0,0,0,0,38,42
ORISSA,JAGATSINGHPUR,RAGHUNATHPUR,15,4,0,0,0,0,33,52
ORISSA,JAGATSINGHPUR,TIRTOL,33,17,1,0,0,0,174,225
ORISSA,JAJAPUR,BADACHANA,8,10,3,0,0,0,277,298
ORISSA,JAJAPUR,BARI,14,16,2,0,0,0,102,134
ORISSA,JAJAPUR,BINJHARPUR,3,6,2,1,0,0,127,139
ORISSA,JAJAPUR,DANAGADI,53,26,14,0,0,2,310,405
ORISSA,JAJAPUR,DASARATHPUR,13,20,15,0,0,0,165,213
ORISSA,JAJAPUR,DHARMASALA,61,21,10,0,0,0,530,622
ORISSA,JAJAPUR,JAJPUR,27,47,7,0,0,0,92,173
ORISSA,JAJAPUR,KOREI,12,11,6,0,0,0,254,283
