-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "OrissaGSDPcurrent.csv", 
 "title": "Download CSV for Odisha Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/OrissaGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","633203","741638","985298","855126","1127464","1191934","1147118","1006294","1164345","1176733","1568705","1564544","1636745"
"Foresty and Logging","64359","70035","72021","83500","92679","91687","110164","117283","117950","106519","144982","134505","146213"
"Fishing","40833","49525","51098","64812","70096","69498","67720","86551","94208","101190","104943","107830","116168"
"Mining and Quarrying","94870","114686","146367","145712","185580","203821","203603","233865","249060","297730","345911","427284","445356"
"Sub total of primary","833265","975884","1254784","1149150","1475819","1556940","1528605","1443993","1625563","1682172","2164541","2234163","2344482"
"Manufacturing","197867","252483","303536","270842","291707","371381","415472","386631","349565","384327","593829","678782","717216"
"Registered","151037","192926","236943","196774","203917","282369","326426","304693","273467","307706","493121","572239","604543"
"Unregistered","46830","59557","66593","74068","87790","89012","89046","81938","76098","76621","100708","106543","112673"
"Construction","113986","128558","148520","155032","177547","193768","280011","272954","291150","258651","266092","319927","328523"
"Electricity, Gas and water Supply","54783","87217","85425","77934","107955","122218","165250","157673","180530","127491","230936","271479","293829"
"Sub total of secondary","366636","468258","537481","503808","577209","687367","860733","817258","821245","770469","1090857","1270188","1339568"
"Transport Storage and Communication","127833","156965","184001","190163","225815","227561","249303","309966","353812","390426","442390","507058","571984"
"Railways","47166","61340","75513","69402","75182","55250","65828","81413","98312","115905","118317","129715","142211"
"Transport by other means","66700","77619","89223","97331","121862","139692","148883","177661","202163","217999","255978","297807","336851"
"Storage","1189","1518","1783","2243","3359","2802","3098","3813","4577","4390","4996","5511","6079"
"Communication","12778","16488","17482","21187","25412","29817","31494","47079","48760","52132","63099","74025","86843"
"Trade, hotels and restaurants","171010","202638","252393","258462","321054","333662","334656","366569","377267","425404","510698","556523","606214"
"Banking and Insurance","47586","57388","71740","92421","103450","102220","129784","145955","170829","205469","224070","261622","305467"
"Real estate, ownership of dwelling and business","109419","119979","128725","142814","159321","173269","188183","206859","236212","263168","282962","297573","320429"
"Pubic Administration","94451","105553","126012","140822","158684","212533","242040","249746","263224","262465","292546","317645","333104"
"Other Services","103466","135733","156626","172801","202144","264585","339057","341083","354832","386589","429759","487897","516922"
"Sub total of tertiary","653765","778256","919497","997483","1170468","1313830","1483023","1620178","1756176","1933521","2182425","2428318","2654120"
"State domestic product","1853666","2222398","2711762","2650441","3223496","3558137","3871361","3881429","4202984","4386162","5437823","5932669","6338170"

"Figures are in Rs. Lakh"
