-----
{
 "description": "The table shows the Percentage distribution of AWW by level of education. It is observed that on an average 1.8 per cent of AWWs were illiterate, 0.4 per cent, 4.6 per cent and 14.2 per cent had obtained below primary, primary and middle level education respectively.", 
 "file_name": "ICDS_Table6.32.xls", 
 "title": "Download XLS for Percentage distribution of AWW by level of education", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.32.xls"
}
-----
"States/UTs ","Illiterate","Below primary","Primary","Middle","Matric/High school","HS","Graduate & Above"
"Andhra Pradesh",1.2,0.7,9.3,13.7,48.0,10.5,16.8
"Assam",2.2,0.0,0.0,11.1,56.0,26.1,4.6
"Bihar",4.5,0.7,1.5,3.9,43.7,28.2,17.5
"Chhattisgarh",0.0,0.0,27.0,16.3,18.2,25.2,13.4
"Gujarat",0.0,3.1,9.5,11.2,30.9,27.9,17.6
"Haryana",1.7,0.0,0.0,2.0,58.1,35.1,3.2
"Himachal Pradesh",0.0,0.0,8.7,9.9,62.7,18.8,0.0
"Jammu and Kashmir",0.0,0.0,0.5,18.3,37.3,43.1,0.8
"Jharkhand",0.0,0.0,0.0,7.8,50.1,32.6,9.5
"Karnataka",1.3,0.0,6.4,6.5,50.7,29.3,5.9
"Kerala",3.1,0.0,1.6,1.7,43.9,43.4,6.2
"Madhya Pradesh",1.2,0.0,3.3,17.6,33.7,29.4,14.8
"Maharashtra",0.0,0.0,7.6,18.8,50.8,12.6,10.2
"Orissa",0.0,0.0,1.0,15.7,36.6,11.8,35.1
"Punjab",7.0,0.0,0.0,5.2,38.4,30.3,19.2
"Rajasthan",0.0,3.1,19.2,48.8,17.1,10.6,1.2
"Tamil Nadu",3.7,0.0,0.0,11.0,65.1,9.5,10.8
"Uttar Pradesh",4.3,0.0,0.0,8.6,28.1,27.0,32.1
"Uttrakhand",0.0,0.0,0.0,1.9,11.7,20.4,66.0
"West Bengal",0.0,0.0,0.0,22.1,52.5,20.0,5.4
"Delhi",0.0,0.0,0.0,9.2,21.7,41.7,27.5
"Chandigarh",0.0,0.0,0.0,0.0,60.0,20.0,20.0
"Arunachal Pradesh",15.3,0.0,50.8,9.4,24.6,0.0,0.0
"Manipur",0.0,0.0,4.0,16.0,56.0,0.0,24.0
"Meghalaya",0.0,0.0,0.0,80.0,20.0,0.0,0.0
"Mizoram",0.0,0.0,0.0,20.0,80.0,0.0,0.0
"Nagaland",0.0,0.0,0.0,40.0,46.3,13.8,0.0
"Tripura",0.0,0.0,1.9,40.8,38.1,0.0,19.2
"Sikkim",14.3,28.7,28.7,22.6,0.0,5.7,0.0
"Dadar & Nagar Haveli",0.0,0.0,0.0,0.0,80.0,20.0,0.0
"Daman & Diu",0.0,0.0,0.0,20.0,60.0,0.0,20.0
"Goa",0.0,0.0,0.0,20.0,80.0,0.0,0.0
"Puducherry",20.0,0.0,0.0,0.0,60.0,20.0,0.0
"Andaman & Nicobar Island",8.4,0.0,0.0,49.6,33.7,8.4,0.0
"All India",1.8,0.4,4.6,14.2,41.4,22.5,15.0
