-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ARUNACHAL PRADESH,LOWER SUBANSIRI,PARSIPARLO,0,0,20,0,0,20
ARUNACHAL PRADESH,LOWER SUBANSIRI,PISTANA,0,1,88,0,0,89
ARUNACHAL PRADESH,LOWER SUBANSIRI,RAGA,0,0,4,44,0,48
ARUNACHAL PRADESH,LOWER SUBANSIRI,SANGRAM,1,0,22,0,0,23
ARUNACHAL PRADESH,LOWER SUBANSIRI,SARLI,0,1,34,0,0,35
ARUNACHAL PRADESH,LOWER SUBANSIRI,TALI,0,0,2,6,0,8
ARUNACHAL PRADESH,LOWER SUBANSIRI,YACHULI,0,0,81,0,0,81
ARUNACHAL PRADESH,LOWER SUBANSIRI,ZIRO-I,0,0,45,0,0,45
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,2,10,43,33,0,88
ARUNACHAL PRADESH,PAPUMPARE,SAGALEE,0,15,62,39,1,117
ARUNACHAL PRADESH,TAWANG,LUMLA,0,3,37,37,0,77
ARUNACHAL PRADESH,TAWANG,TAWANG,0,0,2,6,0,8
ARUNACHAL PRADESH,TAWANG,THIMBU-MUKTO,0,1,0,22,0,23
ARUNACHAL PRADESH,TIRAP,NAMSANG,0,14,29,15,0,58
ARUNACHAL PRADESH,TIRAP,NIAUSA,2,21,39,0,0,62
ARUNACHAL PRADESH,TIRAP,PONGCHAU-WAKKA,3,0,4,2,0,9
ARUNACHAL PRADESH,UPPER SIANG,JENGGING,0,0,30,34,0,64
ARUNACHAL PRADESH,UPPER SIANG,MARIYANG,0,0,9,319,0,328
ARUNACHAL PRADESH,UPPER SIANG,TUTING,0,0,0,104,0,104
ARUNACHAL PRADESH,UPPER SIANG,YINGKIONG,1,0,1,48,0,50
ARUNACHAL PRADESH,UPPER SUBANSIRI,DAPORIJO,1,22,119,30,0,172
ARUNACHAL PRADESH,UPPER SUBANSIRI,DUMPORIJO,0,0,3,188,0,191
ARUNACHAL PRADESH,UPPER SUBANSIRI,GIBA,0,4,33,0,0,37
ARUNACHAL PRADESH,UPPER SUBANSIRI,NACHO,1,14,44,9,0,68
ARUNACHAL PRADESH,UPPER SUBANSIRI,TALIHA,0,0,17,0,0,17
ARUNACHAL PRADESH,WEST KAMENG,DIRANG,0,3,19,0,0,22
ARUNACHAL PRADESH,WEST KAMENG,KALAKTANG,0,15,11,0,0,26
ARUNACHAL PRADESH,WEST KAMENG,THRIZINO,0,8,14,0,0,22
ARUNACHAL PRADESH,WEST SIANG,ALONG,0,0,10,10,0,20
ARUNACHAL PRADESH,WEST SIANG,BASAR,0,30,5,6,0,41
ARUNACHAL PRADESH,WEST SIANG,GENSI,1,0,7,82,0,90
ARUNACHAL PRADESH,WEST SIANG,KAYING PAYUM,0,0,5,0,0,5
ARUNACHAL PRADESH,WEST SIANG,LIROMOBA,2,0,40,37,0,79
ARUNACHAL PRADESH,WEST SIANG,MECHUKA,0,0,0,2,0,2
ARUNACHAL PRADESH,WEST SIANG,RUMGONG,0,0,8,0,0,8
ASSAM,BARPETA,BAJALI,0,0,38,0,0,38
ASSAM,BARPETA,GOBARDHANA,0,0,0,2,0,2
ASSAM,BARPETA,JALAH,0,0,30,1,0,31
ASSAM,BONGAIGAON,BOROBAZAR,4,1,2,102,1,110
ASSAM,BONGAIGAON,MANIKPUR,0,0,0,2,0,2
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,0,0,3,0,0,3
ASSAM,CACHAR,BARJALENGA,2,0,1,0,0,3
ASSAM,CACHAR,LAKHIPUR,0,0,0,1,0,1
ASSAM,CACHAR,NARSINGPUR,0,0,1,0,0,1
ASSAM,CACHAR,PALANGHAT,6,2,0,0,0,8
ASSAM,CACHAR,SILCHAR,0,2,0,0,0,2
ASSAM,CACHAR,SONAI,2,3,0,5,2,12
ASSAM,DARRANG,BECHIMARI,6,5,15,4,13,43
ASSAM,DARRANG,BHERGAON,0,7,1,3,49,60
ASSAM,DARRANG,KALAIGAON,91,135,1,4,94,325
ASSAM,DARRANG,KHIRABARI,0,6,0,2,0,8
ASSAM,DARRANG,MAZBAT,0,13,0,0,0,13
ASSAM,DARRANG,PACHIM-MANGALDAI,10,12,1,1,75,99
ASSAM,DARRANG,PUB-MANGALDAI,0,9,0,0,31,40
ASSAM,DARRANG,SIPAJHAR,25,0,2,0,0,27
ASSAM,DARRANG,UDALGURI,4,18,0,2,0,24
ASSAM,DHUBRI,DEBITOLA,1,0,5,0,0,6
ASSAM,DHUBRI,MANKACHAR,8,0,0,2,52,62
ASSAM,GOALPARA,DUDHNAI,0,1,1,0,0,2
ASSAM,GOALPARA,JALESWAR,2,0,5,0,0,7
ASSAM,GOALPARA,KUSHDHAWA,1,47,3,0,0,51
ASSAM,GOALPARA,LAKHIPUR,2,1,0,0,0,3
ASSAM,GOLAGHAT,GAMARIGURI,2,1,16,189,1,209
ASSAM,HAILAKANDI,ALGAPUR,0,0,1,0,0,1
ASSAM,HAILAKANDI,HAILAKANDI,0,0,1,0,0,1
ASSAM,JORHAT,JORHAT CENTRAL,0,0,1,0,0,1
ASSAM,JORHAT,KALIAPANI,0,0,1,0,0,1
ASSAM,JORHAT,TITABAR,0,0,4,32,2,38
ASSAM,KAMRUP,BOKO BONGAON,0,0,6,0,0,6
ASSAM,KAMRUP,BONGAON,0,2,0,0,1,3
ASSAM,KAMRUP,CHANDRAPUR,0,0,2,0,0,2
ASSAM,KAMRUP,CHHAYGAON,0,1,0,1,0,2
ASSAM,KAMRUP,DIMORIA,0,0,1,0,0,1
ASSAM,KAMRUP,RANI,0,0,30,0,0,30
ASSAM,KARBIANGLONG,AMRI,0,2,12,0,0,14
ASSAM,KARBIANGLONG,BOKAJAN,0,0,6,0,0,6
ASSAM,KARBIANGLONG,CHINTHONG,0,0,3,0,0,3
ASSAM,KARBIANGLONG,HOWRAGHAT,0,16,0,0,0,16
ASSAM,KARBIANGLONG,LONGSOMEPI,0,6,2,0,0,8
ASSAM,KARBIANGLONG,LUMBATANG,0,0,2,0,0,2
ASSAM,KARBIANGLONG,NILIP,1,0,2,54,0,57
ASSAM,KARBIANGLONG,RONGKHAG,3,8,31,21,0,63
ASSAM,KARBIANGLONG,RONGMONGWAY,3,40,0,26,0,69
ASSAM,KARBIANGLONG,SOCHENG,0,0,0,9,0,9
ASSAM,KARBIANGLONG,SOMILANGSO,0,11,13,0,1,25
ASSAM,KARIMGANJ,PATHERKANDI,0,0,0,1,0,1
ASSAM,KOKRAJHAR,DOTOMA,14,42,30,63,4,153
ASSAM,KOKRAJHAR,KACHUGAON,1,9,3,2,0,15
ASSAM,KOKRAJHAR,KOKRAJHAR,0,0,10,1,0,11
ASSAM,KOKRAJHAR,SIDLI-CHIRANG PT,3,6,53,2,1,65
ASSAM,LAKHIMPUR,DHAKUAKHANA,14,0,0,0,0,14
ASSAM,LAKHIMPUR,NARAYANPUR,0,0,10,0,0,10
ASSAM,MORIGAON,BHUR- BANDHA,0,1,0,0,0,1
ASSAM,MORIGAON,MAYONG,0,1,0,0,0,1
ASSAM,NAGOAN,BARHAMPUR,0,1,2,0,0,3
ASSAM,NAGOAN,BINNAKANDI,0,4,0,0,0,4
ASSAM,NAGOAN,KALIABOR,0,1,0,0,0,1
ASSAM,NAGOAN,KATHITOLI,0,4,1,2,0,7
ASSAM,NAGOAN,KHAGARIJAN,0,0,0,1,0,1
ASSAM,NAGOAN,LIMDING DEV,1,4,0,0,0,5
ASSAM,NAGOAN,RAHA,0,1,2,0,0,3
ASSAM,NALBARI,BASKA,0,0,4,1,0,5
ASSAM,NALBARI,DHAMDHAMA,0,20,2,0,0,22
ASSAM,NALBARI,TAMULPUR,0,0,1,0,0,1
ASSAM,NC HILLS,DIYANG VELLEY,11,0,3,60,0,74
ASSAM,NC HILLS,DIYUNGBRA,1,0,1,53,0,55
ASSAM,NC HILLS,HARANGAJAO,0,0,15,56,0,71
ASSAM,NC HILLS,JATINGA VALLEY,1,0,6,49,0,56
ASSAM,NC HILLS,NEW SANGBAR,0,0,0,19,0,19
ASSAM,SIBSAGAR,DEMOW,1,0,0,0,0,1
ASSAM,SIBSAGAR,LAKWA,1,0,0,0,0,1
ASSAM,SIBSAGAR,NAZIRA,0,0,0,3,0,3
ASSAM,SIBSAGAR,SEPEKHATI,0,1,0,0,0,1
ASSAM,SIBSAGAR,SIBSAGAR,0,0,1,0,0,1
ASSAM,SONITPUR,BAGHMARA,0,0,3,0,0,3
ASSAM,SONITPUR,BALIPARA,0,0,0,1,0,1
ASSAM,SONITPUR,BEHELI,0,0,2,0,0,2
ASSAM,SONITPUR,BORCHALA,0,0,1,0,0,1
ASSAM,SONITPUR,CHATIA,0,0,26,1,0,27
ASSAM,SONITPUR,DHEKIAJULI,0,4,0,0,0,4
ASSAM,SONITPUR,NADUAR,2,0,6,0,0,8
ASSAM,SONITPUR,PUB-CHAIDUAR,0,1,0,0,0,1
ASSAM,SONITPUR,SOKAMATHA,0,0,3,1,0,4
BIHAR,ARARIA,BHARGAMA,0,0,114,0,0,114
BIHAR,AURANGABAD,AURANGABAD,0,18,2,39,1,60
BIHAR,AURANGABAD,BARUN,1,9,1,0,0,11
BIHAR,AURANGABAD,DEO,18,103,14,53,12,200
BIHAR,AURANGABAD,GOH,2,42,0,13,6,63
BIHAR,AURANGABAD,HASPURA,0,9,3,8,0,20
BIHAR,AURANGABAD,KUTUMBA,20,16,1,0,1,38
BIHAR,AURANGABAD,MADANPUR,34,222,26,148,32,462
BIHAR,AURANGABAD,NABINAGAR,110,296,57,15,1,479
BIHAR,AURANGABAD,OBRA,0,2,5,1,0,8
BIHAR,AURANGABAD,RAFIGANAJ,95,180,48,29,0,352
BIHAR,BANKA,AMARPUR,7,159,35,0,0,201
BIHAR,BANKA,BANKA,3,69,10,0,0,82
BIHAR,BANKA,BARAHAT,7,94,59,18,1,179
BIHAR,BANKA,BELHAR,2,10,55,9,0,76
BIHAR,BANKA,BOUNSI,6,172,0,3,0,181
BIHAR,BANKA,CHANAN,8,129,2,11,13,163
BIHAR,BANKA,DHORAIYA,16,123,76,1,14,230
BIHAR,BANKA,KATORIYA,48,567,4,25,3,647
BIHAR,BANKA,PHULLIDUMER,3,142,0,0,0,145
BIHAR,BANKA,RAJOUN,2,62,101,3,4,172
BIHAR,BANKA,SAMBHUGANJ,11,156,8,0,12,187
BIHAR,BEGUSARAI,BACHHAWARA,1,0,21,91,0,113
BIHAR,BEGUSARAI,BAKHRI,0,0,2,0,0,2
BIHAR,BEGUSARAI,GADHPURA,0,2,0,0,0,2
BIHAR,BEGUSARAI,S.KAMAL,0,0,0,0,15,15
BIHAR,BHAGALPUR,GOURADIH,2,58,4,9,0,73
BIHAR,BHAGALPUR,JAGDISHPUR,0,21,0,6,0,27
BIHAR,BHAGALPUR,KHARIK,0,2,0,0,0,2
BIHAR,BHAGALPUR,PIRPAINTY,3,15,0,0,5,23
BIHAR,BHAGALPUR,SANHAULA,7,213,58,9,49,336
BIHAR,BHAGALPUR,SHAHKUND,1,29,11,17,2,60
BIHAR,BHAGALPUR,SULTANGANJ,0,0,0,1,0,1
BIHAR,BHOJPUR,JAGDISHPUR,0,11,0,2,7,20
BIHAR,BHOJPUR,PIRO,11,40,0,1,0,52
BIHAR,BHOJPUR,SAHAR,1,13,0,0,3,17
BIHAR,BHOJPUR,SANDESH,0,7,23,0,0,30
BIHAR,BHOJPUR,UDWANTNAGAR,0,1,1,3,0,5
BIHAR,BUXAR,ITARHI,0,0,65,0,0,65
BIHAR,BUXAR,NAWANAGAR,0,4,0,0,0,4
BIHAR,EAST CHAMPARAN,CHIRIYA,0,0,32,0,0,32
BIHAR,EAST CHAMPARAN,KALYANPUR,0,0,6,0,0,6
BIHAR,GAYA,AMAS,0,221,4,1,0,226
BIHAR,GAYA,ATRI,1,59,12,19,163,254
BIHAR,GAYA,BANKE BAZAR,8,71,8,4,98,189
BIHAR,GAYA,BARACHATTY,64,227,17,19,9,336
BIHAR,GAYA,BATHANI,1,130,2,27,32,192
BIHAR,GAYA,BELAGANJ,21,49,19,3,35,127
BIHAR,GAYA,BODHGAYA,1,46,8,50,16,121
BIHAR,GAYA,DOBHI,26,151,56,6,47,286
BIHAR,GAYA,DUMARIYA,1,171,10,105,90,377
BIHAR,GAYA,FATEHPUR,20,433,191,47,43,734
BIHAR,GAYA,GAYA NAGAR,0,82,19,6,20,127
BIHAR,GAYA,GURARU,9,218,49,5,28,309
BIHAR,GAYA,GURUA,11,50,3,292,87,443
BIHAR,GAYA,IMAMGANJ,3,279,71,55,92,500
BIHAR,GAYA,KHIZARSARAI,14,202,27,29,0,272
BIHAR,GAYA,KONCH,42,104,8,25,71,250
BIHAR,GAYA,MANPUR,12,147,9,16,2,186
BIHAR,GAYA,MOHANPUR,26,568,0,16,16,626
BIHAR,GAYA,PARAIYA,16,157,4,30,0,207
BIHAR,GAYA,SHERGHATTY,8,19,135,24,95,281
BIHAR,GAYA,TANKUPPA,15,352,0,54,0,421
BIHAR,GAYA,TEKARI,105,41,15,40,0,201
BIHAR,GAYA,WAZIRGANJ,54,359,7,152,27,599
BIHAR,GOPAALGANJ,BAIKUNTHPUR,0,0,0,1,0,1
BIHAR,GOPAALGANJ,BARAULI,0,0,1,0,0,1
BIHAR,GOPAALGANJ,BIJAIPUR,0,0,2,0,0,2
BIHAR,GOPAALGANJ,HATHUA,0,0,22,0,0,22
BIHAR,GOPAALGANJ,MANJHA,2,1,0,0,0,3
BIHAR,GOPAALGANJ,PHULWARIYA,0,0,0,0,1,1
BIHAR,JAMUI,ALIGANJ,15,238,1,0,0,254
BIHAR,JAMUI,BARHAT,0,7,1,0,0,8
BIHAR,JAMUI,CHAKAI,37,529,2,53,85,706
BIHAR,JAMUI,GHIDHOR,0,24,2,18,0,44
BIHAR,JAMUI,JAMUI,14,116,7,0,148,285
BIHAR,JAMUI,JHAJHA,6,70,3,8,12,99
BIHAR,JAMUI,KHAIRA,39,162,10,15,0,226
BIHAR,JAMUI,LAXMIPUR,1,114,12,125,5,257
BIHAR,JAMUI,SIKANDARA,49,156,9,0,157,371
BIHAR,JAMUI,SONO,15,190,12,35,20,272
BIHAR,JEHANABAD,ARWAL,2,21,1,0,2,26
BIHAR,JEHANABAD,GHOSHI,18,4,28,0,4,54
BIHAR,JEHANABAD,HULASGANJ,8,5,28,3,5,49
BIHAR,JEHANABAD,JEHANABAD,89,11,20,19,0,139
BIHAR,JEHANABAD,KAKO,7,38,1,0,0,46
BIHAR,JEHANABAD,KARPI,8,11,0,0,0,19
BIHAR,JEHANABAD,KURTHA,1,0,0,0,0,1
BIHAR,JEHANABAD,MAKHDUMPUR,39,53,55,0,0,147
BIHAR,JEHANABAD,MODANGANJ,16,18,17,7,0,58
BIHAR,JEHANABAD,RATNI,1,37,3,23,0,64
BIHAR,KAIMUR (BHABUA),ADHAURA,1,92,0,11,0,104
BIHAR,KAIMUR (BHABUA),BHABUA,48,91,975,26,0,1140
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,0,2,0,0,0,2
BIHAR,KAIMUR (BHABUA),CHAINPUR,35,14,2,1,0,52
BIHAR,KAIMUR (BHABUA),CHAND,18,17,0,3,0,38
BIHAR,KAIMUR (BHABUA),MOHANIA,0,0,2,0,0,2
BIHAR,KAIMUR (BHABUA),NUAON,1,35,0,0,0,36
BIHAR,KAIMUR (BHABUA),RAMGARH,1,0,15,8,0,24
BIHAR,KAIMUR (BHABUA),RAMPUR,0,3,0,0,0,3
BIHAR,KATIHAR,AZAMNAGAR,0,1,0,0,0,1
BIHAR,LAKHISARAI,BARHIYA,0,1,0,0,0,1
BIHAR,LAKHISARAI,HALSI,1,39,1,0,0,41
BIHAR,LAKHISARAI,LAKHISARAI,33,28,16,5,0,82
BIHAR,LAKHISARAI,PIPARYA,0,6,0,0,0,6
BIHAR,LAKHISARAI,RAMGHAR CHOK,0,39,0,1,0,40
BIHAR,LAKHISARAI,SURYAGARAH,9,61,4,12,10,96
BIHAR,MADHEPURA,SINGHESHWAR,0,0,0,1,0,1
BIHAR,MADHUBANI,BABUBARHI,1,0,0,13,0,14
BIHAR,MADHUBANI,BASOPATTI,1,0,0,352,0,353
BIHAR,MADHUBANI,GHOGHARDIHA,0,0,3,0,0,3
BIHAR,MADHUBANI,JAYNAGAR,1,0,0,0,0,1
BIHAR,MADHUBANI,JHANJHARPUR,1,0,3,0,0,4
BIHAR,MADHUBANI,KHUTAUNA,0,0,4,1,0,5
BIHAR,MADHUBANI,LAUKHI,0,48,0,0,0,48
BIHAR,MADHUBANI,MADHWAPUR,0,10,2,0,0,12
BIHAR,MADHUBANI,RAJNAGAR,0,4,0,0,0,4
BIHAR,MADHUBANI,ROHIKA,5,1,10,1,0,17
BIHAR,MUNGER,DHARAHARA,0,42,0,0,0,42
BIHAR,MUNGER,HAWALI KHAGARHPUR,2,15,55,2,0,74
BIHAR,MUNGER,SANGRAMPUR,0,2,0,0,0,2
BIHAR,MUNGER,TARAPUR,3,2,0,0,0,5
BIHAR,MUNGER,TATIA BAMBAR,1,17,19,6,0,43
BIHAR,MUZAFFARPUR,AURAI,0,0,0,1,0,1
BIHAR,MUZAFFARPUR,MOTIPUR,0,0,23,0,0,23
BIHAR,NALANDA,ASTHAWAN,2,0,2,0,0,4
BIHAR,NALANDA,BEN,16,2,0,0,0,18
BIHAR,NALANDA,BIND,0,1,7,0,0,8
BIHAR,NALANDA,CHANDI,0,1,6,0,0,7
BIHAR,NALANDA,EKANGARSARAI,0,0,8,0,0,8
BIHAR,NALANDA,GIRIYAK,0,14,7,0,0,21
BIHAR,NALANDA,HARNAUT,9,0,0,0,0,9
BIHAR,NALANDA,HILSA,2,17,60,7,0,86
BIHAR,NALANDA,ISLAMPUR,0,3,0,5,0,8
BIHAR,NALANDA,KARAIPARSURAI,19,3,10,0,0,32
BIHAR,NALANDA,KATRISARAI,0,0,0,0,2,2
BIHAR,NALANDA,NOORSARAI,0,0,1,0,0,1
BIHAR,NALANDA,PARWALPUR,0,0,53,9,0,62
BIHAR,NALANDA,RAJGIR,20,8,0,0,0,28
BIHAR,NALANDA,SILAO,25,0,1,0,0,26
BIHAR,NAWADA,AKBARPUR,19,381,21,0,0,421
BIHAR,NAWADA,GOVINDPUR,4,123,26,6,10,169
BIHAR,NAWADA,HASUA,7,96,11,1,0,115
BIHAR,NAWADA,KASHICHAK,8,66,11,1,13,99
BIHAR,NAWADA,KAWAKOLE,112,171,23,8,15,329
BIHAR,NAWADA,MESKAUR,0,4,58,0,202,264
BIHAR,NAWADA,NARDIGUNJ,7,106,23,5,70,211
BIHAR,NAWADA,NARHAT,3,37,17,19,0,76
BIHAR,NAWADA,NAWADA,1,111,47,19,69,247
BIHAR,NAWADA,PAKRIBRAWAN,6,14,72,1,27,120
BIHAR,NAWADA,RAJAULI,17,130,37,1,0,185
BIHAR,NAWADA,ROH,69,154,48,20,2,293
BIHAR,NAWADA,SIRDALA,6,60,31,32,0,129
BIHAR,NAWADA,WARISALIGUNJ,14,119,56,12,0,201
BIHAR,PATNA,MASAURHI,6,13,0,48,0,67
BIHAR,PATNA,PALIGANJ,156,3,0,1,0,160
BIHAR,PATNA,PUNPUN,22,34,15,0,0,71
BIHAR,ROHTAS(SASARAM),CHENARI,80,20,0,7,7,114
BIHAR,ROHTAS(SASARAM),ROHTAS,21,1,0,5,0,27
BIHAR,ROHTAS(SASARAM),SASARAM,123,1,0,4,0,128
BIHAR,ROHTAS(SASARAM),SHEOSAGAR,123,25,0,0,0,148
BIHAR,SARAN,GARKHA,0,7,5,0,0,12
BIHAR,SARAN,MAKER,0,4,40,0,0,44
BIHAR,SARAN,TRAIYA,0,1,5,0,0,6
BIHAR,SHEKHPURA,ARIYARI,18,41,0,3,32,94
BIHAR,SHEKHPURA,BARBIGHA,0,16,0,0,0,16
BIHAR,SHEKHPURA,CHEWARA,0,1,0,0,0,1
BIHAR,SHEKHPURA,GHAT KUSUMBHA,0,0,1,0,1,2
BIHAR,SHEKHPURA,SHEKHOPURA SARAI,3,4,0,0,0,7
BIHAR,SHEKHPURA,SHEKHPURA,2,14,12,0,3,31
BIHAR,SITAMARHI,PUPARI,0,0,0,1,0,1
BIHAR,SITAMARHI,RUNNISAIDPUR,0,3,11,0,0,14
BIHAR,SITAMARHI,SONWARSA,0,0,2,0,0,2
BIHAR,SIWAN,BARHARIA,3,2,0,0,39,44
BIHAR,SIWAN,DARAULI,0,0,36,1,0,37
BIHAR,SIWAN,GOREAKOTHI,1,0,0,0,0,1
BIHAR,SIWAN,RAGHUNATHPUR,0,4,3,0,0,7
BIHAR,SUPAUL,MARAUNA,0,0,1,0,0,1
BIHAR,SUPAUL,TRIVENIGANJ,0,11,75,0,0,86
BIHAR,VAISHALI,BHAGWANPUR,0,1,0,0,0,1
BIHAR,VAISHALI,PATEDHI BELSAR,0,0,0,0,1,1
BIHAR,WEST CHAMPARAN,CHANPATIA,7,0,0,0,0,7
BIHAR,WEST CHAMPARAN,GAUNAHA,0,0,160,0,0,160
BIHAR,WEST CHAMPARAN,LAURIA,0,0,1,0,0,1
BIHAR,WEST CHAMPARAN,NARKATIAGANJ,0,0,18,0,0,18
BIHAR,WEST CHAMPARAN,SIDHAW,0,0,0,4,0,4
BIHAR,WEST CHAMPARAN,THAKRAHA,0,11,0,0,4,15
CHHATTISGARH,BASTER,JAGDALPUR,155,458,103,1025,141,1882
CHHATTISGARH,BASTER,KESHKAL,1,0,11,206,0,218
CHHATTISGARH,BASTER,KONDAGAON,34,18,11,45,3,111
CHHATTISGARH,BASTER,NARAYANPUR,0,2,2,198,0,202
CHHATTISGARH,BILASPUR,BELHA,337,1,2,0,0,340
CHHATTISGARH,BILASPUR,BILASPUR,65,0,0,2,0,67
CHHATTISGARH,BILASPUR,KOTA,219,0,1,1,0,221
CHHATTISGARH,BILASPUR,LORMI,26,1,0,6,3,36
CHHATTISGARH,BILASPUR,MASTURI,32,1,3,1,0,37
CHHATTISGARH,BILASPUR,MUNGELI,11,0,1,3,0,15
CHHATTISGARH,BILASPUR,PENDRA-ROAD,556,18,121,4,17,716
CHHATTISGARH,BILASPUR,TAKHATPUR,54,2,3,6,1,66
CHHATTISGARH,DANTEWADA,BEEJAPUR,10,1,5,42,2,60
CHHATTISGARH,DANTEWADA,BHOPALPATNAM,108,1,4,216,2,331
CHHATTISGARH,DANTEWADA,DANTEVADA,2,0,2,2,6,12
CHHATTISGARH,DANTEWADA,KONTA,9,0,11,80,0,100
CHHATTISGARH,DHAMTARI,DHAMTARI,0,1,0,162,0,163
CHHATTISGARH,DHAMTARI,KURUD,20,1,1,230,0,252
CHHATTISGARH,DHAMTARI,NAGARI,54,8,16,182,14,274
CHHATTISGARH,DURG,BALOD,43,17,11,150,0,221
CHHATTISGARH,DURG,BEMETARA,8,6,0,157,23,194
CHHATTISGARH,DURG,BERLA,60,35,2,2,0,99
CHHATTISGARH,DURG,DHMADHA,28,9,6,5,14,62
CHHATTISGARH,DURG,DONDILOHAR,13,22,12,90,4,141
CHHATTISGARH,DURG,DURG,4,1,6,1,0,12
CHHATTISGARH,DURG,GUNDERDEHI,9,4,7,79,4,103
CHHATTISGARH,DURG,NAVAGARH,8,0,4,171,6,189
CHHATTISGARH,DURG,PATAN,112,3,2,69,7,193
CHHATTISGARH,DURG,SAJA,9,13,19,111,8,160
CHHATTISGARH,JANJGIR-CHAMPA,CHAMPA,1743,0,0,0,0,1743
CHHATTISGARH,JANJGIR-CHAMPA,DABHARA,2871,31,33,187,0,3122
CHHATTISGARH,JANJGIR-CHAMPA,JAIJAIPUR,671,1,4,5,0,681
CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR,2176,70,21,5,0,2272
CHHATTISGARH,JANJGIR-CHAMPA,MALKHARODA,537,0,18,0,0,555
CHHATTISGARH,JANJGIR-CHAMPA,NAVAGARH,520,2,0,102,0,624
CHHATTISGARH,JANJGIR-CHAMPA,PAMGARH,389,0,0,82,0,471
CHHATTISGARH,JANJGIR-CHAMPA,SAKTI,4437,1,0,2,0,4440
CHHATTISGARH,JASHPUR,BAGICHA,718,10,19,125,1,873
CHHATTISGARH,JASHPUR,JASHPUR,289,5,7,39,0,340
CHHATTISGARH,JASHPUR,KUNKURI,364,5,10,43,1,423
CHHATTISGARH,JASHPUR,PATHALGAON,189,3,8,13,6,219
CHHATTISGARH,KANKER,ANTAGAR,6,0,5,1,2,14
CHHATTISGARH,KANKER,BHANUPRATAPPUR,0,14,0,0,0,14
CHHATTISGARH,KANKER,CHARAMA,22,4,4,101,1,132
CHHATTISGARH,KANKER,KANKER,4,3,1,1,0,9
CHHATTISGARH,KANKER,NARHARPUR,0,0,0,1,0,1
CHHATTISGARH,KANKER,PAKHANJUR,21,1,2,2,0,26
CHHATTISGARH,KORBA,KARTALA,3539,19,265,616,310,4749
CHHATTISGARH,KORBA,KATGHORA,1159,59,26,66,356,1666
CHHATTISGARH,KORBA,KORBA,1369,26,17,266,23,1701
CHHATTISGARH,KORBA,PALI,673,46,82,61,13,875
CHHATTISGARH,KORIA,BAIKUNTHPUR,91,2,3,3,4,103
CHHATTISGARH,KORIA,BHARATPUR,87,3,5,26,1,122
CHHATTISGARH,KORIA,MANENDRAGARH,432,4,187,3,4,630
CHHATTISGARH,KORIA,SONHAT,531,4,41,22,5,603
CHHATTISGARH,KVARDHA,KVARDHA,17,5,18,597,3,640
CHHATTISGARH,KVARDHA,PANDARIYA,357,130,757,1631,0,2875
CHHATTISGARH,MAHASAMUND,BASNA,110,1,5,155,1,272
CHHATTISGARH,MAHASAMUND,MAHASAMUND,226,105,32,592,33,988
CHHATTISGARH,MAHASAMUND,SARIYPALI,299,7,14,115,8,443
CHHATTISGARH,RAIGARH,DHARAMJAIGARH,2078,310,57,218,379,3042
CHHATTISGARH,RAIGARH,GHARGODA,1468,134,7,276,215,2100
CHHATTISGARH,RAIGARH,KHARSIYA,597,1,12,78,59,747
CHHATTISGARH,RAIGARH,LAILUNGA,212,45,0,9,37,303
CHHATTISGARH,RAIGARH,RAIGARH,546,10,4,15,5,580
CHHATTISGARH,RAIGARH,SARANGARH,612,15,9,7,5,648
CHHATTISGARH,RAIPUR,ABHANPUR,47,2,1,8,4,62
CHHATTISGARH,RAIPUR,ARANG,51,3,2,96,0,152
CHHATTISGARH,RAIPUR,BHATAPARA,5,2,6,10,0,23
CHHATTISGARH,RAIPUR,BILAIGARH,90,10,741,575,0,1416
CHHATTISGARH,RAIPUR,BLOUDABAJAR,1,15,3,1,0,20
CHHATTISGARH,RAIPUR,DEVBHOG,14,4,0,79,3,100
CHHATTISGARH,RAIPUR,GARIYABAND,23,8,18,25,13,87
CHHATTISGARH,RAIPUR,KASDOL,177,4,158,49,0,388
CHHATTISGARH,RAIPUR,PALARI,10,1,7,155,0,173
CHHATTISGARH,RAIPUR,RAIPUR,173,3,15,56,0,247
CHHATTISGARH,RAIPUR,RAJIM,0,4,3,2,5,14
CHHATTISGARH,RAIPUR,SIMGA,13,0,6,100,0,119
CHHATTISGARH,RAIPUR,TILDA,163,13,2,71,3,252
CHHATTISGARH,RAJNANDGAON,AMBAGARH CHOUKI,10,18,11,118,3,160
CHHATTISGARH,RAJNANDGAON,CHHUIKHADAN,38,63,28,162,0,291
CHHATTISGARH,RAJNANDGAON,DONGAR GAON,31,20,8,67,1,127
