-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,82,0,0,0,0,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,10,0,2,20,1,33
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,178,1,0,0,0,179
ANDHRA PRADESH,CHITTOOR,CHITTOOR,42,23,1,0,0,66
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,250,0,0,0,0,250
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,114,0,0,0,0,114
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,177,9,0,0,0,186
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,177,0,0,0,0,177
ANDHRA PRADESH,CHITTOOR,GUDIPALA,41,5,1,0,0,47
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,112,0,0,0,0,112
ANDHRA PRADESH,CHITTOOR,IRALA,111,0,0,0,0,111
ANDHRA PRADESH,CHITTOOR,K V P PURAM,98,0,0,0,1,99
ANDHRA PRADESH,CHITTOOR,KALAKADA,115,0,0,0,0,115
ANDHRA PRADESH,CHITTOOR,KALIKIRI,153,0,0,0,0,153
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,227,0,0,48,0,275
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,47,0,0,0,0,47
ANDHRA PRADESH,CHITTOOR,KUPPAM,146,0,0,0,0,146
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,150,3,0,7,0,160
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,157,1,0,0,0,158
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,113,23,0,3,0,139
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,27,3,1,1,0,32
ANDHRA PRADESH,CHITTOOR,NAGARI,21,0,2,6,0,29
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,23,0,0,0,0,23
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,139,1,20,0,0,160
ANDHRA PRADESH,CHITTOOR,NINDRA,28,0,2,0,0,30
ANDHRA PRADESH,CHITTOOR,PAKALA,113,3,0,0,0,116
ANDHRA PRADESH,CHITTOOR,PALAMANER,105,0,1,1,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,17,32,0,0,0,49
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,260,0,0,0,0,260
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,124,0,0,0,0,124
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,121,0,0,0,0,121
ANDHRA PRADESH,CHITTOOR,PENUMURU,62,0,0,1,12,75
ANDHRA PRADESH,CHITTOOR,PICHATUR,32,0,0,0,0,32
ANDHRA PRADESH,CHITTOOR,PILERU,212,12,0,39,0,263
ANDHRA PRADESH,CHITTOOR,PULICHERLA,211,0,0,0,0,211
ANDHRA PRADESH,CHITTOOR,PUNGANUR,214,0,0,0,0,214
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,98,0,0,0,0,98
ANDHRA PRADESH,CHITTOOR,PUTTUR,29,0,0,0,0,29
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,86,0,37,0,0,123
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,14,0,0,0,27,41
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,207,0,0,0,0,207
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,46,0,0,0,0,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,86,4,91,0,0,181
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,145,0,0,1,0,146
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,112,0,0,0,0,112
ANDHRA PRADESH,CHITTOOR,SODAM,292,0,7,0,0,299
ANDHRA PRADESH,CHITTOOR,SOMALA,181,4,3,0,0,188
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,105,0,0,0,0,105
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,45,0,0,0,0,45
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,147,1,0,0,0,148
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,3,60,0,0,0,63
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,95,0,0,0,0,95
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,30,0,0,0,0,30
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,13,0,0,0,0,13
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,54,1,0,3,0,58
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,73,0,0,0,0,73
ANDHRA PRADESH,CHITTOOR,VAYALPAD,113,16,0,0,0,129
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,117,0,0,0,0,117
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,136,2,0,0,0,138
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,37,0,1,0,0,38
ANDHRA PRADESH,CHITTOOR,YADAMARI,59,0,0,0,0,59
ANDHRA PRADESH,CHITTOOR,YERPEDU,88,0,0,2,0,90
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,228,1,1,17,0,247
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,4,0,0,0,0,4
