-----
{
 "description": "The table refers to Block wise Surface Flow Schemes- Potential Created and Utilized through Tanks. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.12.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes- Potential Created and Utilized through Tanks", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total,Irrigation potential utilised - Kharif,Irrigation potential utilised - Rabi,Irrigation potential utilised - Perennial,Irrigation potential utilised - Others,Total,
ANDHRA PRADESH,ADILABAD,REBBANA,41,604,0,0,0,604,603,0,0,0,603,
ANDHRA PRADESH,ADILABAD,SARANGAPUR,22,1689,189,0,0,1879,1574,189,0,0,1763,
ANDHRA PRADESH,ADILABAD,SIRPUR (T),48,568,0,0,0,568,558,0,0,0,558,
ANDHRA PRADESH,ADILABAD,SIRPUR (U),5,5,0,0,0,5,0,0,0,0,0,
ANDHRA PRADESH,ADILABAD,TALAMADUGU,9,242,0,0,0,242,123,0,0,0,123,
ANDHRA PRADESH,ADILABAD,TANDUR,44,880,0,0,0,880,623,0,0,0,623,
ANDHRA PRADESH,ADILABAD,TANUR,8,431,0,0,0,431,56,0,0,0,56,
ANDHRA PRADESH,ADILABAD,VEMANPALLE,14,243,0,0,0,243,243,0,0,0,243,
ANDHRA PRADESH,ANANTHAPUR,AGALI,22,1113,1097,16,0,2226,77,65,0,0,142,
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,24,336,300,0,0,636,6,96,0,0,102,
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,20,1306,1302,0,0,2609,32,56,0,0,88,
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,11,617,0,0,0,617,252,0,0,0,252,
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,0,0,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,13,13,0,0,0,13,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,6,69,36,0,0,105,10,0,0,0,10,
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,2,198,101,0,0,298,136,95,0,0,231,
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,14,1122,49,0,0,1171,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,16,359,746,0,0,1105,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,7,314,288,0,0,602,72,53,0,0,125,
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,10,714,83,0,0,797,366,83,0,0,450,
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,74,1125,772,153,0,2050,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,4,240,0,0,0,240,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,24,24,0,0,0,24,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,28,166,0,0,0,166,1,0,0,0,1,
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,8,257,64,0,0,321,11,64,0,0,75,
ANDHRA PRADESH,ANANTHAPUR,GOOTY,10,921,41,0,0,962,340,14,0,0,354,
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,35,1203,0,0,0,1203,196,0,0,0,196,
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,6,168,168,0,0,337,15,30,0,0,45,
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,7,449,169,0,0,618,295,157,0,0,452,
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,0,0,0,0,0,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,KADIRI,81,661,365,0,0,1026,0,267,0,0,267,
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,1,81,81,0,0,162,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,21,749,615,0,0,1364,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,65,403,78,0,0,481,4,0,0,0,4,
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,6,304,0,0,0,304,87,0,0,0,87,
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,11,737,865,0,0,1602,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,18,171,72,0,0,242,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,30,207,42,0,0,249,167,0,0,0,168,
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,46,105,1983,0,0,2088,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,25,751,45,0,0,795,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,83,667,640,0,0,1307,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,57,463,466,0,0,929,0,20,0,0,20,
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,1,1,0,0,0,1,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,67,484,445,0,0,929,15,0,0,0,15,
ANDHRA PRADESH,ANANTHAPUR,NARPALA,10,133,35,0,0,168,29,8,0,0,37,
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,35,512,505,1,0,1018,36,69,0,0,105,
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,14,277,0,0,0,277,165,0,0,0,165,
ANDHRA PRADESH,ANANTHAPUR,PARIGI,23,2602,0,0,0,2602,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,0,0,0,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,8,177,81,0,0,258,162,77,0,0,239,
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,18,393,42,0,0,435,283,12,0,0,295,
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,3,61,61,0,0,122,52,0,0,0,52,
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,16,231,243,0,0,473,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,36,577,356,0,0,933,41,75,0,0,116,
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,13,518,118,0,0,636,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,0,8,0,0,8,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,RODDAM,28,1552,1275,0,0,2827,384,150,0,0,534,
ANDHRA PRADESH,ANANTHAPUR,ROLLA,20,706,706,0,0,1412,16,61,0,0,77,
ANDHRA PRADESH,ANANTHAPUR,SETTUR,13,384,49,0,0,433,125,20,0,0,146,
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,5,764,631,0,0,1395,2,0,0,0,2,
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,46,1522,235,1,0,1758,168,55,0,0,223,
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,1,5,0,0,0,5,0,0,0,0,0,
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,7,603,232,5,0,840,70,140,0,0,210,
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,59,698,698,0,0,1397,0,78,0,0,78,
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,70,767,805,0,0,1571,0,284,0,0,284,
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,42,50,0,0,0,50,8,0,0,0,8,
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,7,29,0,0,0,29,9,0,0,0,9,
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,2,421,0,0,0,421,308,0,0,0,308,
ANDHRA PRADESH,ANANTHAPUR,YADIKI,5,134,81,0,0,215,61,0,0,0,61,
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,3,464,0,0,0,464,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,115,1389,398,0,0,1787,1,0,0,0,1,
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,152,1141,704,0,0,1845,573,136,0,0,709,
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,67,1024,1024,0,0,2049,40,253,0,0,293,
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,82,0,2693,0,0,2693,0,2693,0,0,2693,
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,10,469,121,0,0,590,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,178,1105,752,0,0,1858,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,CHITTOOR,42,739,490,31,0,1261,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,250,1761,1682,0,0,3443,20,30,0,0,50,
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,114,1508,0,0,0,1508,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,177,1377,644,0,0,2021,911,323,0,0,1234,
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,177,753,488,0,0,1241,554,307,0,0,860,
ANDHRA PRADESH,CHITTOOR,GUDIPALA,41,583,440,0,0,1023,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,112,936,929,0,0,1865,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,IRALA,111,660,1342,0,0,2002,239,531,0,0,770,
ANDHRA PRADESH,CHITTOOR,K V P PURAM,98,67,2453,0,0,2520,26,1300,0,0,1326,
ANDHRA PRADESH,CHITTOOR,KALAKADA,115,651,489,0,0,1140,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,KALIKIRI,153,679,573,0,0,1252,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,227,957,858,0,0,1815,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,47,60,986,0,0,1046,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,KUPPAM,146,936,497,0,0,1433,721,458,0,0,1179,
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,150,875,805,0,0,1681,4,0,0,0,4,
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,157,1434,1353,0,0,2787,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,113,796,449,0,0,1245,9,0,0,0,9,
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,27,1093,747,0,0,1840,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,NAGARI,21,14,833,0,0,848,14,607,0,0,622,
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,23,0,711,0,0,711,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,139,1032,1077,0,0,2109,582,664,0,0,1246,
ANDHRA PRADESH,CHITTOOR,NINDRA,28,0,1258,0,0,1258,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,PAKALA,113,0,1282,0,0,1282,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,PALAMANER,105,677,643,0,0,1321,498,423,0,0,921,
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,17,609,698,0,0,1307,130,261,0,0,391,
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,260,2243,711,0,0,2954,48,55,0,0,103,
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,124,679,537,0,0,1215,4,0,0,0,4,
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,121,225,1905,2,0,2131,44,94,0,0,138,
ANDHRA PRADESH,CHITTOOR,PENUMURU,62,0,572,0,0,572,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,PICHATUR,32,1294,1513,0,0,2807,175,362,0,0,537,
ANDHRA PRADESH,CHITTOOR,PILERU,212,1106,886,2,0,1995,25,164,2,0,191,
ANDHRA PRADESH,CHITTOOR,PULICHERLA,211,1503,1493,0,0,2996,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,PUNGANUR,214,2520,1967,0,0,4486,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,98,705,893,0,0,1597,1,0,0,0,1,
ANDHRA PRADESH,CHITTOOR,PUTTUR,29,0,737,53,0,789,0,7,0,0,7,
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,86,653,283,0,0,936,399,174,0,0,572,
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,14,6,181,0,0,187,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,207,1920,161,0,0,2081,1920,161,0,0,2081,
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,46,101,1818,0,0,1920,101,1739,0,0,1840,
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,86,434,407,0,0,841,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,145,907,59,0,0,966,1,0,0,0,1,
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,112,1259,2408,0,0,3667,718,2008,0,0,2725,
ANDHRA PRADESH,CHITTOOR,SODAM,292,509,1534,0,0,2043,22,270,0,0,292,
ANDHRA PRADESH,CHITTOOR,SOMALA,181,740,2003,0,0,2744,0,111,0,0,111,
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,105,70,4942,0,0,5012,0,3665,0,0,3665,
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,45,0,970,0,0,970,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,147,1009,854,0,0,1863,112,79,0,0,190,
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,3,0,24,0,0,24,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,95,477,3693,0,0,4170,0,2916,0,0,2916,
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,30,15,786,0,0,801,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,13,25,242,0,0,267,9,125,0,0,134,
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,54,33,897,0,0,930,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,73,16,4200,0,0,4217,16,3773,0,0,3789,
ANDHRA PRADESH,CHITTOOR,VAYALPAD,113,541,392,3,0,937,481,327,2,0,811,
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,117,6,925,0,0,931,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,136,782,343,0,0,1125,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,37,0,948,0,0,948,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,YADAMARI,59,3,723,0,0,726,0,0,0,0,0,
ANDHRA PRADESH,CHITTOOR,YERPEDU,88,0,4871,0,0,4871,0,2946,0,0,2946,
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,228,1134,957,1,0,2092,46,202,0,0,249,
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,4,514,409,0,0,923,86,0,0,0,86,
ANDHRA PRADESH,CUDDAPAH,ATLUR,39,1451,156,0,0,1607,224,65,0,0,289,
ANDHRA PRADESH,CUDDAPAH,B KODUR,2,36,0,0,0,36,4,0,0,0,4,
ANDHRA PRADESH,CUDDAPAH,BADVEL,27,1427,1099,0,0,2526,209,558,0,0,766,
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,27,980,782,0,0,1762,44,52,0,0,96,
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,26,513,403,0,0,916,134,0,0,0,134,
ANDHRA PRADESH,CUDDAPAH,CHENNUR,3,140,0,0,0,140,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,86,476,14,0,0,489,57,0,0,0,57,
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,24,802,0,0,0,802,261,0,0,0,261,
ANDHRA PRADESH,CUDDAPAH,CHITVEL,14,10,2132,0,0,2142,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,5,232,0,0,0,232,10,0,0,0,10,
ANDHRA PRADESH,CUDDAPAH,DUVVUR,2,296,0,0,0,296,296,0,0,0,296,
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,186,468,151,0,0,619,118,40,0,0,159,
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,34,1015,0,0,0,1015,887,0,0,0,887,
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,8,494,0,0,0,494,316,0,0,0,316,
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,14,1424,243,0,0,1667,1055,243,0,0,1298,
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,6,59,0,0,0,59,56,0,0,0,56,
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,6,806,0,0,0,806,24,0,0,0,24,
ANDHRA PRADESH,CUDDAPAH,KODUR,18,18,0,0,0,18,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,2,0,0,0,2,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,26,367,72,0,0,439,193,16,0,0,209,
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,9,248,104,0,0,352,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,24,518,0,0,0,518,367,0,0,0,367,
ANDHRA PRADESH,CUDDAPAH,NANDALUR,19,1402,703,0,0,2105,93,24,0,0,117,
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,8,1093,1093,0,0,2187,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,3,90,0,0,0,90,42,0,0,0,42,
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,17,17,0,0,0,17,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,51,1662,1121,0,0,2783,630,168,0,0,798,
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,26,1072,1072,0,0,2144,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,14,1731,0,0,0,1731,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,74,892,219,0,0,1111,295,0,0,0,295,
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,35,181,128,0,0,309,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,13,854,0,0,0,854,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,85,431,310,0,0,741,6,0,0,0,6,
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,0,0,0,0,0,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,63,693,765,0,0,1458,124,170,0,0,294,
ANDHRA PRADESH,CUDDAPAH,THANDUR,5,99,99,0,0,199,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,VALLUR,10,205,0,0,0,205,12,0,0,0,12,
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,78,830,269,0,0,1099,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,4,67,0,0,0,67,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,0,0,0,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,VEMULA,6,759,0,0,0,759,94,0,0,0,94,
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,9,811,618,0,0,1429,0,0,0,0,0,
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,3,32,0,0,0,32,0,0,0,0,0,
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,62,833,68,11,0,912,364,55,11,0,430,
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,18,259,0,0,0,259,259,0,0,0,259,
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,33,869,212,0,0,1081,819,212,0,0,1031,
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,53,724,0,0,0,724,723,0,0,0,723,
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,123,2340,40,0,0,2380,469,40,0,0,510,
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,110,816,0,0,0,816,519,0,0,0,519,
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,110,3675,0,0,0,3675,3546,0,0,0,3546,
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,50,2625,789,0,0,3415,2335,789,0,0,3124,
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,102,1841,0,0,0,1841,1840,0,0,0,1840,
ANDHRA PRADESH,EAST GODAVARI,KADIAM,9,98,0,0,0,98,97,0,0,0,97,
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,6,268,0,56,0,324,268,0,56,0,324,
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,110,3987,0,0,0,3987,3839,0,0,0,3839,
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,90,1897,0,0,0,1897,1887,0,0,0,1887,
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,30,166,166,0,0,331,166,166,0,0,331,
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,2,53,0,0,0,53,53,0,0,0,53,
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,52,1108,0,50,0,1158,1108,0,50,0,1158,
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,73,3738,2,0,0,3740,2818,2,0,0,2821,
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),17,209,159,0,0,368,209,159,0,0,368,
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,202,2514,0,0,0,2514,2490,0,0,0,2490,
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,36,391,0,0,31,421,292,0,0,19,310,
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,17,652,2,0,0,655,352,2,0,0,355,
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,143,1897,0,0,0,1897,1568,0,0,0,1568,
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,29,594,174,7,2,776,500,174,4,0,677,
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,97,2506,506,0,0,3012,2203,477,0,0,2680,
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,38,1603,0,0,0,1603,386,0,0,0,386,
ANDHRA PRADESH,EAST GODAVARI,TUNI,102,2099,0,30,0,2129,2051,0,30,0,2081,
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,10,202,2,0,0,204,200,0,0,0,200,
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,17,567,0,447,0,1014,567,0,447,0,1014,
ANDHRA PRADESH,GUNTUR,ACHAMPETA,5,122,0,0,0,122,93,0,0,0,93,
ANDHRA PRADESH,GUNTUR,AMARAVATHI,6,192,0,0,0,192,188,0,0,0,188,
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,6,175,8,0,0,183,175,4,0,0,179,
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,16,851,0,0,0,851,111,0,0,0,111,
