-----
{
 "description": "The table provides the Balance of Payments (BOP) (US$ million) as per IMF Balance of Payments Manual 5 - New Format. BOP mainly refers to the difference between a country's external financial assets and external liabilities. This table gives item-wise details for the years 2010-11, 2011-12 and ...", 
 "file_name": "tab63.xls", 
 "title": "Download XLS for Balance of Payments - as per BPM6 new format (US$ million)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab63.xls"
}
-----
"6.3 (A): BALANCE OF PAYMENTS AS PER IMF BALANCE OF PAYMENTS MANNUAL 6","","","","","","","","","",""
"","","","","","","","","","","(Rs. billion)"
"",""," 2010-11 PR","","","2011-12 (P)","","","2012-13 (April-September 2012) P","",""
"","Item","Credit","Debit","Net","Credit","Debit","Net","Credit","Debit","Net"
1.0,"Current Account (1.A+1.B+1.C)",20306.7073768,22496.7085191,-2190.00114236,25264.8904335,29026.5974106,-3761.70697718,13962.0,16081.0,-2119.0
"1.A ","Goods and Services (1.A.a+1.A.b)",17336.5028367,21128.5016587,-3791.99882193,21604.8909038,27647.3766977,-6042.48579389,11811.0,15153.0,-3342.0
"1.A.a ","Goods ",11663.7838495,17461.3537123,-5797.56986273,14827.9129667,23946.4679006,-9118.55493387,8007.0,12967.0,-4960.0
"1.A.b ","Services (1.A.b.1 to 1.A.b.13)",5672.71898721,3667.14794641,2005.5710408,6776.97793707,3700.9087971,3076.06913997,3804.0,2187.0,1617.0
"1.A.b.1 ","Manufacturing services on physical inputs owned by others",0.0,0.0,0.0,"","","",1.58358350317,0.999013395295,0.584570107879
"1.A.b.2 ","Maintenance and repair services n.i.e.","","","","","","",2.41447134982,11.7523000545,-9.33782870467
"1.A.b.3 ","Transport",650.954381725,635.227172238,15.7272094869,876.426935957,791.376234007,85.0507019503,461.0,413.0,48.1682748554
"1.A.b.4 ","Travel",718.509452071,502.121758774,216.387693297,891.854381745,659.055870503,232.798511242,408.0,333.0,75.2623210082
"1.A.b.5 ","Construction",30.8427782452,52.5962195066,-21.7534412614,38.5654775947,48.0984248485,-9.53294725382,24.81006574,27.0,-2.0
"1.A.b.6 ","Insurance and pension services",88.5260587885,63.7728458346,24.7532129539,126.831245553,72.0085760809,54.822669472,59.0,30.4118346561,29.3443933383
"1.A.b.7 ","Financial services",296.605849072,340.805915892,-44.2000668205,286.810153854,383.45879349,-96.6486396362,145.0,139.0,6.0
"1.A.b.8 ","Charges for the use of intellectual property n.i.e.",8.75828005628,110.327065975,-101.568785919,13.5935538862,155.362850647,-141.769296761,9.09003224426,105.457891391,-96.3678591468
"1.A.b.9 ","Telecommunications, computer, and information services  ",2513.15649521,170.598075608,2342.5584196,3076.88541731,156.254382907,2920.6310344,1784.0,86.406851564,1698.0
"1.A.b.10 ","Other business services",1038.91866373,1212.26163619,-173.342972457,1182.61206303,1225.93443255,-43.3223695231,806.0,817.0,-11.0
"1.A.b.11 ","Personal, cultural, and recreational services",10.3378419308,24.650108699,-14.3122667681,18.7710978906,13.0713407356,5.69975715503,22.0,18.255051978,4.36372265648
"1.A.b.12 ","Government goods and services n.i.e.",24.1732548175,37.3284996985,-13.155244881,22.6957867563,37.3980130691,-14.7022263128,16.9331230557,18.0,-1.0
"1.A.b.13 ","Others n.i.e.",291.935931567,517.458648,-225.522716433,241.9318235,158.88987826,83.04194524,63.0,187.0,-124.0
