-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.4.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes according to Social status", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.4.csv"
}
-----
"State","Scheduled caste","Scheduled tribe","Other social status of farmers","Total","Owned by other than individual farmers","Total"
"ANDHRA PRADESH",1624,2101,19013,22738,1455,24193
"ARUNACHAL PRADESH",0,0,1,1,20,21
"ASSAM",167,162,1102,1431,277,1708
"BIHAR",83,35,1080,1198,1689,2887
"CHHATTISGARH",408,2296,4902,7606,17820,25426
"GOA",1,1,834,836,148,984
"GUJ ARAT",71,370,1703,2144,1047,3191
"HARYANA",27,6,451,484,162,646
"HIMACHAL PRADESH",22,8,193,223,501,724
"JAMMU & KASHMIR",8,1,178,187,318,505
"JHARKHAND",448,3765,4219,8432,3565,11997
"KARNATAKA",2025,2327,55227,59579,790,60369
"KERALA",165,94,12182,12441,1052,13493
"MADHYA PRADESH",13880,28258,138995,181133,15009,196142
"MAHARASHTRA",5606,5442,82838,93886,6016,99902
"MANIPUR",0,0,5,5,39,44
"MEGHALAYA",0,2,0,2,9,11
"MIZORAM",0,205,10,215,1,216
"NAGALAN D",0,35,3,38,0,38
"ORISSA",1915,4209,15726,21850,10994,32844
"PUNJAB",80,1,1329,1410,31,1441
"RAJASTHAN",117,730,979,1826,398,2224
"TAMIL NADU",654,74,8837,9565,521,10086
"TRIPURA",82,107,246,435,732,1167
"UTTAR PRADESH",1315,105,4990,6410,134,6544
"UTTARANCHAL",2,2,72,76,632,708
"WEST BENGAL",21016,2668,75159,98843,8752,107595
"ANDAMAN & NICOBARS",2,20,1668,1690,6,1696
"DADRA & NAGAR HAVELI",0,25,39,64,7,71
"DELHI",1,0,14,15,23,38
"PONDICHERRY",0,0,7,7,0,7
"ALL INDIA",49719,53049,432002,534770,72148,606918
