-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.3.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.3.csv"
}
-----
State,District,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
BIHAR,KISHANGANJ,5770,2729,347,100,8946
BIHAR,KODARMA,23,67,123,1,214
BIHAR,LAKHISARAI,2117,1603,550,166,4436
BIHAR,MADHEPURA,7669,4355,1744,404,14172
BIHAR,MADHUBANI,8985,3707,1485,129,14306
BIHAR,MUNGER,2288,608,182,22,3100
BIHAR,MUZAFFARPUR,9827,11395,9157,456,30835
BIHAR,NALANDA,5752,5966,4409,310,16437
BIHAR,NAWADA,4521,6396,4556,345,15818
BIHAR,PAKUR,51,96,50,4,201
BIHAR,PATNA,9253,8794,4805,527,23379
BIHAR,PURNIA,10742,7220,5688,423,24073
BIHAR,RANCHI,79,9,0,0,88
BIHAR,ROHTAS,5317,4449,6466,675,16907
BIHAR,SAHARSA,6294,1848,1645,18,9805
BIHAR,SAHEBGANJ,967,565,169,21,1722
BIHAR,SAMASTIPUR,13465,9833,5430,649,29377
BIHAR,SARAN,10445,10334,3067,360,24206
BIHAR,SHEIKHPURA,2619,1845,844,23,5331
BIHAR,SHEOHAR,1503,1599,1248,106,4456
BIHAR,SINGHBHUM EAST,293,643,307,9,1252
BIHAR,SINGHBHUM WEST,4,5,2,0,11
BIHAR,SITAMARHI,5962,5158,3513,252,14885
BIHAR,SIWAN,12575,8934,5089,271,26869
BIHAR,SUPAUL,7944,3310,1931,151,13336
BIHAR,VAISHALI,10942,6850,2691,134,20617
GOA,NORTH GOA,2,11,6,1,20
GOA,SOUTH GOA,4,1,2,0,7
HARYANA,AMBALA,1388,4021,8741,364,14514
HARYANA,BHIWANI,3086,5385,8853,1129,18453
HARYANA,FARIDABAD,2565,6788,15099,938,25390
HARYANA,GURGAON,3268,6399,17107,1699,28473
