-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"CHHATTISGARH","JASHPUR",89,33,67,0,0,100
"CHHATTISGARH","KANKER",3977,3969,1424,84,8,5485
"CHHATTISGARH","KORBA",216,157,86,5,0,248
"CHHATTISGARH","KORIA",106,59,49,0,0,108
"CHHATTISGARH","KVARDHA",10720,12884,4717,155,11,17768
"CHHATTISGARH","MAHASAMUND",14738,14157,3600,109,4,17871
"CHHATTISGARH","RAIGARH",25859,21651,7461,74,37,29223
"CHHATTISGARH","RAIPUR",35073,33896,14320,632,872,49721
"CHHATTISGARH","RAJNANDGAON",9124,15982,8353,111,88,24534
"CHHATTISGARH","SURGUJA",1308,629,679,2,1,1311
"DELHI","ALIPUR",16839,11591,16279,7,16,27893
"DELHI","NAJAFGARH",5002,1966,4923,14,35,6938
"DELHI","NANGLOI",1081,735,840,51,0,1626
"DELHI","SHADARA-NORTHEAST",321,167,215,0,0,382
"DELHI","SHAHDARA-EAST",637,590,587,3,0,1181
"GOA","NORTH GOA",25,0,1,24,0,25
"GOA","SOUTH GOA",51,0,1,43,7,51
"GUJARAT","AHMEDABAD",5671,2721,2901,1008,227,6856
"GUJARAT","AMRELI",2567,2589,13,0,0,2602
"GUJARAT","ANAND",64686,22821,57521,286,33774,114402
"GUJARAT","BANASKANTHA",17699,12048,13217,513,1507,27285
"GUJARAT","BHARUCH",14053,1710,6514,6509,506,15239
"GUJARAT","DAHOD",4,4,2,0,0,5
"GUJARAT","GANDHINAGAR",8710,5912,2800,0,0,8712
"GUJARAT","KACHCHH",3981,3723,1045,270,396,5433
"GUJARAT","KHEDA",59201,40791,20861,6830,7,68488
"GUJARAT","MEHSANA",1681,996,533,102,176,1806
"GUJARAT","NARMADA",4,0,0,4,0,4
"GUJARAT","NAVSARI",6894,2044,699,4514,310,7567
"GUJARAT","PANCHMAHAL",379,373,231,0,0,604
"GUJARAT","PATAN",1422,168,1144,0,171,1483
"GUJARAT","PORBANDAR",1591,1591,45,0,0,1636
