-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Fourth Lok Sabha from 4th March 1967 to 27th December 1970. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Fourth_Lok_Sabha_From_4th_March_1967_to_27th_December_1970.xls", 
 "title": "Download XLS for Members of Fourth Lok Sabha from 4th March 1967 to 27th December 1970", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Fourth_Lok_Sabha_From_4th_March_1967_to_27th_December_1970.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Fourth Lok Sabha","Shri K.M. Abraham","Male","Kottayam                                                                                            ","Kerala                                                      ","Communist Party(Marxist)"
"Fourth Lok Sabha","Seth Achal Singh","Male","Agra                                                                                                ","Uttar Pradesh                                               ","Congress"
"Fourth Lok Sabha","Shri P.C. Adichan","Male","Adoor-SC                                                                                            ","Kerala                                                      ","Communist Party"
"Fourth Lok Sabha","Shri Syed Ahmed Aga","Male","Baramullah                                                                                          ","Jammu and Kashmir                                           ","Congress"
"Fourth Lok Sabha","Shri Sangappa A. Agadi","Male","Koppal                                                                                              ","Mysore                                                      ","Congress"
"Fourth Lok Sabha","Shri Nathu Ram Ahirwar","Male","Tikamgarh-SC                                                                                        ","Madhya Pradesh                                              ","Congress"
"Fourth Lok Sabha","Dr. Imteyaz Ahmad","Male","Giridih                                                                                             ","Bihar                                                       ","Congress"
"Fourth Lok Sabha","Shri Fakhruddin Ali Ahmed","Male","Barpeta                                                                                             ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Shri Jahan Uddin Ahmed","Male","Dhubri                                                                                              ","Assam                                                       ","Praja Socialist Party (PSP)"
"Fourth Lok Sabha","Shri Debananda Amat","Male","Sundergarh-ST                                                                                       ","Odisha                                                      ","Swatantra Party"
"Fourth Lok Sabha","Shri Manubhai N. Amersey","Male","Banaskantha                                                                                         ","Gujarat                                                     ","Swatantra Party"
"Fourth Lok Sabha","Shri Ramchandra Amin","Male","Mehsana                                                                                             ","Gujarat                                                     ","Swatantra Party"
"Fourth Lok Sabha","Prof. Ramdas Kishordas Amin","Male","Dhandhuka-SC                                                                                        ","Gujarat                                                     ","Swatantra Party"
"Fourth Lok Sabha","Shri Sardar Amjad Ali","Male","Basirhat                                                                                            ","West Bengal                                                 ","United Interparliaemntary Group"
"Fourth Lok Sabha","Shri Amrit Nahata","Male","Barmer                                                                                              ","Rajasthan                                                   ","Congress"
"Fourth Lok Sabha","Shri K. Anbazhagan","Male","Tiruchengode                                                                                        ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Fourth Lok Sabha","Shri N. Anbuchezhian","Male","Dindigul                                                                                            ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Fourth Lok Sabha","Shri K. Anirudhan","Male","Chirayinkil                                                                                         ","Kerala                                                      ","Communist Party(Marxist)"
"Fourth Lok Sabha","Shri B. Anjanappa","Male","Nellore-SC                                                                                          ","Andhra Pradesh                                              ","Congress"
"Fourth Lok Sabha","Shri Maganti Ankineedu","Male","Gudiwada                                                                                            ","Andhra Pradesh                                              ","Congress"
"Fourth Lok Sabha","Shri C.N. Annadurai","Male","Madras South                                                                                        ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Fourth Lok Sabha","Shri Frank Anthony","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Fourth Lok Sabha","Shri R.S. Arumugam","Male","Tenkasi-SC                                                                                          ","Madras                                                      ","Congress"
"Fourth Lok Sabha","Shri K.M. Asghar Husain","Male","Akola                                                                                               ","Maharashtra                                                 ","Congress"
"Fourth Lok Sabha","Shri Atamdas","Male","Morena-SC                                                                                           ","Madhya Pradesh                                              ","Independent"
"Fourth Lok Sabha","Mahant Avedyanath","Male","Gorakhpur                                                                                           ","Uttar Pradesh                                               ","Akhil Bharatiya Hindu Mahasabha"
"Fourth Lok Sabha","Shri Ram Singh Ayarwal","Male","Sagar-SC                                                                                            ","Madhya Pradesh                                              ","Jan Sangh"
"Fourth Lok Sabha","Shri Bhagwat Jha Azad","Male","Bhagalpur                                                                                           ","Bihar                                                       ","Congress"
"Fourth Lok Sabha","Syed Badrudduja","Male","Murshidabad                                                                                         ","West Bengal                                                 ","Independent Democratic Party"
"Fourth Lok Sabha","Shri Kamalnayan Jamnalal Bajaj","Male","Wardha                                                                                              ","Maharashtra                                                 ","Congress"
"Fourth Lok Sabha","Shri Vidya Dhar Bajpai","Male","Amethi                                                                                              ","Uttar Pradesh                                               ","Congress"
"Fourth Lok Sabha","Shri Ghulam Mohamad Bakshi","Male","Srinagar                                                                                            ","Jammu and Kashmir                                           ","All Jammu & Kashmir National Conference"
"Fourth Lok Sabha","Shri Kushok G. Bakula","Male","Ladakh                                                                                              ","Jammu and Kashmir                                           ","Congress"
"Fourth Lok Sabha","Shri S.M. Banerjee","Male","Kanpur                                                                                              ","Uttar Pradesh                                               ","Independent"
"Fourth Lok Sabha","Shri A.E.T. Barrow","Male","Nominated Anglo-Indian                                                                              ","NA","Independent"
"Fourth Lok Sabha","Shri Bedabrata Barua","Male","Kaliabor                                                                                            ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Shri Rajendranath Barua","Male","Jorhat                                                                                              ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Shri Pannalal Barupal","Male","Ganganagar-SC                                                                                       ","Rajasthan                                                   ","Congress"
"Fourth Lok Sabha","Shri Jamna Lal Barwa","Male","Tonk-SC                                                                                             ","Rajasthan                                                   ","Swatantra Party"
"Fourth Lok Sabha","Shri Sohan Singh Basi","Male","Ferozepur                                                                                           ","Punjab                                                      ","Akali Dal"
"Fourth Lok Sabha","Shri Dharanidhor Basumatari","Male","Kokrajhar-ST                                                                                        ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Shri Sonubhau Dagadu Baswant","Male","Bhiwandi                                                                                            ","Maharashtra                                                 ","Congress"
"Fourth Lok Sabha","Shri Baidhar Behera","Male","Jajpur-SC                                                                                           ","Odisha                                                      ","Praja Socialist Party (PSP)"
"Fourth Lok Sabha","Shri Onkarlal Berwa","Male","Kota                                                                                                ","Rajasthan                                                   ","Jan Sangh"
"Fourth Lok Sabha","Shri Satya Chandra Besra","Male","Dumka-ST                                                                                            ","Bihar                                                       ","Congress"
"Fourth Lok Sabha","Shri Arjun Singh Bhadoria","Male","Etawah                                                                                              ","Uttar Pradesh                                               ","Samyukta Socialist Party"
"Fourth Lok Sabha","Shri Bhagaban Das","Male","Ausgram-SC                                                                                          ","West Bengal                                                 ","Communist Party(Marxist)"
"Fourth Lok Sabha","Shri Bali Ram Bhagat","Male","Shahabad                                                                                            ","Bihar                                                       ","Congress"
"Fourth Lok Sabha","Shri Bijoy Chandra Bhagavati","Male","Tezpur                                                                                              ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Shri Bhakt Darshan","Male","Garhwal                                                                                             ","Uttar Pradesh                                               ","Congress"
"Fourth Lok Sabha","Shri R.D. Bhandare","Male","Bombay Central                                                                                      ","Maharashtra                                                 ","Congress"
"Fourth Lok Sabha","H.H.Maharaja Bhanu Prakash Singh (Narsinghgarh)","Male","Sidhi-ST                                                                                            ","Madhya Pradesh                                              ","Congress"
"Fourth Lok Sabha","Shri Bashweshwar Nath Bhargava","Male","Ajmer                                                                                               ","Rajasthan                                                   ","Congress"
"Fourth Lok Sabha","Shri Maharaj Singh Bharti","Male","Meerut                                                                                              ","Uttar Pradesh                                               ","Samyukta Socialist Party"
"Fourth Lok Sabha","Shri C.K. Bhattacharyya","Male","Raiganj                                                                                             ","West Bengal                                                 ","Congress"
"Fourth Lok Sabha","Maharani Vijayamala Rajaram Chhatrapati Bhonsle","Female","Hatkanangale                                                                                        ","Maharashtra                                                 ","Peasants And Workers` Party of India"
"Fourth Lok Sabha","Shri Bibhuti Mishra","Male","Motihari                                                                                            ","Bihar                                                       ","Congress"
"Fourth Lok Sabha","Shri R.K. Birla","Male","Jhunjhunu                                                                                           ","Rajasthan                                                   ","Independent Parliamentary Group"
"Fourth Lok Sabha","Shri Kolai Birua","Male","Singhbhum-ST                                                                                        ","Bihar                                                       ","Jharkhand Party"
"Fourth Lok Sabha","Shri Jang Bahadur Singh Bisht","Male","Almora                                                                                              ","Uttar Pradesh                                               ","Congress"
"Fourth Lok Sabha","Shri J.M. Biswas","Male","Bankura                                                                                             ","West Bengal                                                 ","Communist Party"
"Fourth Lok Sabha","Shri Onkarlal Bohra","Male","Chittorgarh                                                                                         ","Rajasthan                                                   ","Congress"
"Fourth Lok Sabha","Shri Amiya Nath Bose","Male","Arambagh                                                                                            ","West Bengal                                                 ","All India Forward Bloc"
"Fourth Lok Sabha","Dr.(Smt.) Maitreyee Bose","Female","Darjeeling                                                                                          ","West Bengal                                                 ","Independent"
"Fourth Lok Sabha","Shri Jyotirmoy Bosu","Male","Diamond Harbour                                                                                     ","West Bengal                                                 ","Communist Party(Marxist)"
"Fourth Lok Sabha","Chowdhury Brahm Perkash","Male","Outer Delhi-SC                                                                                      ","Delhi                                                       ","Congress"
"Fourth Lok Sabha","Shri Rup Nath Brahma","Male","Kokrajhar-ST                                                                                        ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Swami Brahmanand","Male","Hamirpur                                                                                            ","Uttar Pradesh                                               ","Jan Sangh"
"Fourth Lok Sabha","Shri G.S. Brigadier","Male","Udhampur                                                                                            ","Jammu and Kashmir                                           ","Congress"
"Fourth Lok Sabha","H.H. Maharaja Brijendra Singh","Male","Bharatpur                                                                                           ","Rajasthan                                                   ","Independent"
"Fourth Lok Sabha","Shri Brijraj Singh","Male","Jhalawar                                                                                            ","Rajasthan                                                   ","Jan Sangh"
"Fourth Lok Sabha","Sardar Buta Singh","Male","Ropar-SC                                                                                            ","Punjab                                                      ","Congress"
"Fourth Lok Sabha","Shri C.K. Chakrapani","Male","Ponnani                                                                                             ","Kerala                                                      ","Communist Party(Marxist)"
"Fourth Lok Sabha","Shri Anil Kumar Chanda","Male","Bolpur                                                                                              ","West Bengal                                                 ","Congress"
"Fourth Lok Sabha","Smt. Jyotsna Chanda","Female","Cachar-SC                                                                                           ","Assam                                                       ","Congress"
"Fourth Lok Sabha","Shri Chandra Shekhar Singh","Male","Jahanabad                                                                                           ","Bihar                                                       ","Communist Party"
"Fourth Lok Sabha","Shri Chandulal Chandrakar","Male","Durg                                                                                                ","Madhya Pradesh                                              ","Congress"
"Fourth Lok Sabha","Shri Chandrika Prasad","Male","Ballia                                                                                              ","Uttar Pradesh                                               ","Congress"
"Fourth Lok Sabha","Shri Hari Pada Chatterjee","Male","Krishnagar                                                                                          ","West Bengal                                                 ","Independent"
"Fourth Lok Sabha","Shri N.C. Chatterjee","Male","Burdwan                                                                                             ","West Bengal                                                 ","Independent"
"Fourth Lok Sabha","Shri Krishna Kumar Chatterji","Male","Howrah                                                                                              ","West Bengal                                                 ","Congress"
"Fourth Lok Sabha","Shri Rohanlal Chaturvedi","Male","Etah                                                                                                ","Uttar Pradesh                                               ","Congress"
"Fourth Lok Sabha","Shri Tridib Chaudhuri","Male","Berhampore                                                                                          ","West Bengal                                                 ","Revolutionary Socialist Party"
"Fourth Lok Sabha","Shri Dajisaheb Ramrao Chavan","Male","Karad                                                                                               ","Maharashtra                                                 ","Congress"
"Fourth Lok Sabha","Shri Yashwantrao Balwantrao Chavan","Male","Satara                                                                                              ","Maharashtra                                                 ","Congress (U)"
"Fourth Lok Sabha","Shri C. Chitti Babu","Male","Chengleput                                                                                          ","Madras                                                      ","Dravida Munnetra Kazhagam"
"Fourth Lok Sabha","Shri Valmiki Choudhary","Male","Hajipur-SC                                                                                          ","Bihar                                                       ","Congress"
"Fourth Lok Sabha","Smt. Ila Pal Choudhuri","Female","Krishnagar                                                                                          ","West Bengal                                                 ","Congress"
"Fourth Lok Sabha","Shri J.K. Choudhury","Male","Tripura West                                                                                        ","Tripura                                                     ","Congress"
