-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "chattisgarhNSDPcurrent.csv", 
 "title": "Download CSV for Chhattisgarh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chattisgarhNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","371819","406180","411751","461922","405959","480358","468524","378798","585423","384954","617342","525905"
"Foresty and Logging","39679","49179","51773","54043","69821","68491","68814","76058","94367","94033","109175","114354"
"Fishing","5441","8015","8795","13302","14929","19152","25889","33348","35502","37780","42416","45228"
"Mining and Quarrying","94871","90977","103499","117018","139588","166239","252138","257982","304008","379017","411363","341919"
"Sub total of primary","511810","554351","575818","646285","630297","734240","815365","746186","1019300","895784","1180296","1027406"
"Manufacturing","229964","234940","253106","288021","449509","453184","329353","306822","331543","413812","539209","664674"
"Registered","159034","170844","167765","194201","344966","336013","230789","211073","220913","305207","385226","491967"
"Unregistered","70930","64096","85341","93820","104543","117171","98564","95749","110630","108605","153983","172707"
"Construction","61692","67997","78439","91045","99876","94704","150689","101939","135519","157762","206311","220668"
"Electricity, Gas and water Supply","40556","42039","50088","48791","56192","59449","29963","34514","12063","113668","121929","123070"
"Sub total of secondary","332212","344976","381633","427857","605577","607337","510005","443275","479125","685242","867449","1008412"
"Transport Storage and Communication","56325","68185","75722","86057","97539","106327","133205","138306","170964","205911","246135","273188"
"Railways","33580","40833","43177","40317","43420","39206","45481","50700","69780","79573","78316","90466"
"Transport by other means","17184","20166","25758","34507","42545","49067","69752","73106","84367","105305","142624","155458"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","5561","7186","6787","11233","11574","18054","17972","14500","16817","21033","25195","27264"
"Trade, hotels and restaurants","121170","135085","159175","170623","178418","187980","241099","246470","284157","268800","333717","337815"
"Banking and Insurance","21243","25714","34007","42829","50209","50070","56904","69451","77129","92070","102875","118895"
"Real estate, ownership of dwelling and business","70597","76263","80811","86295","92781","115666","135554","148482","166658","178420","197531","222609"
"Pubic Administration","35589","39053","46059","51669","58623","79785","82909","83230","153077","153127","108574","120314"
"Other Services","67362","76242","90293","125620","121025","149935","158077","178470","164258","167684","225437","252724"
"Sub total of tertiary","372286","420542","486067","563093","598595","689763","807748","864409","1016243","1066012","1214269","1325545"
"State domestic product","1216308","1319869","1443518","1637235","1834469","2031340","2133118","2053870","2514668","2647037","3262013","3361362"

"Figures are in Rs. Lakh"
