-----
{
 "description": "The table refers to Village wise Distribution of Dugwells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "tab1.2.csv", 
 "title": "Download CSV for Villagewise Distribution of Dugwells according to ownership(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/tab1.2.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Surface Lift Schemes in the command of Major/Medium Projects and Supplementary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.14.csv", 
 "title": "Download CSV for Blockwise Surface Lift Schemes in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.14.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Location of  Schemes (Nos) - Inside Command,Location of Schemes (Nos) - Outside Command,Total,Supplementary Irrigation (Ha) - Kharif,Supplementary Irrigation (Ha) - Rabi,Supplementary Irrigation (Ha) - Perennial,Supplementary Irrigation (Ha) - Others,Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,0,434,434,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,0,271,271,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,0,165,165,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,0,157,157,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,4,437,441,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,0,201,201,0,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,21,21,0,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,6,6,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ADILABAD,0,35,35,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,56,56,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,29,29,0,0,0,0,0
