-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,111,48,12,32,1,0,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,33,27,23,43,14,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,16,1,0,17
ANDHRA PRADESH,ADILABAD,BELA,3,1,1,1,0,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,3,0,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,540,1073,146,6,7,0,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,52,1,1,0,0,0,54
ANDHRA PRADESH,ADILABAD,BOATH,710,5,7,4,4,0,730
ANDHRA PRADESH,ADILABAD,CHENNUR,284,2,0,0,1,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,38,0,2,13,0,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,1058,13,2,8,10,0,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,52,29,0,23,3,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,226,56,13,53,20,0,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,13,17,0,34,1,0,65
ANDHRA PRADESH,ADILABAD,JAINAD,97,31,12,0,1,0,141
ANDHRA PRADESH,ADILABAD,JAIPUR,102,12,13,0,3,0,130
ANDHRA PRADESH,ADILABAD,KERAMERI,5,2,0,2,0,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,52,407,28,0,3,0,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,31,2,0,0,0,0,33
ANDHRA PRADESH,ADILABAD,KUBEER,180,424,0,3,4,0,611
ANDHRA PRADESH,ADILABAD,KUNTALA,1020,146,21,26,77,0,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,118,27,4,0,15,0,164
