-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "NagalandNSDPcurrent.csv", 
 "title": "Download CSV for Nagaland Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/NagalandNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","26101","32731","31667","37686","50279","55805","60645","94209","116125","135574"
"Foresty and Logging","5790","6863","6928","8092","7229","7650","8722","9998","10513","10612"
"Fishing","442","610","863","1265","1424","1677","2016","1980","2166","2273"
"Mining and Quarrying","0","0","0","0","0","0","38","109","213","303"
"Sub total of primary","32333","40204","39458","47043","58932","65132","71421","106296","129017","148762"
"Manufacturing","3757","4788","9171","11660","12864","5058","2094","2539","3346","3273"
"Manu-Registered","840","1122","4595","6468","3138","728","669","1159","2359","2102"
"Manu-Unregistered","2917","3666","4576","5192","9726","4330","1425","1380","987","1171"
"Construction","10136","12241","18317","20629","28647","25363","25290","52866","41296","51249"
"Electricity, Gas and water Supply","1421","1370","2406","2203","2046","3212","219","-3390","-2651","-2888"
"Sub total of secondary","15314","18399","29894","34492","43557","33633","27603","52015","41991","51634"
"Transport Storage and Communication","20673","23492","23903","26188","26657","29903","30401","62143","74725","84775"
"Railways","13","13","18","19","12","27","91","64","25","56"
"Transport by other means","20410","23211","23567","25840","26236","29514","29988","61439","73614","83009"
"Storage","16","20","28","29","30","29","31","37","40","27"
"Communication","234","248","290","300","379","333","291","603","1046","1683"
"Trade, hotels and restaurants","7716","8423","9682","11418","12925","12883","14212","18385","23679","25346"
"Banking and Insurance","1693","1721","1865","2536","2527","2826","2834","4524","5453","5912"
"Real estate, ownership of dwelling and business","15544","17606","19612","21230","23366","24921","27446","31681","36014","43129"
"Pubic Administration","22724","23348","25968","26988","29585","32174","37943","43625","48821","56288"
"Other Services","9083","12556","15215","14957","16133","16910","21095","24051","26711","29983"
"Sub total of tertiary","77433","87146","96245","103317","111193","119617","133931","184409","215403","245433"
"State domestic product","125080","145749","165597","184852","213682","218382","232955","342720","386411","445829"

"Figures are in Rs. Lakh"
