-----
{
 "description": "This table provides mass emission standard for petrol and diesel driven vehicles for the period 2000 onwards.", 
 "file_name": "MASS_EMISSION_STANDARD_FOR_PETROL_AND_DIESEL_DRIVEN_VEHICLES.xls", 
 "title": "Download XLS for Mass Emission Standard For Petrol And Diesel Driven Vehicles", 
 "url": "http://data.gov.in/sites/default/files/MASS_EMISSION_STANDARD_FOR_PETROL_AND_DIESEL_DRIVEN_VEHICLES.xls"
}
-----
"Cars  (g/km)",2000.0,"BS II","BS II","BS III*","BS III**","BS IV*","BS IV**"
"Carbon Monoxide(CO)",2.72,2.2,"2.2-5.0",2.3,"2.3-5.22",1.0,"1.0-2.27"
"Hydrocarbon(HC)","NA","NA","NA",0.2,"0.20-0.29",0.1,"0.1-0.16"
"Oxide of Nitrogen (NOX)","NA","NA","NA",0.15,"0.15-0.21",0.08,"0.08-0.11"
"Hydrocarbon and Oxide of Nitrogen(HC+NOX)",0.97,0.5,"0.5-0.7","NA","NA","NA","NA"
