-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.7.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.7.csv"
}
-----
"State","Government fund","Farmers saving","Loan and Saving","Subsidy and Bank loan","Subsidy only","Others","Total"
"ANDHRA PRADESH",339188,267072,30383,10330,8749,637,656359
"ASSAM",3839,19006,4321,6266,43023,2209,78664
"BIHAR",117798,390385,34142,37162,50716,21180,651383
"CHHATTISGARH",34031,37182,3983,2001,9220,158,86575
"GOA",23,3,0,0,2,2,30
"GUJARAT",24554,23390,3355,649,945,302,53195
"HARYANA",65414,274344,29859,1336,1406,3993,376352
"HIMACHAL PRADESH",308,1957,283,12,2,87,2649
"JAMMU & KASHMIR",1015,268,11,37,19,23,1373
"JHARKHAND",410,496,31,64,123,0,1124
"KARNATAKA",139641,275210,75660,30024,8248,3565,532348
"KERALA",891,1494,908,727,596,64,4680
"MADHYA PRADESH",31148,225319,14786,4700,1642,1429,279024
"MAHARASHTRA",31549,22388,2484,1045,450,1504,59420
"MANIPUR",0,0,0,0,3,0,3
"MEGHALAYA",32,43,0,0,0,0,75
"NAGALAND",2,0,0,0,0,0,2
"ORISSA",5362,12457,10333,11416,3026,1287,43881
"PUNJAB",15300,1025802,20479,1243,1091,3202,1067117
"RAJASTHAN",8392,90905,12394,611,189,365,112856
"TAMIL NADU",43356,97325,8262,1284,704,319,151250
"TRIPURA",155,337,15,96,467,108,1178
"UTTAR PRADESH",170149,2198999,264852,780355,97869,13319,3525543
"UTTA RAN CHAL",3748,38329,4494,4359,991,178,52099
"WEST BENGAL",30029,521750,29169,8030,9445,5244,603667
"CHANDIGARH",1,131,0,0,0,0,132
"DELHI",158,10132,49,0,0,5,10344
"PONDICHERRY",275,3519,480,74,1,21,4370
"ALL INDIA",1066768,5538243,550733,901821,238927,59201,8355693
