-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "AndhraGSDPconst_2.csv", 
 "title": "Download CSV for Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndhraGSDPconst_2.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1742176","1704813","1813229","1931137","1567805","1996007","1915686","2216075","2189500","1900000","2215600","2304100","2431000"
"Foresty and Logging","66862","67289","69118","68088","66380","71220","73868","75716","73100","73100","72800","74600","75800"
"Fishing","117289","130675","127735","134529","141172","158007","185009","204310","219300","262300","265300","261200","276900"
"Mining and Quarrying","141197","137676","146452","162833","170821","174918","208844","228506","260200","285900","302200","321100","346800"
"Sub total of primary","2067524","2040453","2156534","2296587","1946178","2400152","2383407","2724607","2742100","2521300","2855900","2961000","3130500"
"Manufacturing","837239","929445","1015337","1065322","1121057","1188137","1182034","1178447","1277500","1390300","1466500","1544200","1634900"
"Registered","568429","633467","670537","711856","746337","793565","784119","774940","844900","940400","996300","1050400","1113400"
"Unregistered","268810","295978","344800","353466","374720","394572","397915","403507","432600","449900","470200","493800","521500"
"Construction","287294","328119","334358","334961","384125","402791","454468","490356","533200","584200","633400","681100","735800"
"Electricity, Gas and water Supply","143866","183075","174356","184954","192836","214735","232488","235558","199400","263600","261800","281300","291700"
"Sub total of secondary","1268399","1440639","1524051","1585237","1698018","1805663","1868990","1904361","2010100","2238100","2361700","2506600","2662400"
"Transport Storage and Communication","376765","394872","436633","470099","510157","551356","595531","672678","769400","895700","1027900","1175700","1346000"
"Railways","89978","92473","102270","113626","118302","126521","125723","134181","137000","147000","156500","167700","182200"
"Transport by other means","224489","235056","254622","260261","274578","277807","305306","325282","353800","379600","422200","459000","488500"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","62298","67343","79741","96212","117277","147028","164502","213215","278600","369100","449200","549000","675300"
"Trade, hotels and restaurants","756185","820241","879793","967577","922357","1034833","1068596","1156295","1208800","1248100","1339500","1413000","1499600"
"Banking and Insurance","204498","237070","251556","282732","328508","378851","403114","419464","477500","554700","596000","639500","691500"
"Real estate, ownership of dwelling and business","382707","397204","414818","433886","458317","489245","529219","562603","605100","651500","700300","752000","808400"
"Pubic Administration","250240","271382","279552","288821","314178","324740","384848","415705","420200","434100","448100","475700","519600"
"Other Services","480346","509516","529934","555961","608866","626784","726769","795617","838500","874200","933700","995800","1085400"
"Sub total of tertiary","2450741","2630285","2792286","2999076","3142383","3405809","3708077","4022362","4319500","4658300","5045500","5451700","5950500"
"State domestic product","5786664","6111377","6472871","6880900","6786579","7611624","7960474","8651330","9071600","9417700","10263100","10919300","11743400"

"Figures are in Rs. Lakh"
