-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.7.csv"
}
-----
"State","District","Government Funds","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Others","Total"
"MAHARASHTRA","AURANGABAD",74125,10211,2387,1234,334,88291
"MAHARASHTRA","BEED",27061,2312,444,1063,34,30914
"MAHARASHTRA","BHANDARA",9615,2531,1146,2521,164,15977
"MAHARASHTRA","BULDANA",55082,6453,1709,1030,123,64397
"MAHARASHTRA","CHANDRAPUR",6272,1544,504,4575,520,13415
"MAHARASHTRA","DHULE",41804,5395,1731,1614,262,50806
"MAHARASHTRA","GADCHIROLI",2824,270,622,7245,204,11165
"MAHARASHTRA","GONDIYA",3436,521,664,3391,853,8865
"MAHARASHTRA","HINGOLI",19181,546,279,643,6,20655
"MAHARASHTRA","JALGAON",95655,9867,1225,2438,283,109468
"MAHARASHTRA","JALNA",42353,5447,1291,799,471,50361
"MAHARASHTRA","KOLHAPUR",28820,10342,763,780,474,41179
"MAHARASHTRA","LATUR",21684,5225,554,453,28,27944
"MAHARASHTRA","NAGPUR",47055,14036,591,1773,123,63578
"MAHARASHTRA","NANDED",23291,3195,456,1226,75,28243
"MAHARASHTRA","NANDURBAR",10890,3238,1085,1484,657,17354
"MAHARASHTRA","NASHIK",129021,28077,6202,2345,2559,168204
"MAHARASHTRA","OSMANABAD",33600,7091,696,751,564,42702
"MAHARASHTRA","PARBHANI",23375,2673,434,1019,44,27545
"MAHARASHTRA","PUNE",98106,17010,720,631,203,116670
"MAHARASHTRA","RAIGHAR",3544,611,184,278,5,4622
"MAHARASHTRA","RATNAGIRI",2191,171,95,271,29,2757
"MAHARASHTRA","SANGLI",72908,14267,1027,915,474,89591
"MAHARASHTRA","SATARA",69814,5016,380,172,101,75483
"MAHARASHTRA","SINDHUDURGA",3428,78,16,1351,1,4874
"MAHARASHTRA","SOLAPUR",98855,25939,2600,1700,2267,131361
"MAHARASHTRA","THANE",3343,185,156,2457,7,6148
"MAHARASHTRA","WARDHA",34034,6215,714,1147,1868,43978
"MAHARASHTRA","WASHIM",17163,1374,316,492,98,19443
"MAHARASHTRA","YAVATMAL",29064,4503,1084,1797,69,36517
"MANIPUR","IMPHAL WEST",0,0,0,3,0,3
"MEGHALAYA","JAINTIA HILLS",11,0,0,0,0,11
"NAGALAND","DIMAPUR",12,21,5,177,58,273
