-----
{
 "description": "The table refers to block wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.5.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.5.csv"
}
-----
State,District,Block,Shallow tubewell,Filter,Borewell,Others,Total
WEST BENGAL,MURSHIDABAD,NABAGRAM,2779,3,1,0,2783
WEST BENGAL,MURSHIDABAD,NOWADA,2139,30,0,1,2170
WEST BENGAL,MURSHIDABAD,RAGHUNATHGANJ - I,507,1,0,8,516
WEST BENGAL,MURSHIDABAD,RAGHUNATHGANJ - II,622,0,1,0,623
WEST BENGAL,MURSHIDABAD,RANINAGAR - I,4708,0,0,4,4712
WEST BENGAL,MURSHIDABAD,RANINAGAR - II,3548,592,1,0,4141
WEST BENGAL,MURSHIDABAD,SAGARDIGHI,2299,12,4,8,2323
WEST BENGAL,MURSHIDABAD,SAMSHERGANJ,249,16,0,10,275
WEST BENGAL,MURSHIDABAD,SUTI - I,781,0,0,0,781
WEST BENGAL,MURSHIDABAD,SUTI - II,1207,3,1,0,1211
WEST BENGAL,NADIA,CHAKDAHA,4500,83,0,1,4584
WEST BENGAL,NADIA,CHAPRA,8288,565,15,2,8870
WEST BENGAL,NADIA,HANSHKHALI,7181,2,1,25,7209
WEST BENGAL,NADIA,HARINGHATA,2456,113,285,96,2950
WEST BENGAL,NADIA,KALIGANJ,6055,71,1,4,6131
WEST BENGAL,NADIA,KARIMPUR - I,2806,9,489,0,3304
WEST BENGAL,NADIA,KARIMPUR - II,4967,45,0,0,5012
WEST BENGAL,NADIA,KRISHNAGANJ,3735,55,0,0,3790
WEST BENGAL,NADIA,KRISHNAGAR - I,4161,868,89,286,5404
WEST BENGAL,NADIA,KRISHNAGAR - II,2841,0,0,6,2847
WEST BENGAL,NADIA,NABADWIP,1474,4,1,6,1485
WEST BENGAL,NADIA,NAKASHIPARA,8261,44,0,1,8306
WEST BENGAL,NADIA,RANAGHAT - I,2558,340,14,1,2913
WEST BENGAL,NADIA,RANAGHAT - II,5734,427,0,5,6166
WEST BENGAL,NADIA,SHANTIPUR,3092,83,2,0,3177
WEST BENGAL,NADIA,TEHATTA - I,7070,10,2,88,7170
WEST BENGAL,NADIA,TEHATTA - II,5835,0,0,5,5840
WEST BENGAL,NORTH 24 PARGANAS,AMDANGA,2834,0,1,0,2835
WEST BENGAL,NORTH 24 PARGANAS,BADURIA,4116,370,10,1,4497
WEST BENGAL,NORTH 24 PARGANAS,BAGDAH,5558,5,0,2,5565
