-----
{
 "description": "The table refers to block wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.5.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.5.csv"
}
-----
State,District,Block,Shallow tubewell,Filter,Borewell,Others,Total
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,617,337,0,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,458,1,16,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,63,0,0,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,1203,0,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,6,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,71,1,25,0,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,66,163,0,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,9,0,0,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,340,0,0,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,153,40,1084,1,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,90,1,5,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,777,1,0,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,37,1,10,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,102,0,6,14,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,152,64,0,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,30,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,3,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,16,38,1,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,295,318,342,2,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,11,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,347,6,4,17,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,515,152,0,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,1,28,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,8,387,4,0,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,192,75,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,237,14,27,0,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,282,239,55,4,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,114,0,0,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,28,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,1,152,0,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,31,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,82,531,0,0,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,20,532,1,0,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,106,0,0,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,481,11,0,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1154,125,1,1,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,144,78,0,0,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,52,1248,3,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,10,126,0,0,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,66,1,546,1,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,157,0,0,0,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,32,0,0,0,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,48,6,0,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,11,12,116,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,6,1728,1,1,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,51,0,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,50,2,0,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,733,6,0,0,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,19,0,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,497,13,199,2,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,332,0,28,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,204,0,0,28,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,73,2,0,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,104,1152,0,0,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,300,1,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,430,0,0,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,76,654,0,0,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,2,340,76,146,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,784,5,0,0,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,110,156,35,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,15,243,1,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,272,59,0,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,604,1,0,0,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,301,2,0,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,201,7,0,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,2,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,37,538,0,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,2,0,15,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,3,955,108,0,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,0,371,0,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,128,0,2,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,60,0,6,0,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,281,0,1,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,473,150,14,0,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,23,5,0,1,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,377,0,0,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,376,1,80,0,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,0,41,0,1,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1010,0,1,0,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,1,10,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,57,1,243,1,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,158,1,52,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,3,25,0,0,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,50,0,0,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,932,26,0,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,119,39,0,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,12,19,0,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,13,85,1,0,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,45,0,0,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,61,0,1399,1,1461
ANDHRA PRADESH,GUNTUR,DURGI,31,0,0,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,30,2,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,5,1,24,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,63,0,0,0,63
ANDHRA PRADESH,GUNTUR,IPUR,8,6,0,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,66,0,0,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,40,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1670,1,3,1,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,2532,0,0,1,2533
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,4,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,107,0,0,1,108
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,866,5,19,0,890
ANDHRA PRADESH,GUNTUR,NADENDLA,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,9,24,0,0,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,5,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,45,0,12,0,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,89,0,0,0,89
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,1,4,0,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,1,951,9,0,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,19,0,2,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,25,0,0,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,28,1,0,0,29
ANDHRA PRADESH,GUNTUR,REPALLE,86,0,2,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,6,0,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,1019,0,0,0,1019
ANDHRA PRADESH,GUNTUR,TADIKONDA,324,0,2,1,327
ANDHRA PRADESH,GUNTUR,TENALI,2,835,22,0,859
ANDHRA PRADESH,GUNTUR,THULLUR,368,1683,4,0,2055
ANDHRA PRADESH,GUNTUR,TSUNDUR,532,0,0,0,532
ANDHRA PRADESH,GUNTUR,VELDURTHY,43,0,370,0,413
ANDHRA PRADESH,GUNTUR,VEMURU,1,533,0,0,534
ANDHRA PRADESH,GUNTUR,VINUKONDA,17,0,0,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,56,1,0,0,57
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,14,0,0,0,14
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,10,0,0,0,10
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,18,1,0,0,19
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,37,0,5,0,42
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,0,0,1,0,1
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,18,0,46,0,64
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,0,0,7,0,7
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,3,0,4,0,7
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,0,0,8,0,8
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,0,1,3,0,4
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,3,0,0,0,3
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,11,0,0,0,11
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,72,9,17,0,98
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,5,0,0,0,5
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,7,1,45,0,53
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,3,0,0,0,3
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,54,20,0,0,74
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,15,4,0,0,19
ANDHRA PRADESH,KARIMNAGAR,METPALLE,7,0,0,0,7
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,1,0,2,0,3
ANDHRA PRADESH,KARIMNAGAR,SHANKARA PATNAM,1,0,0,0,1
ANDHRA PRADESH,KARIMNAGAR,SIRSILLA,309,59,12,0,380
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,97,0,0,3,100
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,13,13,0,0,26
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,11,1,3,0,15
ANDHRA PRADESH,KHAMMAM,CHERLA,22,366,0,0,388
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,752,0,0,0,752
ANDHRA PRADESH,KHAMMAM,ENKURU,119,0,0,0,119
ANDHRA PRADESH,KHAMMAM,GUNDALA,0,0,1,0,1
ANDHRA PRADESH,KHAMMAM,KHAMMAM (RURAL),5,0,0,0,5
ANDHRA PRADESH,KHAMMAM,KHAMMAM (URBAN),11,0,3,0,14
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,35,0,0,0,35
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,0,0,8,0,8
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,386,2,1,0,389
ANDHRA PRADESH,KHAMMAM,MADHIRA,113,13,32,2,160
ANDHRA PRADESH,KHAMMAM,MANUGUR,70,0,0,0,70
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,14,10,0,0,24
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,0,13,24,0,37
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,4,0,0,0,4
ANDHRA PRADESH,KHAMMAM,PALWANCHA,42,4,0,0,46
ANDHRA PRADESH,KHAMMAM,PENUBALLI,37,2,3,0,42
ANDHRA PRADESH,KHAMMAM,PINAPAKA,499,1,227,0,727
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,136,1,68,0,205
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,9,4,8,0,21
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,151,42,8,14,215
ANDHRA PRADESH,KHAMMAM,VEMSOOR,235,0,4,0,239
ANDHRA PRADESH,KHAMMAM,WAZEED,2,10,53,0,65
ANDHRA PRADESH,KHAMMAM,WYRA,21,0,0,0,21
ANDHRA PRADESH,KHAMMAM,YELLANDU,3,0,1,0,4
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,166,23,7,6,202
ANDHRA PRADESH,KRISHNA,A.KONDURU,0,0,3,0,3
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,10,1,0,0,11
ANDHRA PRADESH,KRISHNA,AVANIGADDA,60,162,2,0,224
ANDHRA PRADESH,KRISHNA,BAPULAPADU,14,0,1,0,15
ANDHRA PRADESH,KRISHNA,CHALLAPALLE,406,1,0,1,408
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,59,54,1,0,114
ANDHRA PRADESH,KRISHNA,CHATRAI,59,10,1,0,70
ANDHRA PRADESH,KRISHNA,G.KONDURU,47,1,319,0,367
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,95,1,15,0,111
ANDHRA PRADESH,KRISHNA,GANNAVARAM,0,0,30,1,31
ANDHRA PRADESH,KRISHNA,GHANTASALA,190,45,14,0,249
ANDHRA PRADESH,KRISHNA,GUDIVADA,126,0,1,0,127
ANDHRA PRADESH,KRISHNA,GUDLAVALLERU,1,37,0,0,38
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,389,1,0,0,390
ANDHRA PRADESH,KRISHNA,KANCHIKACHERLA,66,150,63,3,282
ANDHRA PRADESH,KRISHNA,KANKIPADU,1305,25,83,0,1413
ANDHRA PRADESH,KRISHNA,KODURU,76,9,0,0,85
ANDHRA PRADESH,KRISHNA,MOPIDEVI,403,65,0,0,468
ANDHRA PRADESH,KRISHNA,MOVVA,236,110,0,0,346
ANDHRA PRADESH,KRISHNA,MUSUNURU,44,0,13,0,57
ANDHRA PRADESH,KRISHNA,MYLAVARAM,46,0,0,0,46
ANDHRA PRADESH,KRISHNA,NANDIGAMA,6,242,0,0,248
ANDHRA PRADESH,KRISHNA,NANDIVADA,22,0,0,0,22
ANDHRA PRADESH,KRISHNA,PAMARRU,242,0,0,0,242
ANDHRA PRADESH,KRISHNA,PAMIDIMUKKALA,879,97,0,0,976
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,465,0,2,0,467
ANDHRA PRADESH,KRISHNA,PENAMALURU,1079,1,2,97,1179
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,151,0,0,0,151
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,54,0,3,0,57
ANDHRA PRADESH,KRISHNA,THOTLAVALLURU,2068,0,1,0,2069
ANDHRA PRADESH,KRISHNA,TIRUVURU,73,0,0,0,73
ANDHRA PRADESH,KRISHNA,UNGUTURU,477,23,4,0,504
ANDHRA PRADESH,KRISHNA,VATSAVAI,0,7,0,0,7
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,43,16,0,0,59
ANDHRA PRADESH,KRISHNA,VIJAYAWADA (URBAN),88,0,0,0,88
ANDHRA PRADESH,KRISHNA,VIJAYAWADA RURAL,136,72,106,0,314
ANDHRA PRADESH,KRISHNA,VISSANNAPET,27,0,110,0,137
ANDHRA PRADESH,KRISHNA,VUYYURU,1246,0,1,0,1247
ANDHRA PRADESH,KURNOOL,ADONI,205,0,24,0,229
ANDHRA PRADESH,KURNOOL,ALLAGADDA,73,0,0,0,73
ANDHRA PRADESH,KURNOOL,ALUR,116,1,0,0,117
ANDHRA PRADESH,KURNOOL,ASPARI,8,0,141,0,149
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,492,0,39,1,532
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,105,0,75,0,180
ANDHRA PRADESH,KURNOOL,BETHAMCHERLA,550,1,92,0,643
ANDHRA PRADESH,KURNOOL,C.BELAGAL,6,0,0,0,6
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,134,0,0,0,134
ANDHRA PRADESH,KURNOOL,CHIPPAGIRI,39,1,16,0,56
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,111,163,111,0,385
ANDHRA PRADESH,KURNOOL,DHONE,60,0,139,0,199
ANDHRA PRADESH,KURNOOL,GADIVEMULA,173,32,98,0,303
ANDHRA PRADESH,KURNOOL,GONEGANDLA,143,49,56,0,248
ANDHRA PRADESH,KURNOOL,GOSPADU,23,0,0,0,23
ANDHRA PRADESH,KURNOOL,GUDUR,24,0,0,2,26
ANDHRA PRADESH,KURNOOL,HALAHARVI,4,0,20,0,24
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,72,0,0,0,72
ANDHRA PRADESH,KURNOOL,JUPADU BUNGALOW,15,1,14,0,30
ANDHRA PRADESH,KURNOOL,KALLUR,550,0,46,0,596
ANDHRA PRADESH,KURNOOL,KODUMUR,396,22,0,0,418
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,38,0,10,0,48
ANDHRA PRADESH,KURNOOL,KOLIMIGUNDLA,126,0,62,0,188
ANDHRA PRADESH,KURNOOL,KOSIGI,7,0,0,0,7
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,24,0,3,0,27
ANDHRA PRADESH,KURNOOL,KOWTHALAM,123,0,2,1,126
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,171,0,5,3,179
ANDHRA PRADESH,KURNOOL,KURNOOL,160,1,54,0,215
ANDHRA PRADESH,KURNOOL,MADDIKERA (EAST),41,1,1,0,43
ANDHRA PRADESH,KURNOOL,MAHANANDI,450,0,5,1,456
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,5,0,0,0,5
ANDHRA PRADESH,KURNOOL,MIDTHUR,134,8,0,1,143
ANDHRA PRADESH,KURNOOL,NANDAVARAM,15,0,0,0,15
ANDHRA PRADESH,KURNOOL,NANDIKOTKUR,107,0,0,0,107
ANDHRA PRADESH,KURNOOL,NANDYAL,126,0,1,0,127
ANDHRA PRADESH,KURNOOL,ORVAKAL,117,0,302,0,419
ANDHRA PRADESH,KURNOOL,OWK,70,0,0,3,73
ANDHRA PRADESH,KURNOOL,PAMULAPADU,6,2,2,0,10
ANDHRA PRADESH,KURNOOL,PANYAM,505,0,0,0,505
ANDHRA PRADESH,KURNOOL,PATTIKONDA,57,0,12,1,70
ANDHRA PRADESH,KURNOOL,PEAPALLY,376,1,84,0,461
ANDHRA PRADESH,KURNOOL,PEDDA KADALUR,15,0,4,0,19
ANDHRA PRADESH,KURNOOL,RUDRAVARAM,313,0,7,0,320
ANDHRA PRADESH,KURNOOL,SANJAMALA,2,0,223,0,225
ANDHRA PRADESH,KURNOOL,SIRVEL,208,2,15,0,225
ANDHRA PRADESH,KURNOOL,TUGGALI,23,0,0,0,23
ANDHRA PRADESH,KURNOOL,UYYALAWADA,10,0,0,0,10
ANDHRA PRADESH,KURNOOL,VELDURTHI,19,54,65,0,138
ANDHRA PRADESH,KURNOOL,VELGODE,3,0,0,0,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,106,1,5,0,112
ANDHRA PRADESH,MAHABOOB NAGAR,ACHAMPETA,15,0,26,0,41
ANDHRA PRADESH,MAHABOOB NAGAR,ADDAKAL,201,232,202,1,636
ANDHRA PRADESH,MAHABOOB NAGAR,AIZA,93,1,0,0,94
ANDHRA PRADESH,MAHABOOB NAGAR,ALAMPUR,25,0,0,0,25
ANDHRA PRADESH,MAHABOOB NAGAR,AMANGAL,277,0,1,0,278
ANDHRA PRADESH,MAHABOOB NAGAR,AMRABAD,42,8,14,1,65
ANDHRA PRADESH,MAHABOOB NAGAR,ATMAKUR,84,0,3,0,87
ANDHRA PRADESH,MAHABOOB NAGAR,BALANAGAR,676,1,1,0,678
ANDHRA PRADESH,MAHABOOB NAGAR,BALMOOR,59,3,32,0,94
ANDHRA PRADESH,MAHABOOB NAGAR,BHOOTHPUR,187,1,282,1,471
ANDHRA PRADESH,MAHABOOB NAGAR,BIJINAPALLE,560,10,212,34,816
ANDHRA PRADESH,MAHABOOB NAGAR,BOMRASPETA,256,0,0,0,256
ANDHRA PRADESH,MAHABOOB NAGAR,CHINNACHITAKUNTA,606,51,19,0,676
ANDHRA PRADESH,MAHABOOB NAGAR,DAMARAGIDDA,158,0,0,0,158
ANDHRA PRADESH,MAHABOOB NAGAR,DEVARAKADARA,468,24,81,1,574
ANDHRA PRADESH,MAHABOOB NAGAR,DHANWADA,359,37,79,0,475
ANDHRA PRADESH,MAHABOOB NAGAR,DHARUR,6,0,0,0,6
ANDHRA PRADESH,MAHABOOB NAGAR,DOULATABAD,157,26,28,1,212
ANDHRA PRADESH,MAHABOOB NAGAR,FAROOQNAGAR,1649,10,32,2,1693
ANDHRA PRADESH,MAHABOOB NAGAR,GADWAL,35,0,25,0,60
ANDHRA PRADESH,MAHABOOB NAGAR,GHANPUR,24,22,429,0,475
ANDHRA PRADESH,MAHABOOB NAGAR,GOPALPETA,128,1,58,0,187
ANDHRA PRADESH,MAHABOOB NAGAR,HANWADA,132,0,0,0,132
ANDHRA PRADESH,MAHABOOB NAGAR,ITIKYAL,32,0,0,0,32
ANDHRA PRADESH,MAHABOOB NAGAR,JADCHERLA,610,52,31,1,694
ANDHRA PRADESH,MAHABOOB NAGAR,KALWAKURTHY,664,152,5,0,821
ANDHRA PRADESH,MAHABOOB NAGAR,KESHAMPETA,868,3,79,0,950
ANDHRA PRADESH,MAHABOOB NAGAR,KODAIR,38,4,13,0,55
ANDHRA PRADESH,MAHABOOB NAGAR,KOILKONDA,217,103,125,1,446
ANDHRA PRADESH,MAHABOOB NAGAR,KOLLAPUR,2,1,0,0,3
ANDHRA PRADESH,MAHABOOB NAGAR,KONDURG,184,48,196,0,428
ANDHRA PRADESH,MAHABOOB NAGAR,KOSGI,301,64,0,0,365
ANDHRA PRADESH,MAHABOOB NAGAR,KOTHAKOTA,199,0,0,0,199
ANDHRA PRADESH,MAHABOOB NAGAR,KOTHUR,8,1,1250,0,1259
ANDHRA PRADESH,MAHABOOB NAGAR,LINGAL,8,0,5,4,17
ANDHRA PRADESH,MAHABOOB NAGAR,MADDUR,192,39,11,0,242
ANDHRA PRADESH,MAHABOOB NAGAR,MADGUL,520,6,143,1,670
ANDHRA PRADESH,MAHABOOB NAGAR,MAGANOOR,59,140,67,0,266
ANDHRA PRADESH,MAHABOOB NAGAR,MAHBUBNAGAR,254,200,194,7,655
ANDHRA PRADESH,MAHABOOB NAGAR,MAKTHAL,135,66,5,0,206
ANDHRA PRADESH,MAHABOOB NAGAR,MALDAKAL,54,0,0,0,54
ANDHRA PRADESH,MAHABOOB NAGAR,MANOPADU,14,0,1,0,15
ANDHRA PRADESH,MAHABOOB NAGAR,MIDJIL,1284,1,38,1,1324
ANDHRA PRADESH,MAHABOOB NAGAR,NAGARKURNOOL,241,0,14,0,255
ANDHRA PRADESH,MAHABOOB NAGAR,NARAYANPET,116,11,108,2,237
ANDHRA PRADESH,MAHABOOB NAGAR,NARVA,346,0,8,0,354
ANDHRA PRADESH,MAHABOOB NAGAR,NAWABPET,369,44,146,0,559
ANDHRA PRADESH,MAHABOOB NAGAR,PANGAL,92,8,0,0,100
ANDHRA PRADESH,MAHABOOB NAGAR,PEBBAIR,4,0,0,0,4
ANDHRA PRADESH,MAHABOOB NAGAR,PEDDAKOTHAPALLE,26,5,4,0,35
ANDHRA PRADESH,MAHABOOB NAGAR,PEDDAMANDADI,156,0,34,0,190
ANDHRA PRADESH,MAHABOOB NAGAR,TADOOR,418,113,17,0,548
ANDHRA PRADESH,MAHABOOB NAGAR,TALAKONDAPALLE,414,0,14,0,428
ANDHRA PRADESH,MAHABOOB NAGAR,TELKAPALLE,181,0,0,0,181
ANDHRA PRADESH,MAHABOOB NAGAR,THIMMAJIPETA,414,14,53,4,485
ANDHRA PRADESH,MAHABOOB NAGAR,UPPUNUNTHALA,100,7,2,0,109
ANDHRA PRADESH,MAHABOOB NAGAR,UTKOOR,169,137,1,0,307
ANDHRA PRADESH,MAHABOOB NAGAR,VANGOOR,212,34,57,0,303
ANDHRA PRADESH,MAHABOOB NAGAR,VEEPANGANDLA,67,0,6,0,73
ANDHRA PRADESH,MAHABOOB NAGAR,VELDANDA,181,0,0,0,181
ANDHRA PRADESH,MAHABOOB NAGAR,WADDEPALLE,19,1,0,0,20
ANDHRA PRADESH,MAHABOOB NAGAR,WANAPARTHY,100,0,69,0,169
ANDHRA PRADESH,MEDAK,ALLADURG,241,77,18,16,352
ANDHRA PRADESH,MEDAK,ANDOLE,554,55,16,0,625
ANDHRA PRADESH,MEDAK,CHEGUNTA,617,41,464,48,1170
ANDHRA PRADESH,MEDAK,CHINNAKODUR,62,4,0,0,66
ANDHRA PRADESH,MEDAK,DOULTABAD,743,21,1387,7,2158
ANDHRA PRADESH,MEDAK,DUBBAK,539,25,84,12,660
ANDHRA PRADESH,MEDAK,GAJWEL,2052,2,291,4,2349
ANDHRA PRADESH,MEDAK,HATHNOORA,560,23,238,4,825
ANDHRA PRADESH,MEDAK,JAGDEVPUR,764,45,138,4,951
ANDHRA PRADESH,MEDAK,JHARASANGAM,1,0,41,0,42
ANDHRA PRADESH,MEDAK,JINNARAM,19,0,1221,0,1240
ANDHRA PRADESH,MEDAK,KALHER,455,21,4,0,480
ANDHRA PRADESH,MEDAK,KANGTI,33,0,2,0,35
ANDHRA PRADESH,MEDAK,KOHIR,24,12,101,0,137
ANDHRA PRADESH,MEDAK,KONDAPAK,372,81,272,3,728
ANDHRA PRADESH,MEDAK,KONDAPUR,286,8,56,2,352
ANDHRA PRADESH,MEDAK,KOWDIPALLI,848,231,1460,8,2547
ANDHRA PRADESH,MEDAK,KULCHARAM,389,168,407,12,976
ANDHRA PRADESH,MEDAK,MEDAK,1528,10,48,1,1587
ANDHRA PRADESH,MEDAK,MIRDODDI,893,65,37,0,995
